County,Tabulator,Batch,# of Ballots,Location (Bag)
Archuleta,200,1,28,1
Archuleta,200,2,25,1
Archuleta,200,3,25,1
Archuleta,200,4,9,1
Archuleta,200,5,26,1
Archuleta,200,6,8,1
Archuleta,200,7,26,1
Archuleta,200,8,25,1
Archuleta,200,9,20,1
Archuleta,200,10,25,1
Archuleta,200,11,21,1
Archuleta,200,12,26,1
Archuleta,200,13,9,1
Archuleta,200,14,25,1
Archuleta,200,15,25,1
Archuleta,200,16,8,1
Archuleta,200,17,25,1
Archuleta,200,18,30,1
Archuleta,200,19,25,1
Archuleta,200,20,25,1
Archuleta,200,21,25,1
Archuleta,200,22,25,1
Archuleta,200,23,14,1
Archuleta,200,24,26,1
Archuleta,200,25,25,1
Archuleta,200,26,25,1
Archuleta,200,27,25,1
Archuleta,200,28,25,1
Archuleta,200,29,25,1
Archuleta,200,30,25,1
Archuleta,200,31,27,1
Archuleta,200,32,28,1
Archuleta,200,33,21,1
Archuleta,200,34,25,1
Archuleta,200,35,25,1
Archuleta,200,36,25,1
Archuleta,200,37,25,1
Archuleta,200,38,10,1
Archuleta,200,39,25,1
Archuleta,200,40,25,1
Archuleta,200,41,27,1
Archuleta,200,42,25,1
Archuleta,200,43,9,1
Archuleta,200,44,25,1
Archuleta,200,45,25,1
Archuleta,200,46,27,1
Archuleta,200,47,25,1
Archuleta,200,48,25,1
Archuleta,200,49,25,1
Archuleta,200,50,24,1
Archuleta,200,51,25,1
Archuleta,200,52,24,1
Archuleta,200,53,25,1
Archuleta,200,54,15,1
Archuleta,200,55,12,1
Archuleta,200,56,25,1
Archuleta,200,57,25,1
Archuleta,200,58,24,1
Archuleta,200,59,23,1
Archuleta,200,60,25,1
Archuleta,200,61,25,1
Archuleta,200,62,14,1
Archuleta,200,63,26,1
Archuleta,200,64,21,1
Archuleta,200,65,7,1
Archuleta,200,66,28,1
Archuleta,200,67,25,1
Archuleta,200,68,25,1
Archuleta,200,69,25,1
Archuleta,200,70,25,1
Archuleta,200,71,24,1
Archuleta,200,72,15,1
Archuleta,200,73,25,1
Archuleta,200,74,25,1
Archuleta,200,75,25,1
Archuleta,200,76,25,1
Archuleta,200,77,24,1
Archuleta,200,78,9,1
Archuleta,200,79,23,1
Archuleta,200,80,30,1
Archuleta,200,81,18,2
Archuleta,200,82,25,2
Archuleta,200,83,25,2
Archuleta,200,84,12,2
Archuleta,200,85,25,2
Archuleta,200,86,22,2
Archuleta,200,87,23,2
Archuleta,200,88,25,2
Archuleta,200,89,25,2
Archuleta,200,90,25,2
Archuleta,200,91,25,2
Archuleta,200,92,27,2
Archuleta,200,93,25,2
Archuleta,200,94,24,2
Archuleta,200,95,25,2
Archuleta,200,96,5,2
Archuleta,200,97,25,2
Archuleta,200,98,25,2
Archuleta,200,99,26,2
Archuleta,200,100,25,2
Archuleta,200,101,25,2
Archuleta,200,102,16,2
Archuleta,200,103,25,2
Archuleta,200,104,25,2
Archuleta,200,105,7,2
Archuleta,200,106,25,2
Archuleta,200,107,7,2
Archuleta,200,108,25,2
Archuleta,200,109,27,2
Archuleta,200,110,27,2
Archuleta,200,111,22,2
Archuleta,200,112,25,2
Archuleta,200,113,25,2
Archuleta,200,114,26,2
Archuleta,200,115,25,2
Archuleta,200,116,25,2
Archuleta,200,117,20,2
Archuleta,200,118,25,2
Archuleta,200,119,25,2
Archuleta,200,120,25,2
Archuleta,200,121,9,2
Archuleta,200,122,11,2
Archuleta,200,123,25,2
Archuleta,200,124,25,2
Archuleta,200,125,25,2
Archuleta,200,126,26,2
Archuleta,200,127,25,2
Archuleta,200,128,23,2
Archuleta,200,129,14,2
Archuleta,200,130,8,2
Archuleta,200,131,25,2
Archuleta,200,132,8,2
Archuleta,200,133,25,2
Archuleta,200,134,25,2
Archuleta,200,135,23,2
Archuleta,200,136,25,2
Archuleta,200,137,25,2
Archuleta,200,138,25,2
Archuleta,200,139,14,2
Archuleta,200,140,25,2
Archuleta,200,141,25,2
Archuleta,200,142,26,2
Archuleta,200,143,13,2
Archuleta,200,144,26,2
Archuleta,200,145,25,2
Archuleta,200,146,8,2
Archuleta,200,147,25,2
Archuleta,200,148,26,2
Archuleta,200,149,8,2
Archuleta,200,150,25,2
Archuleta,200,151,25,2
Archuleta,200,152,23,2
Archuleta,200,153,25,2
Archuleta,200,154,22,2
Archuleta,200,155,25,2
Archuleta,200,156,23,2
Archuleta,200,157,25,2
Archuleta,200,158,9,2
Archuleta,200,159,25,2
Archuleta,200,160,24,2
Archuleta,200,161,26,2
Archuleta,200,162,25,2
Archuleta,200,163,25,2
Archuleta,200,164,23,2
Archuleta,200,165,25,2
Archuleta,200,166,25,2
Archuleta,200,167,14,2
Archuleta,200,168,26,2
Archuleta,200,169,4,2
Archuleta,200,170,25,2
Archuleta,200,171,24,2
Archuleta,200,172,25,2
Archuleta,200,173,25,2
Archuleta,200,174,24,2
Archuleta,200,175,25,2
Archuleta,200,176,25,2
Archuleta,200,177,24,2
Archuleta,200,178,15,2
Archuleta,200,179,25,2
Archuleta,200,180,25,2
Archuleta,200,181,25,2
Archuleta,200,182,25,2
Archuleta,200,183,18,2
Archuleta,200,184,25,2
Archuleta,200,185,25,2
Archuleta,200,186,25,2
Archuleta,200,187,25,2
Archuleta,200,188,25,2
Archuleta,200,189,24,2
Archuleta,200,190,25,2
Archuleta,200,191,25,2
Archuleta,200,192,25,2
Archuleta,200,193,25,2
Archuleta,200,194,25,2
Archuleta,200,195,25,2
Archuleta,200,196,25,3
Archuleta,200,197,12,3
Archuleta,200,198,21,3
Archuleta,200,199,24,3
Archuleta,200,200,26,3
Archuleta,200,201,25,3
Archuleta,200,202,16,3
Archuleta,200,203,26,3
Archuleta,200,204,26,3
Archuleta,200,205,24,3
Archuleta,200,206,24,3
Archuleta,200,207,24,3
Archuleta,200,208,25,3
Archuleta,200,209,26,3
Archuleta,200,210,25,3
Archuleta,200,211,25,3
Archuleta,200,212,81,3
Archuleta,200,213,25,3
Archuleta,200,214,9,3
Archuleta,200,215,25,3
Archuleta,200,216,25,3
Archuleta,200,217,25,3
Archuleta,200,218,18,3
