County,Tabulator ID,Batch #,# of Ballots Cards,Location
Morgan,102,1,50,Box 6
Morgan,102,2,50,Box 6
Morgan,102,3,50,Box 6
Morgan,102,4,50,Box 6
Morgan,102,6,61,Box 6
Morgan,102,7,50,Box 6
Morgan,102,8,50,Box 6
Morgan,102,9,60,Box 6
Morgan,102,10,50,Box 6
Morgan,102,11,50,Box 6
Morgan,102,12,48,Box 6
Morgan,102,13,50,Box 6
Morgan,102,14,50,Box 6
Morgan,102,15,41,Box 6
Morgan,102,16,50,Box 6
Morgan,102,17,50,Box 6
Morgan,102,18,50,Box 6
Morgan,102,19,50,Box 6
Morgan,102,20,50,Box 6
Morgan,102,21,50,Box 6
Morgan,102,22,56,Box 6
Morgan,102,23,1,Box 6
Morgan,102,24,50,Box 6
Morgan,102,25,50,Box 6
Morgan,102,26,50,Box 6
Morgan,102,27,50,Box 7
Morgan,102,28,50,Box 7
Morgan,102,29,54,Box 7
Morgan,102,30,50,Box 7
Morgan,102,31,50,Box 7
Morgan,102,32,61,Box 7
Morgan,102,33,50,Box 7
Morgan,102,34,51,Box 7
Morgan,102,35,35,Box 7
Morgan,102,36,50,Box 7
Morgan,102,37,50,Box 7
Morgan,102,38,48,Box 7
Morgan,102,39,50,Box 7
Morgan,102,40,50,Box 7
Morgan,102,41,50,Box 7
Morgan,102,42,25,Box 7
Morgan,102,43,50,Box 7
Morgan,102,44,50,Box 7
Morgan,102,45,49,Box 7
Morgan,102,46,50,Box 7
Morgan,102,47,51,Box 7
Morgan,102,48,50,Box 7
Morgan,102,49,50,Box 7
Morgan,102,50,36,Box 7
Morgan,102,51,50,Box 7
Morgan,102,52,50,Box 7
Morgan,102,53,43,Box 7
Morgan,102,54,50,Box 8
Morgan,102,55,50,Box 8
Morgan,102,56,38,Box 8
Morgan,102,57,50,Box 8
Morgan,102,58,50,Box 8
Morgan,102,59,52,Box 8
Morgan,102,60,50,Box 8
Morgan,102,61,50,Box 8
Morgan,102,62,34,Box 8
Morgan,102,63,50,Box 8
Morgan,102,64,50,Box 8
Morgan,102,65,58,Box 8
Morgan,102,66,50,Box 8
Morgan,102,67,50,Box 8
Morgan,102,68,43,Box 8
Morgan,102,69,50,Box 8
Morgan,102,70,50,Box 8
Morgan,102,71,50,Box 8
Morgan,102,72,19,Box 8
Morgan,102,73,51,Box 8
Morgan,102,74,50,Box 8
Morgan,102,75,50,Box 8
Morgan,102,76,38,Box 8
Morgan,102,77,50,Box 8
Morgan,102,78,50,Box 8
Morgan,102,79,50,Box 8
Morgan,102,80,50,Box 8
Morgan,102,81,50,Box 8
Morgan,102,82,57,Box 8
Morgan,102,83,50,Box 9
Morgan,102,84,50,Box 9
Morgan,102,85,49,Box 9
Morgan,102,86,50,Box 9
Morgan,102,87,50,Box 9
Morgan,102,88,50,Box 9
Morgan,102,89,29,Box 9
Morgan,102,90,50,Box 9
Morgan,102,91,50,Box 9
Morgan,102,92,50,Box 9
Morgan,102,93,19,Box 9
Morgan,102,94,50,Box 9
Morgan,102,95,50,Box 9
Morgan,102,96,50,Box 9
Morgan,102,97,21,Box 9
Morgan,102,98,50,Box 9
Morgan,102,99,50,Box 9
Morgan,102,100,50,Box 9
Morgan,102,101,16,Box 9
Morgan,102,102,50,Box 9
Morgan,102,103,50,Box 9
Morgan,102,104,50,Box 9
Morgan,102,105,37,Box 9
Morgan,102,106,50,Box 9
Morgan,102,107,50,Box 9
Morgan,102,108,62,Box 9
Morgan,102,109,50,Box 10
Morgan,102,110,50,Box 10
Morgan,102,111,41,Box 10
Morgan,102,112,50,Box 10
Morgan,102,113,50,Box 10
Morgan,102,114,50,Box 10
Morgan,102,115,25,Box 10
Morgan,102,116,50,Box 10
Morgan,102,117,50,Box 10
Morgan,102,118,50,Box 10
Morgan,102,119,30,Box 10
Morgan,102,120,50,Box 10
Morgan,102,121,50,Box 10
Morgan,102,122,50,Box 10
Morgan,102,123,40,Box 10
Morgan,102,124,50,Box 10
Morgan,102,125,50,Box 10
Morgan,102,126,33,Box 10
Morgan,102,127,50,Box 10
Morgan,102,128,49,Box 10
Morgan,102,129,32,Box 10
Morgan,102,130,50,Box 10
Morgan,102,131,50,Box 10
Morgan,102,132,50,Box 10
Morgan,102,133,43,Box 10
Morgan,102,134,50,Box 10
Morgan,102,135,50,Box 10
Morgan,102,136,29,Box 10
Morgan,102,137,50,Box 11
Morgan,102,138,27,Box 11
Morgan,102,139,45,Box 11
Morgan,102,140,50,Box 11
Morgan,102,141,50,Box 11
Morgan,102,142,50,Box 11
Morgan,102,143,14,Box 11
Morgan,102,144,50,Box 11
Morgan,102,145,50,Box 11
Morgan,102,146,20,Box 11
Morgan,102,147,50,Box 11
Morgan,102,148,50,Box 11
Morgan,102,149,52,Box 11
Morgan,102,150,50,Box 11
Morgan,102,151,50,Box 11
Morgan,102,152,50,Box 11
Morgan,102,153,18,Box 11
Morgan,102,154,50,Box 11
Morgan,102,155,50,Box 11
Morgan,102,156,50,Box 11
Morgan,102,157,21,Box 11
Morgan,102,158,50,Box 11
Morgan,102,159,50,Box 11
Morgan,102,160,34,Box 11
Morgan,102,161,50,Box 11
Morgan,102,162,50,Box 11
Morgan,102,163,36,Box 11
Morgan,102,164,53,Box 11
Morgan,102,165,50,Box 11
Morgan,102,166,50,Box 11
Morgan,102,167,50,Box 12
Morgan,102,168,33,Box 12
Morgan,102,169,50,Box 12
Morgan,102,170,50,Box 12
Morgan,102,171,50,Box 12
Morgan,102,172,21,Box 12
Morgan,102,173,50,Box 12
Morgan,102,174,50,Box 12
Morgan,102,175,50,Box 12
Morgan,102,176,21,Box 12
Morgan,102,177,50,Box 12
Morgan,102,178,50,Box 12
Morgan,102,179,48,Box 12
Morgan,102,180,50,Box 12
Morgan,102,181,50,Box 12
Morgan,102,182,47,Box 12
Morgan,102,183,50,Box 12
Morgan,102,184,49,Box 12
Morgan,102,185,50,Box 12
Morgan,102,186,50,Box 12
Morgan,102,187,43,Box 12
Morgan,102,188,50,Box 12
Morgan,102,189,50,Box 12
Morgan,102,190,53,Box 12
Morgan,102,191,50,Box 12
Morgan,102,192,50,Box 12
Morgan,102,193,50,Box 12
Morgan,102,194,48,Box 12
Morgan,102,195,50,Box 13
Morgan,102,196,50,Box 13
Morgan,102,197,50,Box 13
Morgan,102,198,32,Box 13
Morgan,102,199,50,Box 13
Morgan,102,200,50,Box 13
Morgan,102,201,50,Box 13
Morgan,102,202,56,Box 13
Morgan,102,203,50,Box 13
Morgan,102,204,50,Box 13
