County,Tabulator,Batch,# of Ballots,Location (Bag)
Archuleta,102,97,24,1
Archuleta,102,98,19,1
Archuleta,102,99,30,1
Archuleta,102,100,25,1
Archuleta,102,101,25,1
Archuleta,102,102,25,1
Archuleta,102,103,26,1
Archuleta,102,104,11,1
Archuleta,102,105,25,1
Archuleta,102,106,25,2
Archuleta,102,107,7,2
Archuleta,102,108,24,2
Archuleta,102,109,25,2
Archuleta,102,110,23,2
Archuleta,102,111,17,2
Archuleta,102,112,27,2
Archuleta,102,113,21,2
Archuleta,102,114,24,2
Archuleta,102,115,22,2
Archuleta,102,116,25,2
Archuleta,102,117,20,2
Archuleta,102,118,15,2
Archuleta,102,119,25,2
Archuleta,102,120,16,2
Archuleta,102,121,24,2
Archuleta,102,122,23,2
Archuleta,102,123,25,27
Archuleta,102,124,27,2
Archuleta,102,125,25,2
Archuleta,102,126,24,2
Archuleta,102,127,24,2
Archuleta,102,128,8,2
Archuleta,102,129,25,2
Archuleta,102,130,21,2
Archuleta,102,131,25,2
Archuleta,102,132,25,2
Archuleta,102,133,25,2
Archuleta,102,134,18,2
Archuleta,102,135,24,2
Archuleta,102,136,24,2
Archuleta,102,137,27,2
Archuleta,102,138,25,2
Archuleta,102,139,8,2
Archuleta,102,140,23,2
Archuleta,102,141,22,2
Archuleta,102,142,22,2
Archuleta,102,143,22,2
Archuleta,102,144,20,2
Archuleta,102,145,23,2
Archuleta,102,146,24,2
Archuleta,102,147,25,2
Archuleta,102,148,25,2
Archuleta,102,149,29,2
Archuleta,102,150,24,2
Archuleta,102,151,24,2
Archuleta,102,152,24,2
Archuleta,102,153,25,2
Archuleta,102,154,24,2
Archuleta,102,155,25,2
Archuleta,102,156,25,2
Archuleta,102,157,25,2
Archuleta,102,158,25,2
Archuleta,102,159,24,2
Archuleta,102,160,25,2
Archuleta,102,161,23,2
Archuleta,102,162,28,2
Archuleta,102,163,25,2
Archuleta,102,164,25,2
Archuleta,102,165,19,2
Archuleta,102,166,27,2
Archuleta,102,167,25,2
Archuleta,102,168,24,2
Archuleta,102,169,23,2
Archuleta,102,170,23,2
Archuleta,102,171,25,2
Archuleta,102,172,28,2
Archuleta,102,173,26,2
Archuleta,102,174,25,2
Archuleta,102,175,25,2
Archuleta,102,176,26,2
Archuleta,102,177,22,2
Archuleta,102,178,24,2
Archuleta,102,179,21,2
Archuleta,102,180,20,2
Archuleta,102,181,19,2
Archuleta,102,182,16,2
Archuleta,102,183,24,2
Archuleta,102,184,25,2
Archuleta,102,185,25,2
Archuleta,102,186,24,2
Archuleta,102,187,28,2
Archuleta,102,188,25,2
Archuleta,102,189,25,2
Archuleta,102,190,25,2
Archuleta,102,191,25,2
Archuleta,102,192,25,2
Archuleta,102,193,24,2
Archuleta,102,194,24,2
Archuleta,102,195,26,2
Archuleta,102,196,21,2
Archuleta,102,197,25,2
Archuleta,102,198,24,2
Archuleta,102,199,25,2
Archuleta,102,200,23,2
Archuleta,102,201,25,2
Archuleta,102,202,25,2
Archuleta,102,203,31,2
Archuleta,102,204,25,2
Archuleta,102,205,25,2
Archuleta,102,206,22,2
Archuleta,102,207,26,2
Archuleta,102,208,24,2
Archuleta,102,209,25,2
Archuleta,102,210,27,2
Archuleta,102,211,24,2
Archuleta,102,212,25,2
Archuleta,102,213,24,2
Archuleta,102,214,18,2
Archuleta,102,215,24,2
Archuleta,102,216,25,2
Archuleta,102,217,24,2
Archuleta,102,218,22,2
Archuleta,102,219,24,2
Archuleta,102,220,24,2
Archuleta,102,221,28,2
Archuleta,102,222,25,2
Archuleta,102,223,25,2
Archuleta,102,224,24,2
Archuleta,102,225,24,2
Archuleta,102,226,25,2
Archuleta,102,227,23,2
Archuleta,102,228,27,2
Archuleta,102,229,18,2
Archuleta,102,230,10,3
Archuleta,102,231,202,3
Archuleta,102,232,24,3
Archuleta,102,233,25,3
Archuleta,102,234,24,3
Archuleta,102,235,25,3
Archuleta,102,236,23,3
Archuleta,102,237,25,3
Archuleta,102,238,24,3
Archuleta,102,239,21,3
Archuleta,102,240,15,3
Archuleta,102,241,25,3
Archuleta,102,242,25,3
Archuleta,102,243,22,3
Archuleta,102,244,19,3
Archuleta,102,245,25,3
Archuleta,102,246,25,3
Archuleta,102,247,23,3
Archuleta,102,248,17,3
Archuleta,102,249,24,3
Archuleta,102,250,24,3
Archuleta,102,251,12,3
Archuleta,102,252,25,3
Archuleta,102,253,9,3
Archuleta,102,254,24,3
Archuleta,102,255,22,3
Archuleta,102,256,24,3
Archuleta,102,257,24,3
Archuleta,102,258,19,3
Archuleta,102,259,25,3
Archuleta,102,260,6,3
Archuleta,102,261,25,3
Archuleta,102,262,25,3
Archuleta,102,263,14,3
Archuleta,102,264,27,3
Archuleta,102,265,27,3
Archuleta,102,266,25,3
Archuleta,102,267,25,3
Archuleta,102,268,28,3
Archuleta,102,269,23,3
Archuleta,102,270,25,3
Archuleta,102,271,22,3
Archuleta,102,272,25,3
Archuleta,102,273,25,3
Archuleta,102,274,28,3
Archuleta,102,275,25,3
Archuleta,102,276,8,3
Archuleta,102,277,26,3
Archuleta,102,278,25,3
Archuleta,102,279,9,3
Archuleta,102,280,12,3
Archuleta,102,281,34,3
Archuleta,102,282,25,3
Archuleta,102,283,27,3
Archuleta,102,284,23,3
Archuleta,102,285,26,3
Archuleta,102,286,24,3
Archuleta,102,287,24,3
Archuleta,102,288,23,3
Archuleta,102,289,25,3
Archuleta,102,290,25,3
Archuleta,102,291,25,3
Archuleta,102,292,23,3
Archuleta,102,293,22,3
Archuleta,102,294,24,3
Archuleta,102,295,25,3
Archuleta,102,296,25,3
Archuleta,102,297,13,3
Archuleta,102,298,25,3
Archuleta,102,299,25,3
Archuleta,102,300,20,3
Archuleta,102,301,25,3
Archuleta,102,302,25,3
Archuleta,102,303,11,3
Archuleta,102,304,33,3
Archuleta,102,305,25,3
Archuleta,102,306,25,3
Archuleta,102,307,24,3
Archuleta,102,308,25,3
Archuleta,102,309,19,3
Archuleta,102,310,28,3
Archuleta,102,311,24,3
Archuleta,102,312,17,3
Archuleta,102,313,18,3
Archuleta,102,314,25,3
Archuleta,102,315,23,3
Archuleta,102,316,25,3
Archuleta,102,317,8,3
Archuleta,102,318,24,3
Archuleta,102,319,25,3
Archuleta,102,320,18,3
Archuleta,102,321,24,3
Archuleta,102,322,24,3
Archuleta,102,323,23,3
Archuleta,102,324,25,3
Archuleta,102,325,23,3
Archuleta,102,326,8,3
Archuleta,102,327,24,3
Archuleta,102,328,8,3
Archuleta,102,329,25,3
Archuleta,102,330,25,3
Archuleta,102,331,9,3
Archuleta,102,332,11,3
Archuleta,102,333,27,3
Archuleta,102,334,20,3
Archuleta,102,335,25,3
Archuleta,102,336,24,3
Archuleta,102,337,24,3
Archuleta,102,338,25,3
Archuleta,102,339,25,3
Archuleta,102,340,23,3
Archuleta,102,341,25,3
Archuleta,102,342,24,3
Archuleta,102,343,24,3
Archuleta,102,344,24,3
Archuleta,102,345,24,3
Archuleta,102,346,29,3
Archuleta,102,347,25,3
Archuleta,102,348,25,3
Archuleta,102,349,24,3
Archuleta,102,350,25,3
Archuleta,102,351,20,3
Archuleta,102,352,24,3
Archuleta,102,353,25,3
Archuleta,102,354,23,3
Archuleta,102,355,20,4
Archuleta,102,356,30,4
Archuleta,102,357,23,4
Archuleta,102,358,25,4
Archuleta,102,359,25,4
Archuleta,102,360,24,4
Archuleta,102,361,24,4
Archuleta,102,362,23,4
Archuleta,102,363,24,4
Archuleta,102,364,22,4
Archuleta,102,365,25,4
Archuleta,102,366,25,4
Archuleta,102,367,23,4
Archuleta,102,368,26,4
Archuleta,102,369,16,4
Archuleta,102,370,23,4
Archuleta,102,371,26,4
Archuleta,102,372,23,4
Archuleta,102,373,27,4
Archuleta,102,374,24,4
Archuleta,102,375,102,4
Archuleta,102,376,31,4
Archuleta,102,377,320,4
Archuleta,102,378,23,4
Archuleta,102,379,14,4
Archuleta,102,380,115,FT
