County,Tabulator,Batch,# of cards,Location
Huerfano,102,1,1,Box 1
Huerfano,102,2,1,Box 1
Huerfano,102,3,2,Box 1
Huerfano,102,4,3,Box 1
Huerfano,102,5,2,Box 1
Huerfano,102,6,13,Box 1
Huerfano,102,7,15,Box 1
Huerfano,102,8,4,Box 1
Huerfano,102,9,16,Box 1
Huerfano,102,10,3,Box 1
Huerfano,102,11,50,Box 1
Huerfano,102,12,37,Box 1
Huerfano,102,13,13,Box 1
Huerfano,102,14,14,Box 1
Huerfano,102,15,6,Box 1
Huerfano,102,16,50,Box 1
Huerfano,102,17,47,Box 1
Huerfano,102,18,24,Box 1
Huerfano,102,19,49,Box 1
Huerfano,102,20,50,Box 1
Huerfano,102,21,17,Box 1
Huerfano,102,22,21,Box 2
Huerfano,102,23,50,Box 2
Huerfano,102,24,1,Box 2
Huerfano,102,25,50,Box 2
Huerfano,102,26,37,Box 2
Huerfano,102,27,47,Box 3
Huerfano,102,28,1,Box 3
Huerfano,102,29,50,Box 3
Huerfano,102,30,2,Box 3
Huerfano,102,31,45,Box 3
Huerfano,102,32,2,Box 3
Huerfano,102,33,2,Box 3
Huerfano,102,34,28,Box 3
Huerfano,102,35,49,Box 3
Huerfano,102,36,49,Box 3
Huerfano,102,37,44,Box 3
Huerfano,102,38,8,Box 3
Huerfano,102,39,44,Box 3
Huerfano,102,40,25,Box 3
Huerfano,102,41,30,Box 3
Huerfano,102,42,43,Box 3
Huerfano,102,43,50,Box 4
Huerfano,102,44,50,Box 4
Huerfano,102,45,5,Box 4
Huerfano,102,46,49,Box 4
Huerfano,102,47,12,Box 4
Huerfano,102,48,11,Box 4
Huerfano,102,49,7,Box 4
Huerfano,102,50,1,Box 4
Huerfano,102,51,9,Box 4
Huerfano,102,52,5,Box 4
Huerfano,102,53,6,Box 4
Huerfano,102,54,12,Box 4
Huerfano,102,55,3,Box 4
Huerfano,102,56,9,Box 4
Huerfano,102,57,11,Box 4
Huerfano,102,58,24,Box 4
Huerfano,102,59,12,Box 4
Huerfano,102,60,1,Box 4
Huerfano,102,61,1,Box 4
Huerfano,102,62,2,Box 4
Huerfano,102,63,3,Box 4
Huerfano,102,64,2,Box 4
Huerfano,102,65,14,Box 4
Huerfano,102,66,17,Box 4
Huerfano,102,67,8,Box 4
Huerfano,102,68,4,Box 4
Huerfano,102,69,4,Box 4
Huerfano,102,70,3,Box 4
Huerfano,102,71,25,Box 4
Huerfano,102,72,5,Box 4
Huerfano,102,73,21,Box 4
Huerfano,102,74,7,Box 4
Huerfano,102,75,2,Box 4
Huerfano,102,76,6,Box 4
Huerfano,102,77,1,Box 4
Huerfano,102,78,9,Box 5
Huerfano,102,79,11,Box 5
Huerfano,102,80,4,Box 5
Huerfano,102,81,2,Box 5
Huerfano,102,82,4,Box 5
Huerfano,102,83,1,Box 5
Huerfano,102,84,1,Box 5
Huerfano,102,85,1,Box 5
Huerfano,102,86,11,Box 5
Huerfano,102,87,15,Box 5
Huerfano,102,88,10,Box 5
Huerfano,102,89,3,Box 5
Huerfano,102,90,7,Box 5
Huerfano,102,91,16,Box 5
Huerfano,102,92,2,Box 5
Huerfano,102,93,2,Box 5
Huerfano,102,94,3,Box 5
Huerfano,102,95,1,Box 5
Huerfano,102,96,10,Box 5
Huerfano,102,97,6,Box 5
Huerfano,102,98,8,Box 5
Huerfano,102,99,2,Box 5
Huerfano,102,100,1,Box 5
Huerfano,102,101,5,Box 5
Huerfano,102,102,1,Box 5
Huerfano,102,103,3,Box 5
Huerfano,102,104,1,Box 5
Huerfano,102,105,11,Box 5
Huerfano,102,106,8,Box 5
Huerfano,102,107,5,Box 5
Huerfano,102,108,3,Box 5
Huerfano,102,109,2,Box 5
Huerfano,102,110,10,Box 5
Huerfano,102,111,11,Box 5
Huerfano,102,112,3,Box 5
Huerfano,102,113,11,Box 5
Huerfano,102,114,4,Box 5
Huerfano,102,115,1,Box 5
Huerfano,102,116,1,Box 5
Huerfano,102,117,3,Box 5
Huerfano,102,118,1,Box 5
Huerfano,102,119,6,Box 5
Huerfano,102,120,2,Box 5
Huerfano,102,121,1,Box 5
Huerfano,102,122,3,Box 5
Huerfano,102,123,13,Box 5
Huerfano,102,124,4,Box 5
Huerfano,102,125,3,Box 5
Huerfano,102,126,3,Box 5
Huerfano,102,127,14,Box 5
Huerfano,102,128,9,Box 5
Huerfano,102,129,2,Box 5
Huerfano,102,130,1,Box 5
Huerfano,102,131,1,Box 5
Huerfano,102,132,12,Box 5
Huerfano,102,133,15,Box 5
Huerfano,102,134,3,Box 5
Huerfano,102,135,4,Box 5
Huerfano,102,136,11,Box 5
Huerfano,102,137,9,Box 5
Huerfano,102,138,5,Box 5
Huerfano,102,139,4,Box 5
Huerfano,102,140,2,Box 5
Huerfano,102,141,3,Box 5
Huerfano,102,142,6,Box 5
Huerfano,102,143,9,Box 5
Huerfano,102,144,4,Box 5
Huerfano,102,145,2,Box 5
Huerfano,102,146,5,Box 5
Huerfano,102,147,2,Box 5
Huerfano,102,148,15,Box 5
Huerfano,102,149,4,Box 5
Huerfano,102,150,5,Box 5
Huerfano,102,151,2,Box 5
Huerfano,102,152,4,Box 5
Huerfano,102,153,20,Box 5
Huerfano,102,154,4,Box 5
Huerfano,102,155,6,Box 5
Huerfano,102,156,23,Box 5
Huerfano,102,157,11,Box 5
Huerfano,102,158,5,Box 5
Huerfano,102,159,10,Box 6
Huerfano,102,160,3,Box 6
Huerfano,102,161,15,Box 6
Huerfano,102,162,2,Box 6
Huerfano,102,163,5,Box 6
Huerfano,102,164,1,Box 6
Huerfano,102,165,24,Box 6
Huerfano,102,166,19,Box 6
Huerfano,102,167,10,Box 6
Huerfano,102,168,10,Box 6
Huerfano,102,169,11,Box 6
Huerfano,102,170,16,Box 6
Huerfano,102,171,23,Box 6
Huerfano,102,172,3,Box 6
Huerfano,102,173,10,Box 6
Huerfano,102,174,12,Box 6
Huerfano,102,175,5,Box 6
Huerfano,102,176,17,Box 6
Huerfano,102,177,6,Box 6
Huerfano,102,178,7,Box 6
Huerfano,102,179,10,Box 6
Huerfano,102,180,12,Box 6
Huerfano,102,181,1,Box 6
Huerfano,102,182,1,Box 6
Huerfano,102,183,2,Box 6
Huerfano,102,184,10,Box 6
Huerfano,102,185,13,Box 6
Huerfano,102,186,1,Box 6
Huerfano,102,187,1,Box 6
Huerfano,102,188,1,Box 6
Huerfano,102,189,6,Box 6
Huerfano,102,190,14,Box 6
Huerfano,102,191,5,Box 6
Huerfano,102,192,6,Box 6
Huerfano,102,193,10,Box 6
Huerfano,102,194,1,Box 6
Huerfano,102,195,1,Box 6
Huerfano,102,196,3,Box 6
Huerfano,102,197,2,Box 6
Huerfano,102,198,1,Box 6
Huerfano,102,199,3,Box 6
Huerfano,102,200,1,Box 6
Huerfano,102,201,3,Box 6
Huerfano,102,202,2,Box 6
Huerfano,102,203,5,Box 6
Huerfano,102,204,9,Box 6
Huerfano,102,205,10,Box 6
Huerfano,102,206,2,Box 6
Huerfano,102,207,10,Box 6
Huerfano,102,208,7,Box 6
Huerfano,102,209,1,Box 6
Huerfano,102,210,1,Box 6
Huerfano,102,211,3,Box 6
Huerfano,102,212,16,Box 6
Huerfano,102,213,17,Box 6
Huerfano,102,214,2,Box 6
Huerfano,102,215,5,Box 6
Huerfano,102,216,9,Box 6
Huerfano,102,217,14,Box 6
Huerfano,102,218,2,Box 6
Huerfano,102,219,2,Box 7
Huerfano,102,220,1,Box 7
Huerfano,102,221,5,Box 7
Huerfano,102,222,1,Box 7
Huerfano,102,223,15,Box 7
Huerfano,102,224,49,Box 7
Huerfano,102,225,5,Box 7
Huerfano,102,226,8,Box 7
Huerfano,102,227,27,Box 7
Huerfano,102,228,1,Box 7
