County,Tabulator,Batch #,# in Batch,Location
Moffat,102,102,25,Ballot Box 3
Moffat,102,103,25,Ballot Box 3
Moffat,102,104,25,Ballot Box 3
Moffat,102,105,25,Ballot Box 3
Moffat,102,106,25,Ballot Box 3
Moffat,102,107,25,Ballot Box 3
Moffat,102,108,25,Ballot Box 3
Moffat,102,109,25,Ballot Box 3
Moffat,102,110,25,Ballot Box 3
Moffat,102,111,25,Ballot Box 3
Moffat,102,112,5,Ballot Box 3
Moffat,102,113,12,Ballot Box 3
Moffat,102,114,20,Ballot Box 3
Moffat,102,115,25,Ballot Box 3
Moffat,102,116,25,Ballot Box 3
Moffat,102,117,25,Ballot Box 3
Moffat,102,118,25,Ballot Box 3
Moffat,102,119,25,Ballot Box 3
Moffat,102,120,25,Ballot Box 3
Moffat,102,121,25,Ballot Box 3
Moffat,102,122,25,Ballot Box 3
Moffat,102,123,25,Ballot Box 3
Moffat,102,124,25,Ballot Box 3
Moffat,102,125,4,Ballot Box 3
Moffat,102,126,19,Ballot Box 3
Moffat,102,127,9,Ballot Box 3
Moffat,102,128,21,Ballot Box 3
Moffat,102,129,23,Ballot Box 3
Moffat,102,130,5,Ballot Box 3
Moffat,102,131,2,Ballot Box 3
Moffat,102,132,13,Ballot Box 3
Moffat,102,133,3,Ballot Box 3
Moffat,102,134,12,Ballot Box 3
Moffat,102,135,23,Ballot Box 3
Moffat,102,136,2,Ballot Box 3
Moffat,102,137,3,Ballot Box 3
Moffat,102,138,25,Ballot Box 3
Moffat,102,139,25,Ballot Box 3
Moffat,102,140,25,Ballot Box 3
Moffat,102,141,25,Ballot Box 3
Moffat,102,142,25,Ballot Box 3
Moffat,102,143,25,Ballot Box 3
Moffat,102,144,25,Ballot Box 3
Moffat,102,145,25,Ballot Box 3
Moffat,102,146,25,Ballot Box 3
Moffat,102,147,25,Ballot Box 3
Moffat,102,148,25,Ballot Box 3
Moffat,102,149,25,Ballot Box 3
Moffat,102,150,25,Ballot Box 3
Moffat,102,151,25,Ballot Box 4
Moffat,102,152,25,Ballot Box 4
Moffat,102,153,25,Ballot Box 4
Moffat,102,154,25,Ballot Box 4
Moffat,102,155,25,Ballot Box 4
Moffat,102,156,25,Ballot Box 4
Moffat,102,157,25,Ballot Box 4
Moffat,102,158,25,Ballot Box 4
Moffat,102,159,25,Ballot Box 4
Moffat,102,160,25,Ballot Box 4
Moffat,102,161,25,Ballot Box 4
Moffat,102,162,25,Ballot Box 4
Moffat,102,163,25,Ballot Box 4
Moffat,102,164,25,Ballot Box 4
Moffat,102,165,25,Ballot Box 4
Moffat,102,166,25,Ballot Box 4
Moffat,102,167,25,Ballot Box 4
Moffat,102,168,25,Ballot Box 4
Moffat,102,169,25,Ballot Box 4
Moffat,102,170,25,Ballot Box 4
Moffat,102,171,25,Ballot Box 4
Moffat,102,172,25,Ballot Box 4
Moffat,102,173,25,Ballot Box 4
Moffat,102,174,25,Ballot Box 4
Moffat,102,175,25,Ballot Box 4
Moffat,102,176,25,Ballot Box 4
Moffat,102,177,25,Ballot Box 4
Moffat,102,178,25,Ballot Box 4
Moffat,102,179,25,Ballot Box 4
Moffat,102,180,25,Ballot Box 4
Moffat,102,181,25,Ballot Box 4
Moffat,102,182,25,Ballot Box 4
Moffat,102,183,25,Ballot Box 4
Moffat,102,184,25,Ballot Box 4
Moffat,102,185,25,Ballot Box 4
Moffat,102,186,25,Ballot Box 4
Moffat,102,187,25,Ballot Box 4
Moffat,102,188,25,Ballot Box 4
Moffat,102,189,20,Ballot Box 4
Moffat,102,190,22,Ballot Box 4
Moffat,102,191,8,Ballot Box 4
Moffat,102,192,25,Ballot Box 4
Moffat,102,193,25,Ballot Box 4
Moffat,102,194,25,Ballot Box 4
Moffat,102,195,25,Ballot Box 4
Moffat,102,196,25,Ballot Box 4
Moffat,102,197,25,Ballot Box 4
Moffat,102,198,25,Ballot Box 4
Moffat,102,199,25,Ballot Box 4
Moffat,102,200,25,Ballot Box 4
Moffat,102,201,25,Ballot Box 4
Moffat,102,202,25,Ballot Box 5
Moffat,102,203,25,Ballot Box 5
Moffat,102,204,25,Ballot Box 5
Moffat,102,205,25,Ballot Box 5
Moffat,102,206,25,Ballot Box 5
Moffat,102,207,25,Ballot Box 5
Moffat,102,208,25,Ballot Box 5
Moffat,102,209,1,Ballot Box 5
Moffat,102,210,1,Ballot Box 5
Moffat,102,211,25,Ballot Box 5
Moffat,102,212,25,Ballot Box 5
Moffat,102,213,25,Ballot Box 5
Moffat,102,214,25,Ballot Box 5
Moffat,102,215,12,Ballot Box 5
Moffat,102,216,25,Ballot Box 5
Moffat,102,217,25,Ballot Box 5
Moffat,102,218,25,Ballot Box 5
Moffat,102,219,25,Ballot Box 5
Moffat,102,220,25,Ballot Box 5
Moffat,102,221,25,Ballot Box 5
Moffat,102,222,25,Ballot Box 5
Moffat,102,223,25,Ballot Box 5
Moffat,102,224,25,Ballot Box 5
Moffat,102,225,25,Ballot Box 5
Moffat,102,226,25,Ballot Box 5
Moffat,102,227,25,Ballot Box 5
Moffat,102,228,7,Ballot Box 5
Moffat,102,229,25,Ballot Box 5
Moffat,102,230,25,Ballot Box 5
Moffat,102,231,25,Ballot Box 5
Moffat,102,232,25,Ballot Box 5
Moffat,102,233,25,Ballot Box 5
Moffat,102,234,25,Ballot Box 5
Moffat,102,235,25,Ballot Box 5
Moffat,102,236,25,Ballot Box 5
Moffat,102,237,25,Ballot Box 5
Moffat,102,238,25,Ballot Box 5
Moffat,102,239,1,Ballot Box 5
Moffat,102,240,25,Ballot Box 5
Moffat,102,241,25,Ballot Box 5
Moffat,102,242,25,Ballot Box 5
Moffat,102,243,25,Ballot Box 5
Moffat,102,244,25,Ballot Box 5
Moffat,102,245,25,Ballot Box 5
Moffat,102,246,25,Ballot Box 5
Moffat,102,247,25,Ballot Box 5
Moffat,102,248,21,Ballot Box 5
Moffat,102,249,2,Ballot Box 5
Moffat,102,250,3,Ballot Box 5
Moffat,102,251,6,Ballot Box 5
Moffat,102,252,25,Ballot Box 6
Moffat,102,253,7,Ballot Box 6
Moffat,102,254,25,Ballot Box 6
Moffat,102,255,25,Ballot Box 6
Moffat,102,256,25,Ballot Box 6
Moffat,102,257,25,Ballot Box 6
Moffat,102,258,25,Ballot Box 6
Moffat,102,259,25,Ballot Box 6
Moffat,102,260,25,Ballot Box 6
Moffat,102,261,25,Ballot Box 6
Moffat,102,262,25,Ballot Box 6
Moffat,102,263,25,Ballot Box 6
Moffat,102,264,25,Ballot Box 6
Moffat,102,265,25,Ballot Box 6
Moffat,102,266,25,Ballot Box 6
Moffat,102,267,25,Ballot Box 6
Moffat,102,268,25,Ballot Box 6
Moffat,102,269,16,Ballot Box 6
Moffat,102,270,25,Ballot Box 6
Moffat,102,271,16,Ballot Box 6
Moffat,102,272,25,Ballot Box 6
Moffat,102,273,25,Ballot Box 6
Moffat,102,274,25,Ballot Box 6
Moffat,102,275,25,Ballot Box 6
Moffat,102,276,25,Ballot Box 6
Moffat,102,277,25,Ballot Box 6
Moffat,102,278,25,Ballot Box 6
Moffat,102,279,25,Ballot Box 6
Moffat,102,280,25,Ballot Box 6
