County,Tabulator,Batch,# of Ballots,Locator
Otero,102,336,12,8
Otero,102,337,25,8
Otero,102,338,24,8
Otero,102,339,25,8
Otero,102,340,24,8
Otero,102,341,2,8
Otero,102,342,20,15
Otero,102,343,22,15
Otero,102,344,25,15
Otero,102,345,25,15
Otero,102,346,26,15
Otero,102,347,25,15
Otero,102,348,25,15
Otero,102,349,41,15
Otero,102,350,7,15
Otero,107,1,25,13
Otero,107,2,25,13
Otero,107,3,25,13
Otero,107,4,25,13
Otero,107,5,25,13
Otero,107,6,25,13
Otero,107,7,25,13
Otero,107,8,25,13
Otero,107,9,24,13
Otero,107,10,25,13
Otero,107,11,24,13
Otero,107,12,25,13
Otero,107,13,24,13
Otero,107,14,25,13
Otero,107,15,25,13
Otero,107,16,23,13
Otero,107,17,24,13
Otero,107,18,25,13
Otero,107,19,25,13
