County,Device,Batch,#of Ballots,Location
Routt,201,188,50,88
Routt,201,189,50,23
Routt,201,190,50,23
Routt,201,191,39,23
Routt,201,192,61,23
Routt,201,193,50,23
Routt,201,194,50,23
Routt,201,195,50,23
Routt,201,196,50,23
Routt,201,197,50,23
Routt,201,198,50,23
Routt,201,199,50,23
Routt,201,200,50,23
Routt,201,201,50,23
Routt,201,202,50,23
Routt,201,203,50,23
Routt,201,204,50,23
Routt,201,205,50,23
Routt,201,206,50,23
Routt,201,207,50,23
Routt,201,208,50,23
Routt,201,209,50,23
Routt,201,210,50,23
Routt,201,211,50,23
Routt,201,212,50,23
Routt,201,213,50,23
Routt,201,214,50,23
Routt,201,215,50,9
Routt,201,216,50,9
Routt,201,217,50,9
Routt,201,218,50,9
Routt,201,219,50,9
Routt,201,220,50,9
Routt,201,221,50,9
Routt,201,222,50,9
Routt,201,223,50,9
Routt,201,224,50,9
Routt,201,225,50,9
Routt,201,226,50,9
Routt,201,227,50,9
Routt,201,228,50,9
Routt,201,229,50,9
Routt,201,230,50,9
Routt,201,231,50,9
Routt,201,232,50,9
Routt,201,233,50,9
Routt,201,234,50,9
Routt,201,235,50,9
Routt,201,236,50,9
Routt,201,237,50,9
Routt,201,238,50,9
Routt,201,239,50,9
Routt,201,240,50,9
Routt,201,241,50,96
Routt,201,242,50,96
Routt,201,243,50,96
Routt,201,244,50,96
Routt,201,245,50,96
Routt,201,246,50,96
Routt,201,247,50,96
Routt,201,248,50,96
Routt,201,249,50,96
Routt,201,250,50,96
Routt,201,251,50,96
Routt,201,252,50,96
Routt,201,253,50,96
Routt,201,254,50,96
Routt,201,255,50,96
Routt,201,256,50,96
Routt,201,257,50,96
Routt,201,258,50,96
Routt,201,259,50,96
Routt,201,260,50,96
Routt,201,261,50,25
Routt,201,262,50,25
Routt,201,263,50,25
Routt,201,264,50,25
Routt,201,265,50,25
Routt,201,266,50,25
Routt,201,267,50,25
Routt,201,268,50,25
Routt,201,269,50,25
Routt,201,270,50,25
Routt,201,271,50,25
Routt,201,272,50,25
Routt,201,273,50,25
Routt,201,274,50,25
Routt,201,275,50,25
Routt,201,276,50,25
Routt,201,277,50,25
Routt,201,278,50,25
Routt,201,279,50,25
Routt,201,280,50,25
Routt,201,281,50,25
Routt,201,282,50,25
Routt,201,283,50,25
Routt,201,284,50,25
Routt,201,285,50,25
Routt,201,286,50,25
Routt,201,287,50,25
Routt,201,288,50,99
Routt,201,289,50,99
Routt,201,290,50,99
Routt,201,291,50,99
Routt,201,292,50,99
Routt,201,293,50,99
Routt,201,294,50,99
Routt,201,295,50,99
Routt,201,296,50,99
Routt,201,297,50,99
Routt,201,298,50,99
Routt,201,299,50,99
Routt,201,300,50,99
Routt,201,301,50,99
Routt,201,302,50,99
Routt,201,303,50,99
Routt,201,304,50,99
Routt,201,305,50,99
Routt,201,306,50,99
Routt,201,307,50,99
