County,Tabulator ID,Batch,# of Ballots,Location,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,41,14,Box 1,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,42,20,Box 1,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,43,25,Box 1,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,44,25,Box 1,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,45,25,Box 1,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,46,25,Box 1,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,47,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,48,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,49,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,50,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,51,30,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,52,30,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,53,21,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,54,23,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,55,23,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,56,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,57,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,58,21,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,59,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,60,29,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,61,23,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,62,24,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,63,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,64,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,65,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,66,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,67,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,68,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,69,24,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,70,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,71,21,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,72,21,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,73,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,74,24,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,75,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,76,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,77,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,78,24,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,79,24,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,80,24,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,81,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,82,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,83,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,84,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,85,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,86,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,87,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,88,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,89,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,90,25,Box 2,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,91,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,92,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,93,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,94,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,95,20,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,96,21,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,97,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,98,24,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,99,20,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,100,20,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,101,23,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,102,23,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,103,23,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,104,20,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,105,20,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,106,13,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,107,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,108,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,109,29,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,110,29,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,111,24,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,112,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,113,24,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,114,23,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,115,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,116,24,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,117,23,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,118,18,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,119,20,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,120,23,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,121,21,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,122,20,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,123,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,124,24,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,125,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,126,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,127,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,128,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,129,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,130,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,131,21,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,132,21,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,133,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,134,25,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,135,20,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,136,16,Box 3,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,137,24,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,138,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,139,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,140,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,141,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,142,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,143,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,144,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,145,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,146,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,147,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,148,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,149,31,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,150,22,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,151,22,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,152,22,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,153,22,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,154,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,155,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,156,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,157,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,158,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,159,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,160,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,161,24,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,162,25,Box 4,,,,,,,,,,,,,,,,,,,,,
