County,Device ID,Batch,# Ballot Cards,Location
LAKE,2,257,10,2
LAKE,2,258,10,2
LAKE,2,259,10,2
LAKE,2,260,10,2
LAKE,2,261,10,2
LAKE,2,262,10,2
LAKE,2,263,10,2
LAKE,2,264,10,2
LAKE,2,265,10,2
LAKE,2,266,10,2
LAKE,2,267,10,2
LAKE,2,268,10,2
LAKE,2,269,10,2
LAKE,2,270,10,2
LAKE,2,271,10,2
LAKE,2,272,10,2
LAKE,2,273,10,2
LAKE,2,274,10,2
LAKE,2,275,3,2
LAKE,2,276,10,2
LAKE,2,277,10,2
LAKE,2,278,10,2
LAKE,2,279,10,2
LAKE,2,280,10,2
LAKE,2,281,10,3
LAKE,2,282,10,2
LAKE,2,283,10,2
LAKE,2,284,10,2
LAKE,2,285,10,2
LAKE,2,286,10,2
LAKE,2,287,10,2
LAKE,2,288,10,2
LAKE,2,289,10,2
LAKE,2,290,10,2
LAKE,2,291,10,2
LAKE,2,292,10,2
LAKE,2,293,10,2
LAKE,2,294,10,2
LAKE,2,295,10,2
LAKE,2,296,10,2
LAKE,2,297,10,2
LAKE,2,298,11,2
LAKE,2,299,10,2
LAKE,2,300,10,2
LAKE,2,301,10,2
LAKE,2,302,10,2
LAKE,2,303,10,2
LAKE,2,304,10,2
LAKE,2,305,10,2
LAKE,2,306,10,2
LAKE,2,307,10,2
LAKE,2,308,10,2
LAKE,2,309,10,2
LAKE,2,310,10,2
LAKE,2,311,10,2
LAKE,2,312,10,2
LAKE,2,313,10,2
LAKE,2,314,10,2
LAKE,2,315,10,2
LAKE,2,316,10,2
LAKE,2,317,10,2
LAKE,2,318,10,2
LAKE,2,319,10,2
LAKE,2,320,10,2
LAKE,2,321,10,2
LAKE,2,322,10,2
LAKE,2,323,10,2
LAKE,2,324,10,2
LAKE,2,325,10,2
LAKE,2,326,10,2
LAKE,2,327,10,2
LAKE,2,328,10,7
LAKE,2,329,10,7
LAKE,2,330,10,7
LAKE,2,331,10,7
LAKE,2,332,10,7
LAKE,2,333,10,7
LAKE,2,334,10,7
LAKE,2,335,10,7
LAKE,2,336,10,7
LAKE,2,337,10,7
LAKE,2,338,10,7
LAKE,2,339,10,7
LAKE,2,340,10,7
LAKE,2,341,10,7
LAKE,2,342,10,7
LAKE,2,343,10,7
LAKE,2,344,10,7
LAKE,2,345,10,7
LAKE,2,346,10,7
LAKE,2,347,10,7
LAKE,2,348,10,7
LAKE,2,349,10,7
LAKE,2,350,10,7
LAKE,2,351,10,7
LAKE,2,352,10,7
LAKE,2,353,10,7
LAKE,2,354,10,7
LAKE,2,355,10,7
LAKE,2,356,10,7
LAKE,2,357,10,7
LAKE,2,358,10,7
LAKE,2,359,10,7
LAKE,2,360,10,7
LAKE,2,361,10,7
LAKE,2,362,9,7
LAKE,2,363,25,7
LAKE,2,364,25,7
LAKE,2,365,25,7
LAKE,2,366,25,7
LAKE,2,367,25,7
LAKE,2,368,25,7
LAKE,2,369,25,7
LAKE,2,370,25,7
LAKE,2,371,25,7
LAKE,2,372,25,7
LAKE,2,373,25,7
LAKE,2,374,21,7
LAKE,2,375,10,7
LAKE,2,376,10,7
LAKE,2,377,8,7
