Gilpin,Device ID,Batch,# of Ballot Cards,Location
Gilpin,2,1,10,Box 1
Gilpin,2,2,10,Box 1
Gilpin,2,3,10,Box 1
Gilpin,2,4,10,Box 1
Gilpin,2,5,10,Box 1
Gilpin,2,6,10,Box 1
Gilpin,2,7,10,Box 1
Gilpin,2,8,10,Box 1
Gilpin,2,9,10,Box 1
Gilpin,2,10,10,Box 1
Gilpin,2,11,10,Box 1
Gilpin,2,12,10,Box 1
Gilpin,2,13,10,Box 1
Gilpin,2,14,10,Box 1
Gilpin,2,15,10,Box 1
Gilpin,2,16,10,Box 1
Gilpin,2,17,10,Box 1
Gilpin,2,18,10,Box 1
Gilpin,2,19,10,Box 1
Gilpin,2,20,10,Box 1
Gilpin,2,21,10,Box 1
Gilpin,2,22,10,Box 1
Gilpin,2,23,10,Box 1
Gilpin,2,24,10,Box 1
Gilpin,2,25,10,Box 1
Gilpin,2,26,10,Box 1
Gilpin,2,27,10,Box 1
Gilpin,2,28,10,Box 1
Gilpin,2,29,10,Box 1
Gilpin,2,30,10,Box 1
Gilpin,2,31,10,Box 1
Gilpin,2,32,10,Box 1
Gilpin,2,33,10,Box 1
Gilpin,2,34,10,Box 1
Gilpin,2,35,10,Box 1
Gilpin,2,36,10,Box 1
Gilpin,2,37,10,Box 1
Gilpin,2,38,10,Box 1
Gilpin,2,39,10,Box 1
Gilpin,2,40,10,Box 1
Gilpin,2,41,10,Box 1
Gilpin,2,42,10,Box 1
Gilpin,2,43,10,Box 1
Gilpin,2,44,10,Box 1
Gilpin,2,45,10,Box 1
Gilpin,2,46,10,Box 1
Gilpin,2,47,10,Box 1
Gilpin,2,48,10,Box 1
Gilpin,2,49,10,Box 1
Gilpin,2,50,10,Box 1
Gilpin,2,51,10,Box 1
Gilpin,2,52,10,Box 1
Gilpin,2,53,10,Box 1
Gilpin,2,54,10,Box 1
Gilpin,2,55,10,Box 1
Gilpin,2,56,10,Box 1
Gilpin,2,57,10,Box 1
Gilpin,2,58,10,Box 1
Gilpin,2,59,10,Box 1
Gilpin,2,60,10,Box 1
Gilpin,2,61,10,Box 1
Gilpin,2,62,10,Box 1
Gilpin,2,63,10,Box 1
Gilpin,2,64,10,Box 1
Gilpin,2,65,10,Box 1
Gilpin,2,66,10,Box 1
Gilpin,2,67,10,Box 1
Gilpin,2,68,10,Box 1
Gilpin,2,69,10,Box 1
Gilpin,2,70,10,Box 1
Gilpin,2,71,10,Box 1
Gilpin,2,72,10,Box 1
Gilpin,2,73,10,Box 1
Gilpin,2,74,10,Box 1
Gilpin,2,75,10,Box 1
Gilpin,2,76,10,Box 1
Gilpin,2,77,10,Box 1
Gilpin,2,78,10,Box 1
Gilpin,2,79,10,Box 1
Gilpin,2,80,10,Box 1
Gilpin,2,81,10,Box 1
Gilpin,2,82,10,Box 1
Gilpin,2,83,10,Box 1
Gilpin,2,84,10,Box 1
Gilpin,2,85,10,Box 1
Gilpin,2,86,10,Box 1
Gilpin,2,87,10,Box 1
Gilpin,2,88,10,Box 1
Gilpin,2,89,10,Box 1
Gilpin,2,90,10,Box 1
Gilpin,2,91,10,Box 2
Gilpin,2,92,10,Box 2
Gilpin,2,93,10,Box 2
Gilpin,2,94,10,Box 2
Gilpin,2,95,10,Box 2
Gilpin,2,96,10,Box 2
Gilpin,2,97,10,Box 2
Gilpin,2,98,10,Box 2
Gilpin,2,99,10,Box 2
Gilpin,2,100,10,Box 2
Gilpin,2,101,10,Box 2
Gilpin,2,102,10,Box 2
Gilpin,2,103,10,Box 2
Gilpin,2,104,10,Box 2
Gilpin,2,105,10,Box 2
Gilpin,2,106,10,Box 2
Gilpin,2,107,10,Box 2
Gilpin,2,108,10,Box 2
Gilpin,2,109,10,Box 2
Gilpin,2,110,10,Box 2
Gilpin,2,111,10,Box 2
Gilpin,2,112,10,Box 2
Gilpin,2,113,10,Box 2
Gilpin,2,114,10,Box 2
Gilpin,2,115,10,Box 2
Gilpin,2,116,10,Box 2
Gilpin,2,117,10,Box 2
Gilpin,2,118,10,Box 2
Gilpin,2,119,10,Box 2
Gilpin,2,120,10,Box 2
Gilpin,2,121,10,Box 2
Gilpin,2,122,10,Box 2
Gilpin,2,123,10,Box 2
Gilpin,2,124,10,Box 2
Gilpin,2,125,10,Box 2
Gilpin,2,126,10,Box 2
Gilpin,2,127,10,Box 2
Gilpin,2,128,10,Box 2
Gilpin,2,129,10,Box 2
Gilpin,2,130,10,Box 2
Gilpin,2,131,10,Box 2
Gilpin,2,132,10,Box 2
Gilpin,2,133,10,Box 2
Gilpin,2,134,10,Box 2
Gilpin,2,135,10,Box 2
Gilpin,2,136,10,Box 2
Gilpin,2,137,10,Box 2
Gilpin,2,138,10,Box 2
Gilpin,2,139,10,Box 2
Gilpin,2,140,10,Box 2
Gilpin,2,141,10,Box 2
Gilpin,2,142,10,Box 2
Gilpin,2,143,10,Box 2
Gilpin,2,144,10,Box 2
Gilpin,2,145,10,Box 2
Gilpin,2,146,10,Box 2
Gilpin,2,147,10,Box 2
Gilpin,2,148,10,Box 2
Gilpin,2,149,10,Box 2
Gilpin,2,150,10,Box 2
Gilpin,2,151,10,Box 2
Gilpin,2,152,10,Box 2
Gilpin,2,153,10,Box 2
Gilpin,2,154,10,Box 2
Gilpin,2,155,10,Box 2
Gilpin,2,156,10,Box 2
Gilpin,2,157,10,Box 2
Gilpin,2,158,10,Box 2
Gilpin,2,159,10,Box 2
Gilpin,2,160,10,Box 2
Gilpin,2,161,10,Box 2
Gilpin,2,162,10,Box 2
Gilpin,2,163,10,Box 2
Gilpin,2,164,10,Box 2
Gilpin,2,165,10,Box 2
Gilpin,2,166,10,Box 2
Gilpin,2,167,10,Box 2
Gilpin,2,168,10,Box 2
Gilpin,2,169,10,Box 2
Gilpin,2,170,10,Box 2
Gilpin,2,171,10,Box 2
Gilpin,2,172,10,Box 2
Gilpin,2,173,10,Box 2
Gilpin,2,174,10,Box 2
Gilpin,2,175,10,Box 2
Gilpin,2,176,10,Box 2
Gilpin,2,177,10,Box 2
Gilpin,2,178,10,Box 2
Gilpin,2,179,10,Box 2
Gilpin,2,180,10,Box 2
Gilpin,2,181,10,Box 2
Gilpin,2,182,10,Box 2
Gilpin,2,183,10,Box 2
Gilpin,2,184,10,Box 2
Gilpin,2,185,10,Box 2
Gilpin,2,186,10,Box 2
Gilpin,2,187,10,Box 2
Gilpin,2,188,10,Box 2
Gilpin,2,189,10,Box 2
Gilpin,2,190,10,Box 2
Gilpin,2,191,10,Box 2
Gilpin,2,192,10,Box 3
Gilpin,2,193,10,Box 3
Gilpin,2,194,10,Box 3
Gilpin,2,195,10,Box 3
Gilpin,2,196,10,Box 3
Gilpin,2,197,10,Box 3
Gilpin,2,198,10,Box 3
Gilpin,2,199,10,Box 3
Gilpin,2,200,10,Box 3
Gilpin,2,201,10,Box 3
Gilpin,2,202,10,Box 3
Gilpin,2,203,10,Box 3
