Gilpin,Device ID,Batch,# of Ballot Cards,Location
Gilpin,2,204,10,Box 3
Gilpin,2,205,10,Box 3
Gilpin,2,206,10,Box 3
Gilpin,2,207,10,Box 3
Gilpin,2,208,10,Box 3
Gilpin,2,209,10,Box 3
Gilpin,2,210,10,Box 3
Gilpin,2,211,10,Box 3
Gilpin,2,212,10,Box 3
Gilpin,2,213,10,Box 3
Gilpin,2,214,10,Box 3
Gilpin,2,215,10,Box 3
Gilpin,2,216,10,Box 3
Gilpin,2,217,10,Box 3
Gilpin,2,218,10,Box 3
Gilpin,2,219,10,Box 3
Gilpin,2,220,10,Box 3
Gilpin,2,221,10,Box 3
Gilpin,2,222,10,Box 3
Gilpin,2,223,10,Box 3
Gilpin,2,224,10,Box 3
Gilpin,2,225,10,Box 3
Gilpin,2,226,10,Box 3
Gilpin,2,227,10,Box 3
Gilpin,2,228,10,Box 3
Gilpin,2,229,10,Box 3
Gilpin,2,230,10,Box 3
Gilpin,2,231,10,Box 3
Gilpin,2,232,10,Box 3
Gilpin,2,233,10,Box 3
Gilpin,2,234,10,Box 3
Gilpin,2,235,10,Box 3
Gilpin,2,236,10,Box 3
Gilpin,2,237,10,Box 3
Gilpin,2,238,10,Box 3
Gilpin,2,239,10,Box 3
Gilpin,2,240,10,Box 3
Gilpin,2,241,10,Box 3
Gilpin,2,242,10,Box 3
Gilpin,2,243,10,Box 3
Gilpin,2,244,10,Box 3
Gilpin,2,245,10,Box 3
Gilpin,2,246,10,Box 3
Gilpin,2,247,10,Box 3
Gilpin,2,248,10,Box 3
Gilpin,2,249,10,Box 3
Gilpin,2,250,10,Box 3
Gilpin,2,251,10,Box 3
Gilpin,2,252,10,Box 3
Gilpin,2,253,10,Box 3
Gilpin,2,254,10,Box 3
Gilpin,2,255,10,Box 3
Gilpin,2,256,10,Box 3
Gilpin,2,257,10,Box 3
Gilpin,2,258,10,Box 3
Gilpin,2,259,10,Box 3
Gilpin,2,260,10,Box 3
Gilpin,2,261,10,Box 3
Gilpin,2,262,10,Box 3
Gilpin,2,263,10,Box 3
Gilpin,2,264,10,Box 3
Gilpin,2,265,10,Box 3
Gilpin,2,266,10,Box 4
Gilpin,2,267,10,Box 4
Gilpin,2,268,10,Box 4
Gilpin,2,269,10,Box 4
Gilpin,2,270,10,Box 4
Gilpin,2,271,10,Box 4
Gilpin,2,272,10,Box 4
Gilpin,2,273,10,Box 4
Gilpin,2,274,10,Box 4
Gilpin,2,275,10,Box 4
Gilpin,2,276,10,Box 4
Gilpin,2,277,10,Box 4
Gilpin,2,278,10,Box 4
Gilpin,2,279,10,Box 4
Gilpin,2,280,10,Box 4
Gilpin,2,281,10,Box 4
Gilpin,2,282,10,Box 4
Gilpin,2,283,10,Box 4
Gilpin,2,284,10,Box 4
Gilpin,2,285,10,Box 4
Gilpin,2,286,10,Box 4
Gilpin,2,287,10,Box 4
Gilpin,2,288,10,Box 4
Gilpin,2,289,10,Box 4
Gilpin,2,290,10,Box 4
Gilpin,2,291,10,Box 4
Gilpin,2,292,10,Box 4
Gilpin,2,293,10,Box 4
Gilpin,2,294,10,Box 4
Gilpin,2,295,10,Box 4
Gilpin,2,296,10,Box 4
Gilpin,2,297,10,Box 4
Gilpin,2,298,10,Box 4
Gilpin,2,299,10,Box 4
Gilpin,2,300,10,Box 4
Gilpin,2,301,10,Box 4
Gilpin,2,302,10,Box 4
Gilpin,2,303,10,Box 4
Gilpin,2,304,10,Box 4
Gilpin,2,305,10,Box 4
Gilpin,2,306,10,Box 4
Gilpin,2,307,10,Box 4
Gilpin,2,308,10,Box 4
Gilpin,2,309,10,Box 4
Gilpin,2,310,10,Box 4
Gilpin,2,311,10,Box 4
Gilpin,2,312,10,Box 4
Gilpin,2,313,10,Box 4
Gilpin,2,314,10,Box 4
Gilpin,2,315,10,Box 4
Gilpin,2,316,10,Box 4
Gilpin,2,317,10,Box 4
Gilpin,2,318,10,Box 4
Gilpin,2,319,10,Box 4
Gilpin,2,320,10,Box 4
Gilpin,2,321,10,Box 4
Gilpin,2,322,10,Box 4
Gilpin,2,323,10,Box 4
Gilpin,2,324,10,Box 4
Gilpin,2,325,10,Box 4
Gilpin,2,326,10,Box 4
Gilpin,2,327,10,Box 4
Gilpin,2,328,10,Box 4
Gilpin,2,329,10,Box 4
Gilpin,2,330,10,Box 4
Gilpin,2,331,10,Box 4
Gilpin,2,332,10,Box 4
Gilpin,2,333,10,Box 4
Gilpin,2,334,10,Box 4
Gilpin,2,335,10,Box 4
Gilpin,2,336,10,Box 4
Gilpin,2,337,10,Box 4
Gilpin,2,338,10,Box 4
Gilpin,2,339,10,Box 4
Gilpin,2,340,10,Box 4
Gilpin,2,341,7,Box 4
Gilpin,2,342,8,Box 4
Gilpin,2,343,10,Box 4
