contest_name,choice,votes
Adams County Assessor - DEM,Thomas Swingle,51806
Adams County Clerk and Recorder - DEM,Josh Zygielbaum,52157
Adams County Clerk and Recorder - REP,Karen Hoopes,25831
Adams County Commissioner - District 3 - DEM,Emma Pinter,52384
Adams County Commissioner - District 4 - DEM,Karen DeAguero,29805
Adams County Commissioner - District 4 - DEM,Tyler Quick,29111
Adams County Commissioner - District 4 - REP,Joseph P Domenico,25758
Adams County Coroner - DEM,Monica Broncucia-Jordan,52477
Adams County Sheriff - DEM,Gene R. Claps,51662
Adams County Sheriff - REP,Mark Goodell,26136
Adams County Treasurer - DEM,Jason Anaya-Ledeboer,52062
Alamosa County Assessor - DEM,Jason Duncan,898
Alamosa County Assessor - DEM,Adam Lauer,645
Alamosa County Clerk and Recorder - REP,Tina Espinoza,825
Alamosa County Clerk and Recorder - REP,Jamie Greeman,804
Alamosa County Commissioner - District 2 - DEM,Sherry Perdue,1353
Alamosa County Commissioner - District 2 - REP,Arlan Van Ry,1435
Alamosa County Coroner - REP,Joseph Dzuris,1392
Alamosa County Sheriff - DEM,Robert Jackson,1463
Alamosa County Surveyor - REP,Anthony James Martin,1369
Alamosa County Treasurer - REP,Amy McKinley,1454
Arapahoe County Assessor - DEM,PK Kaiser,77117
Arapahoe County Assessor - REP,Jesse Lind,35284
Arapahoe County Clerk and Recorder - DEM,Joan Lopez,81232
Arapahoe County Clerk and Recorder - REP,Annette Budd,35770
Arapahoe County Commissioner - District 2 - DEM,Jessica Campbell,12883
Arapahoe County Commissioner - District 2 - DEM,Angela Garland,6933
Arapahoe County Commissioner - District 2 - REP,Carl Schuldies,9507
Arapahoe County Commissioner - District 4 - DEM,Leslie Summey,9034
Arapahoe County Commissioner - District 4 - DEM,Maya Wheeler,7895
Arapahoe County Commissioner - District 4 - REP,"Sonda ""Sunny"" Banka",5080
Arapahoe County Coroner - DEM,Casey Bitting,75586
Arapahoe County Sheriff - DEM,Tyler Scott Brown,75169
Arapahoe County Sheriff - REP,Kevin Scott Edling,35037
Arapahoe County Treasurer - DEM,Michael Westerberg,78038
