county_name,contest_name,choice,votes
Adams,United States Senator - DEM,Julie Gonzales,32004
Adams,United States Senator - DEM,John Hickenlooper,31783
Adams,Representative to the 120th United States Congress - District 4 - DEM,Eileen Laubacher,781
Adams,Representative to the 120th United States Congress - District 4 - DEM,Jenna Preston,8
Adams,Representative to the 120th United States Congress - District 6 - DEM,Jason Crow,4201
Adams,Representative to the 120th United States Congress - District 7 - DEM,Brittany Pettersen,457
Adams,Representative to the 120th United States Congress - District 8 - DEM,Manny Rutinel,35640
Adams,Representative to the 120th United States Congress - District 8 - DEM,Shannon Bird,17969
Adams,Representative to the 120th United States Congress - District 8 - DEM,Evan Munsing,2579
Adams,Governor - DEM,Phil Weiser,33814
Adams,Governor - DEM,Michael Bennet,29518
Adams,Secretary of State - DEM,Amanda Gonzalez,40487
Adams,Secretary of State - DEM,Jessie Danielson,19757
Adams,State Treasurer - DEM,Jeff Bridges,51547
Adams,Attorney General - DEM,Jena Griswold,28181
Adams,Attorney General - DEM,David Seligman,13227
Adams,Attorney General - DEM,Michael Dougherty,10986
Adams,Attorney General - DEM,Hetal Doshi,10080
Adams,State Board of Education Member - Congressional District 7 - DEM,Karla Esser,440
Adams,Regent of the University of Colorado - Congressional District 6 - DEM,Ilana Spiegel,4112
Adams,Regent of the University of Colorado - Congressional District 7 - DEM,Nolbert Chavez,441
Adams,State Senator - District 21 - DEM (Adams),Adrienne Benavidez,10550
Adams,State Senator - District 21 - DEM (Adams),Alex Ryckman,5907
Adams,State Senator - District 24 - DEM,Kyle Mullica,17928
Adams,State Senator - District 25 - DEM,William Lindstedt,11854
Adams,State Representative - District 24 - DEM,Lisa Feret,431
Adams,State Representative - District 29 - DEM,Lori Goldstein,7034
Adams,State Representative - District 31 - DEM,Gabriel Cervantes,4892
Adams,State Representative - District 31 - DEM,"Jacqueline ""Jacque"" Phillips",4089
Adams,State Representative - District 32 - DEM,Chris VanDijk,7380
Adams,State Representative - District 33 - DEM,Heidi Henkel,1461
Adams,State Representative - District 33 - DEM,Kenny Van Nguyen,1395
Adams,State Representative - District 34 - DEM,Jenny Willford,10454
Adams,State Representative - District 35 - DEM,Lorena Garcia,7986
Adams,State Representative - District 36 - DEM,Michael Carter,4160
Adams,State Representative - District 48 - DEM,Dez Packard,3999
Adams,Adams County Commissioner - District 3 - DEM,Emma Pinter,52384
Adams,Adams County Commissioner - District 4 - DEM,Karen DeAguero,29805
Adams,Adams County Commissioner - District 4 - DEM,Tyler Quick,29111
Adams,Adams County Clerk and Recorder - DEM,Josh Zygielbaum,52157
Adams,Adams County Treasurer - DEM,Jason Anaya-Ledeboer,52062
Adams,Adams County Assessor - DEM,Thomas Swingle,51806
Adams,Adams County Sheriff - DEM,Gene R. Claps,51662
Adams,Adams County Coroner - DEM,Monica Broncucia-Jordan,52477
Adams,United States Senator - REP,Mark Baisley,24261
Adams,Representative to the 120th United States Congress - District 4 - REP,Lauren Boebert,1878
Adams,Representative to the 120th United States Congress - District 6 - REP,Mel Tewahade,905
Adams,Representative to the 120th United States Congress - District 7 - REP,Tim Bennett,105
Adams,Representative to the 120th United States Congress - District 8 - REP,Gabe Evans,23839
Adams,Governor - REP,Victor Marx,12545
Adams,Governor - REP,Barb Kirkmeyer,12092
Adams,Governor - REP,Scott Bottoms,5856
Adams,Governor - REP,"Kelvin ""K-Man"" Wimberly",7
Adams,Secretary of State - REP,James Wiley,26156
