CountyName,ContestName,ContestChoices
Adams,United States Senator - DEM,"John Hickenlooper,Julie Gonzales"
Adams,Representative to the 120th United States Congress - District 4 - DEM,"Jenna Preston,Eileen Laubacher,Write-in"
Adams,Governor - DEM,"Michael Bennet,Phil Weiser"
Adams,Secretary of State - DEM,"Jessie Danielson,Amanda Gonzalez"
Adams,State Treasurer - DEM,Jeff Bridges
Adams,Attorney General - DEM,"Hetal Doshi,Michael Dougherty,David Seligman,Jena Griswold"
Adams,Adams County Commissioner - District 3 - DEM,Emma Pinter
Adams,Adams County Commissioner - District 4 - DEM,"Karen DeAguero,Tyler Quick"
Adams,Adams County Clerk and Recorder - DEM,Josh Zygielbaum
Adams,Adams County Treasurer - DEM,Jason Anaya-Ledeboer
Adams,Adams County Assessor - DEM,Thomas Swingle
Adams,Adams County Sheriff - DEM,Gene R. Claps
Adams,Adams County Coroner - DEM,Monica Broncucia-Jordan
Adams,United States Senator - REP,Mark Baisley
Adams,Representative to the 120th United States Congress - District 4 - REP,Lauren Boebert
Adams,Governor - REP,"Kelvin ""K-Man"" Wimberly,Barb Kirkmeyer,Victor Marx,Scott Bottoms"
Adams,Secretary of State - REP,James Wiley
Adams,State Treasurer - REP,Kevin Grantham
Adams,Attorney General - REP (Adams),"David Willson,Michael J. Allen"
Adams,State Representative - District 56 - REP,Chris Richardson
Adams,Adams County Commissioner - District 4 - REP,Joseph P Domenico
Adams,Adams County Clerk and Recorder - REP,Karen Hoopes
Adams,Adams County Sheriff - REP,Mark Goodell
Adams,Secretary of State - LBR,"Alex Astley,Sean Vadney"
Adams,Governor - UNI,"Jeff Peckman,Paul Noel Fiorino"
Adams,State Representative - District 36 - DEM,Michael Carter
Adams,State Representative - District 36 - REP,Paul E. Nelson
Adams,State Senator - District 21 - DEM (Adams),"Alex Ryckman,Adrienne Benavidez"
Adams,State Senator - District 21 - REP,Frederick Alfred Jr
Adams,Representative to the 120th United States Congress - District 6 - DEM,Jason Crow
Adams,Regent of the University of Colorado - Congressional District 6 - DEM,Ilana Spiegel
Adams,Representative to the 120th United States Congress - District 6 - REP,Mel Tewahade
Adams,Regent of the University of Colorado - Congressional District 6 - REP,Veanessa Burbage
Adams,Representative to the 120th United States Congress - District 8 - DEM,"Shannon Bird,Evan Munsing,Manny Rutinel"
Adams,State Senator - District 25 - DEM,William Lindstedt
Adams,State Representative - District 34 - DEM,Jenny Willford
Adams,Representative to the 120th United States Congress - District 8 - REP,Gabe Evans
Adams,State Senator - District 25 - REP,Rich Guggenheim
Adams,State Representative - District 34 - REP,Craig Sullivan
Adams,State Representative - District 33 - DEM,"Kenny Van Nguyen,Heidi Henkel"
Adams,State Representative - District 33 - REP,Nate Jorgensen
Adams,State Representative - District 29 - DEM,Lori Goldstein
Adams,State Representative - District 29 - REP,Kristine Ireland
Adams,State Representative - District 35 - DEM,Lorena Garcia
Adams,State Senator - District 24 - DEM,Kyle Mullica
Adams,State Representative - District 31 - DEM,"Gabriel Cervantes,Jacqueline ""Jacque"" Phillips"
Adams,State Senator - District 24 - REP,Kevin Allen
Adams,State Representative - District 31 - REP,Ray Roll
Adams,State Representative - District 48 - DEM,Dez Packard
Adams,State Representative - District 48 - REP,Carlos Barron
Adams,State Representative - District 32 - DEM,Chris VanDijk
Adams,State Representative - District 32 - REP,"Damon L Scordo,Michelle D. Lee"
Adams,Representative to the 120th United States Congress - District 7 - DEM,Brittany Pettersen
Adams,State Board of Education Member - Congressional District 7 - DEM,Karla Esser
Adams,Regent of the University of Colorado - Congressional District 7 - DEM,Nolbert Chavez
Adams,State Representative - District 24 - DEM,Lisa Feret
Adams,Representative to the 120th United States Congress - District 7 - REP,Tim Bennett
Adams,State Board of Education Member - Congressional District 7 - REP,Steve Barton
Adams,Regent of the University of Colorado - Congressional District 7 - REP,"Paul Mueller,Joan Poston"
Adams,State Representative - District 24 - REP,Kristopher Johnson
Alamosa,United States Senator - DEM,"John Hickenlooper,Julie Gonzales"
Alamosa,Representative to the 120th United States Congress - District 3 - DEM,"Dwayne L. Romero,Alex Kelloff"
Alamosa,Governor - DEM,"Michael Bennet,Phil Weiser"
Alamosa,Secretary of State - DEM,"Jessie Danielson,Amanda Gonzalez"
Alamosa,State Treasurer - DEM,Jeff Bridges
Alamosa,Attorney General - DEM,"Hetal Doshi,Michael Dougherty,David Seligman,Jena Griswold"
Alamosa,State Board of Education Member - Congressional District 3 - DEM,Barb Clementi
Alamosa,State Representative - District 62 - DEM,Matthew Martinez
