2026 Morgan County Primary,5.17.17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),State Senator - District 1 - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 4 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),State Senator - District 1 - REP (Vote For=1),State Representative - District 63 - REP (Vote For=1),Morgan County Commissioner District 2 - REP (Vote For=1),Morgan County Clerk and Recorder - REP (Vote For=1),Morgan County Treasurer - REP (Vote For=1),Morgan County Assessor - REP (Vote For=1),Morgan County Sheriff - REP (Vote For=1),Morgan County Coroner - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,Julie Gonzales,John Hickenlooper,Eileen Laubacher,Write-in,Jenna Preston,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Jamie Jeffery,Sean Vadney,Alex Astley,Mark Baisley,Lauren Boebert,Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-in,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Byron Pelton,Dusty Johnson,Robert W Pennington,Kevin Strauch,Kirstin M Watson,Tim Amen,Dave (David) D. Martin,Mike Dahl,Paul Noël Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,BallotType,DEM,DEM,DEM,,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
1414,102,30,34,102-30-34,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1415,102,30,22,102-30-22,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1416,102,30,6,102-30-6,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1417,102,30,18,102-30-18,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1418,102,31,36,102-31-36,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1419,102,31,35,102-31-35,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1420,102,31,21,102-31-21,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1421,102,31,11,102-31-11,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1422,102,31,1,102-31-1,01-DEM,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1423,102,31,38,102-31-38,02-REP,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,,
1424,102,31,37,102-31-37,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1425,102,31,22,102-31-22,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1426,102,31,12,102-31-12,01-DEM,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1427,102,31,2,102-31-2,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1428,102,31,50,102-31-50,01-DEM,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1429,102,31,49,102-31-49,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1430,102,31,31,102-31-31,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1431,102,31,30,102-31-30,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1432,102,31,23,102-31-23,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1433,102,31,13,102-31-13,01-DEM,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1434,102,31,10,102-31-10,01-DEM,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1435,102,31,42,102-31-42,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1436,102,31,41,102-31-41,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1437,102,31,25,102-31-25,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1438,102,31,14,102-31-14,01-DEM,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1439,102,31,3,102-31-3,01-DEM,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
1440,102,31,40,102-31-40,01-DEM,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1441,102,31,39,102-31-39,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1442,102,31,24,102-31-24,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1443,102,31,15,102-31-15,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1444,102,31,8,102-31-8,01-DEM,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1445,102,31,34,102-31-34,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1446,102,31,33,102-31-33,02-REP,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
1447,102,31,26,102-31-26,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,,
1448,102,31,16,102-31-16,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1449,102,31,7,102-31-7,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1450,102,31,46,102-31-46,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1451,102,31,45,102-31-45,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,
1452,102,31,27,102-31-27,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1453,102,31,17,102-31-17,02-REP,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
1454,102,31,4,102-31-4,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1455,102,31,44,102-31-44,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1456,102,31,43,102-31-43,01-DEM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1457,102,31,28,102-31-28,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,,
1458,102,31,18,102-31-18,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1459,102,31,9,102-31-9,01-DEM,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1460,102,31,48,102-31-48,02-REP,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,
1461,102,31,47,102-31-47,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1462,102,31,29,102-31-29,02-REP,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,,
1463,102,31,19,102-31-19,01-DEM,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1464,102,31,6,102-31-6,01-DEM,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1465,102,31,32,102-31-32,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1466,102,31,20,102-31-20,01-DEM,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1467,102,31,5,102-31-5,01-DEM,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1468,102,32,34,102-32-34,02-REP,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
1469,102,32,33,102-32-33,01-DEM,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1470,102,32,11,102-32-11,01-DEM,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
1471,102,32,1,102-32-1,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,,
1472,102,32,32,102-32-32,01-DEM,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1473,102,32,31,102-32-31,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1474,102,32,21,102-32-21,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1475,102,32,12,102-32-12,01-DEM,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1476,102,32,2,102-32-2,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1477,102,32,36,102-32-36,01-DEM,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
1478,102,32,35,102-32-35,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1479,102,32,23,102-32-23,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1480,102,32,13,102-32-13,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1481,102,32,10,102-32-10,01-DEM,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1482,102,32,40,102-32-40,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1483,102,32,39,102-32-39,02-REP,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,,
1484,102,32,25,102-32-25,01-DEM,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1485,102,32,14,102-32-14,01-DEM,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1486,102,32,5,102-32-5,02-REP,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,,
1487,102,32,38,102-32-38,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1488,102,32,37,102-32-37,01-DEM,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1489,102,32,24,102-32-24,01-DEM,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1490,102,32,15,102-32-15,01-DEM,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1491,102,32,7,102-32-7,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1492,102,32,46,102-32-46,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,,
1493,102,32,45,102-32-45,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1494,102,32,27,102-32-27,02-REP,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1495,102,32,16,102-32-16,01-DEM,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1496,102,32,8,102-32-8,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1497,102,32,42,102-32-42,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1498,102,32,41,102-32-41,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1499,102,32,26,102-32-26,01-DEM,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1500,102,32,17,102-32-17,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1501,102,32,6,102-32-6,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1502,102,32,44,102-32-44,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1503,102,32,43,102-32-43,02-REP,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1504,102,32,28,102-32-28,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1505,102,32,18,102-32-18,01-DEM,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1506,102,32,4,102-32-4,02-REP,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
1507,102,32,48,102-32-48,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1508,102,32,47,102-32-47,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,,
1509,102,32,29,102-32-29,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1510,102,32,19,102-32-19,01-DEM,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1511,102,32,3,102-32-3,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1512,102,32,50,102-32-50,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1513,102,32,30,102-32-30,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1514,102,32,20,102-32-20,01-DEM,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1515,102,32,9,102-32-9,01-DEM,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1516,102,32,22,102-32-22,01-DEM,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1517,102,32,49,102-32-49,01-DEM,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1518,102,33,52,102-33-52,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1519,102,33,51,102-33-51,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1520,102,33,33,102-33-33,01-DEM,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1521,102,33,21,102-33-21,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1522,102,33,11,102-33-11,01-DEM,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1523,102,33,1,102-33-1,02-REP,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1524,102,33,54,102-33-54,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1525,102,33,53,102-33-53,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1526,102,33,32,102-33-32,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1527,102,33,22,102-33-22,01-DEM,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1528,102,33,12,102-33-12,01-DEM,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1529,102,33,8,102-33-8,01-DEM,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1530,102,33,58,102-33-58,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1531,102,33,57,102-33-57,01-DEM,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1532,102,33,36,102-33-36,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1533,102,33,35,102-33-35,02-REP,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,
1534,102,33,23,102-33-23,02-REP,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
1535,102,33,13,102-33-13,01-DEM,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1536,102,33,2,102-33-2,01-DEM,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
1537,102,33,56,102-33-56,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1538,102,33,55,102-33-55,02-REP,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,
1539,102,33,38,102-33-38,01-DEM,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1540,102,33,37,102-33-37,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1541,102,33,24,102-33-24,02-REP,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,
1542,102,33,14,102-33-14,01-DEM,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1543,102,33,4,102-33-4,01-DEM,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1544,102,33,50,102-33-50,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,
1545,102,33,49,102-33-49,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1546,102,33,27,102-33-27,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1547,102,33,15,102-33-15,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1548,102,33,3,102-33-3,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1549,102,33,60,102-33-60,01-DEM,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1550,102,33,59,102-33-59,01-DEM,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1551,102,33,40,102-33-40,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1552,102,33,39,102-33-39,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1553,102,33,26,102-33-26,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
1554,102,33,16,102-33-16,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1555,102,33,6,102-33-6,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1556,102,33,64,102-33-64,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1557,102,33,63,102-33-63,01-DEM,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1558,102,33,44,102-33-44,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1559,102,33,43,102-33-43,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,,
1560,102,33,25,102-33-25,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,,
1561,102,33,17,102-33-17,01-DEM,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1562,102,33,5,102-33-5,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1563,102,33,68,102-33-68,01-DEM,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1564,102,33,67,102-33-67,01-DEM,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1565,102,33,48,102-33-48,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1566,102,33,47,102-33-47,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1567,102,33,28,102-33-28,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,,
1568,102,33,18,102-33-18,01-DEM,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1569,102,33,7,102-33-7,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1570,102,33,62,102-33-62,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1571,102,33,61,102-33-61,01-DEM,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1572,102,33,42,102-33-42,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1573,102,33,41,102-33-41,02-REP,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1574,102,33,29,102-33-29,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
1575,102,33,19,102-33-19,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1576,102,33,9,102-33-9,01-DEM,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
1577,102,33,66,102-33-66,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
1578,102,33,65,102-33-65,02-REP,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1579,102,33,46,102-33-46,01-DEM,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1580,102,33,45,102-33-45,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
1581,102,33,30,102-33-30,01-DEM,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
