,,,,,,,"United States Senator - DEM (Vote For=1)","United States Senator - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","State Treasurer - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","State Board of Education Member - Congressional District 3 - DEM (Vote For=1)","State Representative - District 59 - DEM (Vote For=1)","La Plata County Commissioner District 1 - DEM (Vote For=1)","La Plata County Treasurer - DEM (Vote For=1)","La Plata County Assessor - DEM (Vote For=1)","La Plata County Sheriff - DEM (Vote For=1)","La Plata County Coroner - DEM (Vote For=1)","Secretary of State (Vote For=1)","Secretary of State (Vote For=1)","United States Senator - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Secretary of State - REP (Vote For=1)","State Treasurer - REP (Vote For=1)","Attorney General - REP (Vote For=1)","Attorney General - REP (Vote For=1)","State Board of Education Member - Congressional District 3 - REP (Vote For=1)","State Representative - District 59 - REP (Vote For=1)","La Plata County Surveyor - REP (Vote For=1)","La Plata County Coroner - REP (Vote For=1)","Governor - UNI (Vote For=1)","Governor - UNI (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)"
,,,,,,,"Julie Gonzales","John Hickenlooper","Alex Kelloff","Dwayne L. Romero","Phil Weiser","Michael Bennet","Amanda Gonzalez","Jessie Danielson","Jeff Bridges","Jena Griswold","David Seligman","Michael Dougherty","Hetal Doshi","Barb Clementi","Katie Stewart","Elizabeth Philbrick","Miles Walsh","Carrie Woodson","Sean Smith","Trever Nyx","Sean Vadney","Alex Astley","Mark Baisley","Ron Hanks","Jeff Hurd","Scott Bottoms","Victor Marx","Barb Kirkmeyer","Write-in","Kelvin ""K-Man"" Wimberly","James Wiley","Kevin Grantham","Michael J. Allen","David Willson","Sherri M Wright","Naomi Riess","Daryl Z Crites","Cathy Lynn Seibel","Paul Noël Fiorino","Jeff Peckman","FOR THE ORDINANCE","AGAINST THE ORDINANCE"
"CvrNumber","TabulatorNum","BatchId","RecordId","ImprintedId","PrecinctPortion","BallotType","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","LBR","LBR","REP","REP","REP","REP","REP","REP",,,"REP","REP","REP","REP","REP","REP","REP","REP","UNI","UNI",,
4512,102,41,47,"102-41-47","101 (101)","01-DEM",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4513,102,41,39,"102-41-39","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4514,102,41,22,"102-41-22","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,,,,
4515,102,41,43,"102-41-43","101 (101)","01-DEM",1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4516,102,41,23,"102-41-23","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,
4517,102,41,14,"102-41-14","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4518,102,41,45,"102-41-45","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4519,102,41,24,"102-41-24","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,
4520,102,41,10,"102-41-10","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4521,102,41,44,"102-41-44","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4522,102,41,25,"102-41-25","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
4523,102,41,8,"102-41-8","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4524,102,41,41,"102-41-41","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4525,102,41,26,"102-41-26","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
4526,102,41,5,"102-41-5","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4527,102,41,42,"102-41-42","101 (101)","01-DEM",1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4528,102,41,27,"102-41-27","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,,,,
4529,102,41,4,"102-41-4","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4530,102,41,46,"102-41-46","101 (101)","01-DEM",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4531,102,41,28,"102-41-28","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
4532,102,41,15,"102-41-15","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4533,102,41,29,"102-41-29","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
4534,102,41,30,"102-41-30","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4535,102,41,6,"102-41-6","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4536,102,41,31,"102-41-31","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
4537,102,41,18,"102-41-18","101 (101)","01-DEM",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4538,102,41,32,"102-41-32","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4539,102,41,7,"102-41-7","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4540,102,41,33,"102-41-33","101 (101)","01-DEM",1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4541,102,41,17,"102-41-17","101 (101)","01-DEM",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4542,102,41,34,"102-41-34","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4543,102,41,12,"102-41-12","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4544,102,41,37,"102-41-37","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4545,102,41,13,"102-41-13","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4546,102,41,2,"102-41-2","101 (101)","01-DEM",0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4547,102,41,3,"102-41-3","101 (101)","01-DEM",0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4548,102,41,38,"102-41-38","101 (101)","01-DEM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4549,102,41,16,"102-41-16","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4550,102,41,11,"102-41-11","101 (101)","01-DEM",0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4551,102,42,37,"102-42-37","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4552,102,42,19,"102-42-19","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4553,102,42,1,"102-42-1","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
4554,102,42,32,"102-42-32","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4555,102,42,20,"102-42-20","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4556,102,42,3,"102-42-3","101 (101)","01-DEM",0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4557,102,42,42,"102-42-42","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4558,102,42,41,"102-42-41","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4559,102,42,33,"102-42-33","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4560,102,42,21,"102-42-21","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4561,102,42,9,"102-42-9","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4562,102,42,22,"102-42-22","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4563,102,42,2,"102-42-2","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
4564,102,42,39,"102-42-39","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4565,102,42,23,"102-42-23","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
4566,102,42,13,"102-42-13","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
4567,102,42,45,"102-42-45","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
4568,102,42,24,"102-42-24","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4569,102,42,18,"102-42-18","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
4570,102,42,43,"102-42-43","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4571,102,42,25,"102-42-25","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,,,,
4572,102,42,16,"102-42-16","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4573,102,42,40,"102-42-40","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4574,102,42,26,"102-42-26","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4575,102,42,5,"102-42-5","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4576,102,42,48,"102-42-48","101 (101)","01-DEM",0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4577,102,42,27,"102-42-27","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4578,102,42,15,"102-42-15","101 (101)","01-DEM",0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4579,102,42,49,"102-42-49","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
4580,102,42,28,"102-42-28","101 (101)","01-DEM",1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4581,102,42,7,"102-42-7","101 (101)","01-DEM",1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4582,102,42,47,"102-42-47","101 (101)","01-DEM",0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4583,102,42,29,"102-42-29","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
4584,102,42,10,"102-42-10","101 (101)","01-DEM",0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4585,102,42,44,"102-42-44","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4586,102,42,30,"102-42-30","101 (101)","01-DEM",1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4587,102,42,6,"102-42-6","101 (101)","01-DEM",1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4588,102,42,46,"102-42-46","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4589,102,42,31,"102-42-31","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4590,102,42,11,"102-42-11","101 (101)","01-DEM",0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4591,102,42,34,"102-42-34","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
4592,102,42,4,"102-42-4","101 (101)","01-DEM",1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4593,102,42,35,"102-42-35","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4594,102,42,8,"102-42-8","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4595,102,42,36,"102-42-36","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4596,102,42,17,"102-42-17","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4597,102,42,50,"102-42-50","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4598,102,42,14,"102-42-14","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4599,102,42,12,"102-42-12","101 (101)","01-DEM",1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4600,102,42,38,"102-42-38","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4601,102,43,40,"102-43-40","101 (101)","01-DEM",0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4602,102,43,39,"102-43-39","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4603,102,43,26,"102-43-26","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,,,,
4604,102,43,19,"102-43-19","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4605,102,43,5,"102-43-5","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4606,102,43,42,"102-43-42","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4607,102,43,41,"102-43-41","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,,,,
4608,102,43,32,"102-43-32","101 (101)","01-DEM",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4609,102,43,20,"102-43-20","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4610,102,43,6,"102-43-6","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4611,102,43,33,"102-43-33","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
4612,102,43,21,"102-43-21","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
4613,102,43,1,"102-43-1","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4614,102,43,44,"102-43-44","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
4615,102,43,22,"102-43-22","101 (101)","01-DEM",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4616,102,43,7,"102-43-7","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4617,102,43,43,"102-43-43","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4618,102,43,23,"102-43-23","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4619,102,43,11,"102-43-11","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4620,102,43,48,"102-43-48","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4621,102,43,9,"102-43-9","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,
4622,102,43,47,"102-43-47","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4623,102,43,25,"102-43-25","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4624,102,43,10,"102-43-10","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4625,102,43,46,"102-43-46","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
4626,102,43,27,"102-43-27","101 (101)","01-DEM",1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4627,102,43,12,"102-43-12","101 (101)","01-DEM",0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4628,102,43,49,"102-43-49","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4629,102,43,28,"102-43-28","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,
4630,102,43,3,"102-43-3","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4631,102,43,29,"102-43-29","101 (101)","01-DEM",1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4632,102,43,8,"102-43-8","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4633,102,43,30,"102-43-30","101 (101)","01-DEM",0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4634,102,43,13,"102-43-13","101 (101)","01-DEM",0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4635,102,43,31,"102-43-31","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4636,102,43,17,"102-43-17","101 (101)","01-DEM",0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4637,102,43,50,"102-43-50","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,
4638,102,43,34,"102-43-34","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,,,,
4639,102,43,15,"102-43-15","101 (101)","01-DEM",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4640,102,43,35,"102-43-35","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
4641,102,43,36,"102-43-36","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4642,102,43,16,"102-43-16","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
4643,102,43,38,"102-43-38","101 (101)","01-DEM",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4644,102,43,2,"102-43-2","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4645,102,43,45,"102-43-45","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4646,102,43,4,"102-43-4","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4647,102,43,14,"102-43-14","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4648,102,43,18,"102-43-18","101 (101)","01-DEM",1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4649,102,43,24,"102-43-24","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
4650,102,43,37,"102-43-37","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4651,102,44,43,"102-44-43","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
