2026 Weld County Primary Election,5.17.17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 7 - DEM (Vote For=1),Representative to the 120th United States Congress - District 8 - DEM (Vote For=1),Representative to the 120th United States Congress - District 8 - DEM (Vote For=1),Representative to the 120th United States Congress - District 8 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),State Board of Education Member - Congressional District 7 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 7 - DEM (Vote For=1),State Senator - District 1 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Senator - District 25 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 33 - DEM (Vote For=1),State Representative - District 33 - DEM (Vote For=1),State Representative - District 48 - DEM (Vote For=1),State Representative - District 50 - DEM (Vote For=1),State Representative - District 64 - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 4 - REP (Vote For=1),Representative to the 120th United States Congress - District 7 - REP (Vote For=1),Representative to the 120th United States Congress - District 8 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),State Board of Education Member - Congressional District 7 - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),Regent of the University of Colorado - Congressional District 7 - REP (Vote For=1),Regent of the University of Colorado - Congressional District 7 - REP (Vote For=1),State Senator - District 1 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Senator - District 25 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 33 - REP (Vote For=1),State Representative - District 48 - REP (Vote For=1),State Representative - District 50 - REP (Vote For=1),State Representative - District 63 - REP (Vote For=1),State Representative - District 64 - REP (Vote For=1),State Representative - District 65 - REP (Vote For=1),Weld County Commissioner - At-Large - REP (Vote For=1),Weld County Commissioner - District 2 - REP (Vote For=1),Weld County Clerk and Recorder - REP (Vote For=1),Weld County Assessor - REP (Vote For=1),Weld County Sheriff - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
"=""9""","=""101""","=""1""","=""50""","=""101-1-50""",Mail - Major Party,124 (124),53-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0,1,0,0,0,1,1,0,1,,,,,,,,,,,,,1,,1,1,1,1,1,,
"=""10""","=""101""","=""1""","=""35""","=""101-1-35""",Mail - Major Party,101 (101),07-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,0,0,1,0,0,1,1,0,1,,,,,,,,,,,,,,1,1,,1,1,1,,
"=""11""","=""101""","=""1""","=""9""","=""101-1-9""",Mail - Major Party,101 (101),07-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,0,1,0,0,0,1,1,1,0,,,,,,,,,,,,,,1,1,,1,1,1,,
"=""12""","=""101""","=""1""","=""91""","=""101-1-91""",Mail - Major Party,105 (105),11-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,0,1,0,0,0,1,1,0,1,,,,,1,,,,,,,1,,,1,,1,1,1,,
"=""13""","=""101""","=""1""","=""90""","=""101-1-90""",Mail - Major Party,103 (103),09-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,0,0,0,0,1,1,0,1,,,,,1,,,,,,,,,1,1,,1,1,1,,
"=""14""","=""101""","=""1""","=""44""","=""101-1-44""",Mail - Major Party,126 (126),55-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,0,0,0,1,1,1,0,,,,,,,,,,1,,,,,1,,1,1,1,,
"=""15""","=""101""","=""1""","=""43""","=""101-1-43""",Mail - Major Party,126 (126),55-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,0,0,0,1,1,1,0,,,,,,,,,,1,,,,,1,,1,1,1,,
"=""16""","=""101""","=""1""","=""31""","=""101-1-31""",Mail - Major Party,101 (101),07-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,1,1,,1,1,1,,
"=""17""","=""101""","=""1""","=""21""","=""101-1-21""",Mail - Major Party,101 (101),07-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,0,1,0,0,0,1,1,1,0,,,,,,,,,,,,,,1,1,,1,1,1,,
"=""18""","=""101""","=""1""","=""15""","=""101-1-15""",Mail - Major Party,101 (101),07-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,0,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,1,1,,1,1,1,,
"=""19""","=""101""","=""1""","=""55""","=""101-1-55""",Mail - Major Party,124 (124),53-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0,1,0,0,0,1,1,1,0,,,,,,,,,,,,,1,,1,1,1,1,1,,
"=""20""","=""101""","=""1""","=""54""","=""101-1-54""",Mail - Major Party,124 (124),53-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0,1,0,0,0,1,1,1,0,,,,,,,,,,,,,1,,1,1,1,1,1,,
