county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id
Adams,Adams 12 Five Star Schools School Director District No. 3,3-129-28,BS-33,"","",YES,uploaded,"",2021-11-16 14:17:50.33328,616616
Adams,Adams 12 Five Star Schools School Director District No. 3,3-175-91,BS-33,"""Courtney Potter""","""Courtney Potter""",YES,uploaded,"",2021-11-16 15:01:30.679527,632729
Adams,Adams 12 Five Star Schools School Director District No. 3,7-32-11,BS-40,"""Courtney Potter""","""Courtney Potter""",YES,uploaded,"",2021-11-16 14:55:11.104283,624400
Adams,Adams 12 Five Star Schools School Director District No. 3,2-18-89,BS-33,"""Courtney Potter""","""Courtney Potter""",YES,uploaded,"",2021-11-16 14:23:03.97208,571724
Adams,Adams 12 Five Star Schools School Director District No. 3,2-148-15,BS-39,"""Courtney Potter""","""Courtney Potter""",YES,uploaded,"",2021-11-16 14:17:20.962129,603530
Adams,Adams 12 Five Star Schools School Director District No. 3,3-125-40,BS-34,"""Jackson Dreiling""","""Jackson Dreiling""",YES,uploaded,"",2021-11-16 14:12:29.375201,615188
Adams,Adams 12 Five Star Schools School Director District No. 3,2-34-65,BS-36,"","",YES,uploaded,"",2021-11-16 14:40:31.329121,576137
Adams,Adams 12 Five Star Schools School Director District No. 3,3-101-4,BS-36,"""Jackson Dreiling""","""Jackson Dreiling""",YES,uploaded,"",2021-11-16 14:00:17.654634,608123
Adams,Adams 12 Five Star Schools School Director District No. 3,6-315-27,BS-39,"""Courtney Potter""","""Courtney Potter""",YES,uploaded,"",2021-11-16 14:33:16.903393,653512
Adams,Adams 12 Five Star Schools School Director District No. 3,3-170-76,BS-36,"""Courtney Potter""","""Courtney Potter""",YES,uploaded,"",2021-11-16 14:58:00.6847,630656
Adams,Adams 12 Five Star Schools School Director District No. 3,3-154-42,BS-34,"""Jackson Dreiling""","""Jackson Dreiling""",YES,uploaded,"",2021-11-16 14:47:37.716031,624769
Adams,Adams 12 Five Star Schools School Director District No. 3,6-324-40,BS-34,"""Jackson Dreiling""","""Jackson Dreiling""",YES,uploaded,"",2021-11-16 14:41:34.745296,655091
Adams,Adams 12 Five Star Schools School Director District No. 3,6-292-34,BS-32,"""Courtney Potter""","""Courtney Potter""",YES,uploaded,"",2021-11-16 14:20:42.295869,649205
Adams,Adams 12 Five Star Schools School Director District No. 3,3-1-13,BS-35,"""Jackson Dreiling""","""Jackson Dreiling""",YES,uploaded,"",2021-11-16 14:47:15.063047,566363
