contest_name,audit_reason,random_audit_status,winners_allowed,ballot_card_count,contest_ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,one_vote_under_count,two_vote_under_count,disagreement_count,other_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
Academy School District 20 Director - 4 Year,opportunistic_benefits,ended,3,171356,38063,"""Nicole Konz"",""Aaron Salt"",""Thomas LaValley""",6166,0.03000000,0,0,0,0,0,0,0,1.03905000,0,203,203
Adams 12 Five Star Schools School Director District No. 3,opportunistic_benefits,in_progress,1,117257,52174,"""Courtney Potter""",142,0.03000000,0,0,0,0,0,0,0,1.03905000,0,6018,6018
Adams 12 Five Star Schools School Director District No. 4,opportunistic_benefits,not_auditable,1,117257,52174,"""Amira Assad-Lucas""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Adams-Arapahoe School District 28J Board of Directors,opportunistic_benefits,in_progress,4,250362,35058,"""Debbie Gerkin"",""Michael Carter"",""Tramaine Duncan"",""Anne Keke""",704,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2592,2592
Aims College District Trustee District C,opportunistic_benefits,in_progress,1,306530,52099,"""Marilyn Schock""",4264,0.03000000,0,0,0,0,0,0,0,1.03905000,0,524,524
Aims College District Trustee District D,opportunistic_benefits,not_auditable,1,306530,52099,"""Gene O'Hara""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Alamosa School District RE-11J Director District 1,opportunistic_benefits,in_progress,1,6496,3536,"""Justin Rilling""",236,0.03000000,0,0,0,0,0,0,0,1.03905000,0,201,201
Alamosa School District RE-11J Director District 3,opportunistic_benefits,not_auditable,1,6496,3536,"""Amanda Wilkinson""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Alamosa School District RE-11J Director District 4,opportunistic_benefits,not_auditable,1,6496,3536,"""Gloria Solis""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Alamosa School District RE-11J Director District 6,opportunistic_benefits,in_progress,1,6496,3536,"""Heidi Richardson""",641,0.03000000,0,0,0,0,0,0,0,1.03905000,0,74,74
Alamosa School District RE-11J Director District 7,opportunistic_benefits,in_progress,1,6496,3536,"""Patrick Alan Colvin""",7,0.03000000,0,0,0,0,0,0,0,1.03905000,0,6763,6763
Amendment 78 (CONSTITUTIONAL),opportunistic_benefits,in_progress,1,1724727,1554813,"""No/Against""",209679,0.03000000,0,0,0,0,0,0,0,1.03905000,0,60,60
Arapahoe County Ballot Issue 1A,opportunistic_benefits,ended,1,157534,157295,"""Yes/For""",82143,0.03000000,0,0,0,0,0,0,0,1.03905000,0,14,14
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,county_wide_contest,risk_limit_achieved,3,157534,34451,"""Andrew Graham"",""Joan Anderssen"",""Angela Christensen""",1979,0.03000000,582,0,0,0,0,0,0,1.03905000,0,581,581
Arapahoe Park and Recreation District Ballot Issue 6A,opportunistic_benefits,ended,1,157534,14672,"""Yes/For""",5287,0.03000000,0,0,0,0,0,0,0,1.03905000,0,218,218
Archuleta - Proposition 120 (STATUTORY),county_wide_contest,risk_limit_achieved,1,4414,4412,"""No/Against""",527,0.03000000,63,0,0,0,0,0,0,1.03905000,0,62,62
Arriba-Flagler C-20 School District Director,opportunistic_benefits,in_progress,3,3610,475,"""Alexander S. Flores"",""Jacob P. Smith"",""Gary C. Elrick""",6,0.03000000,0,0,0,0,0,0,0,1.03905000,0,4385,4385
Aspen School District - Board of Education School Directors,county_wide_contest,risk_limit_achieved,3,5576,4278,"""Stacey Weiss"",""Susan M. Zimet"",""Christa Gieszl""",759,0.03000000,55,0,0,0,0,0,0,1.03905000,0,54,54
Ballot Issue 4A General Obligation Bonds,county_wide_contest,risk_limit_achieved,1,2216,807,"""No/Against""",105,0.03000000,155,0,0,0,0,0,0,1.03905000,0,154,154
BALLOT ISSUE NO. 2A -  REVENUE FOR ROADS,opportunistic_benefits,ended,1,37677,22180,"""Yes/For""",9166,0.03000000,0,0,0,0,0,0,0,1.03905000,0,30,30
Bayfield School District 10 Jt-R Director,opportunistic_benefits,in_progress,2,22465,2978,"""Rebecca Parnell"",""Matt Turner""",80,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2047,2047
Bennett School District 29J School Director at Large - 2 Year Term,opportunistic_benefits,not_auditable,1,250362,2017,"""James DuBois""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Bennett School District 29J School Director at Large - 4 Year Term,opportunistic_benefits,in_progress,2,250362,2017,"""Andrew Thornton"",""Kyle Meyer""",202,0.03000000,0,0,0,0,0,0,0,1.03905000,0,9032,9032
Berthoud Community Library District Ballot Issue 6D,opportunistic_benefits,ended,1,112776,6346,"""No/Against""",1015,0.03000000,0,0,0,0,0,0,0,1.03905000,0,810,810
Big Sandy School District 100J Director,opportunistic_benefits,in_progress,2,181219,530,"""Chad Maranville"",""Greg Mitchell""",190,0.03000000,0,0,0,0,0,0,0,1.03905000,0,6951,6951
Board Director,opportunistic_benefits,ended,3,2983,1394,"""Lindsey Galles"",""John Deering"",""Terri Cooper""",23,0.03000000,0,0,0,0,0,0,0,1.03905000,0,946,946
Board of Education Director - D70 - District I,county_wide_contest,risk_limit_achieved,1,37677,14915,"""Dr. Aaron (A.J.) Wilson""",2105,0.03000000,132,0,0,0,0,0,0,1.03905000,0,131,131
Board of Education Director - D70 - District II,opportunistic_benefits,ended,1,37677,14915,"""Anne Ochs""",1752,0.03000000,0,0,0,0,0,0,0,1.03905000,0,157,157
Board of Education Director - D70 - District III,opportunistic_benefits,ended,1,37677,14915,"""Cathleen Culhane Howland""",273,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1006,1006
Board of Education Director - D70 - District IV,opportunistic_benefits,ended,1,37677,14915,"""Christopher DeLuca""",866,0.03000000,0,0,0,0,0,0,0,1.03905000,0,318,318
Board of Education Director - D70 - District V,opportunistic_benefits,ended,1,37677,14915,"""John Christenson""",1821,0.03000000,0,0,0,0,0,0,0,1.03905000,0,151,151
Boulder Valley School District RE-2 Director District B (4 Years),opportunistic_benefits,in_progress,1,135797,80754,"""Nicole Rajpal""",26902,0.03000000,0,0,0,0,0,0,0,1.03905000,0,37,37
Boulder Valley School District RE-2 Director District E (4 Years),opportunistic_benefits,in_progress,1,135797,80754,"""Beth Niznik""",2673,0.03000000,0,0,0,0,0,0,0,1.03905000,0,371,371
Boulder Valley School District RE-2 Director District F (4 Years),opportunistic_benefits,not_auditable,1,135797,80754,"""Kitty Sargent""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Brighton School District 27J Ballot Issue 5A,opportunistic_benefits,in_progress,1,186398,26434,"""No/Against""",916,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1483,1483
Brighton School District 27J Ballot Issue 5B,opportunistic_benefits,in_progress,1,186398,26434,"""Yes/For""",1131,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1201,1201
Brighton School District 27J Director - District 2,opportunistic_benefits,in_progress,1,186398,26434,"""Leon Thornton""",796,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1707,1707
Brighton School District 27J Director - District 4,opportunistic_benefits,in_progress,1,186398,26434,"""Ashley Conn""",1751,0.03000000,0,0,0,0,0,0,0,1.03905000,0,776,776
Brighton School District 27J Director - District 5,opportunistic_benefits,in_progress,1,186398,26434,"""Mandy J Thomas""",1676,0.03000000,0,0,0,0,0,0,0,1.03905000,0,811,811
Broomfield Ballot Question 2A,opportunistic_benefits,ended,1,24429,24429,"""Yes/For""",882,0.03000000,0,0,0,0,0,0,0,1.03905000,0,202,202
Brush RE-2J School Director,opportunistic_benefits,in_progress,4,8932,2064,"""Bryson Miller "",""Bradley Mortensen"",""Derek Windsheimer"",""Brandy Hansen""",393,0.03000000,0,0,0,0,0,0,0,1.03905000,0,166,166
Buena Vista School District Director - At Large,opportunistic_benefits,in_progress,1,8299,3492,"""Jessica Crites""",1525,0.03000000,0,0,0,0,0,0,0,1.03905000,0,40,40
Buena Vista School District Director - District B,opportunistic_benefits,not_auditable,1,8299,3492,"""Lynn Montoya""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
