County,Device,Batch,Cards,Box,Machine,BoxSeq
Jefferson,2,49,200,41,2,7
Jefferson,2,50,200,46,2,1
Jefferson,2,51,200,46,2,2
Jefferson,2,52,200,46,2,3
Jefferson,2,53,200,46,2,4
Jefferson,2,54,200,46,2,5
Jefferson,2,55,200,46,2,6
Jefferson,2,56,200,46,2,7
Jefferson,2,57,200,49,2,1
Jefferson,2,58,200,49,2,2
Jefferson,2,59,100,49,2,3
Jefferson,2,60,200,49,2,4
Jefferson,2,61,200,49,2,5
Jefferson,2,62,200,49,2,6
Jefferson,2,63,200,49,2,7
Jefferson,2,64,200,54,2,1
Jefferson,2,65,202,54,2,2
Jefferson,2,66,200,54,2,3
Jefferson,2,67,200,54,2,4
Jefferson,2,68,200,54,2,5
Jefferson,2,69,200,54,2,6
Jefferson,2,70,200,54,2,7
Jefferson,2,71,200,59,2,1
Jefferson,2,73,200,59,2,3
Jefferson,2,74,200,59,2,4
Jefferson,2,75,199,59,2,5
Jefferson,2,76,200,59,2,6
Jefferson,2,77,200,59,2,7
Jefferson,2,78,200,62,2,1
Jefferson,2,79,200,62,2,2
Jefferson,2,80,200,62,2,3
Jefferson,2,81,200,62,2,4
Jefferson,2,82,218,62,2,5
Jefferson,2,83,200,62,2,6
Jefferson,2,84,200,62,2,7
Jefferson,2,85,200,64,2,1
Jefferson,2,86,199,64,2,2
Jefferson,2,87,200,64,2,3
Jefferson,2,88,200,64,2,4
Jefferson,2,89,199,64,2,5
Jefferson,2,90,227,64,2,6
Jefferson,2,91,200,64,2,7
Jefferson,2,92,200,69,2,1
Jefferson,2,93,200,69,2,2
Jefferson,2,94,100,69,2,3
Jefferson,2,95,200,69,2,4
Jefferson,2,96,200,69,2,5
Jefferson,2,97,229,69,2,6
Jefferson,2,98,200,69,2,7
Jefferson,2,99,200,73,2,1
Jefferson,2,100,200,73,2,2
Jefferson,2,101,200,73,2,3
Jefferson,2,102,200,73,2,4
Jefferson,2,103,200,73,2,5
Jefferson,2,104,200,73,2,6
Jefferson,2,105,200,73,2,7
Jefferson,2,106,200,78,2,1
Jefferson,2,107,200,78,2,2
Jefferson,2,108,200,78,2,3
Jefferson,2,109,200,78,2,4
Jefferson,2,110,200,78,2,5
Jefferson,2,111,200,78,2,6
Jefferson,2,112,200,78,2,7
Jefferson,2,113,200,82,2,1
Jefferson,2,114,200,82,2,2
Jefferson,2,115,200,82,2,3
Jefferson,2,116,199,82,2,4
Jefferson,2,117,200,82,2,5
Jefferson,2,118,200,82,2,6
Jefferson,2,119,203,82,2,7
Jefferson,2,120,200,88,2,1
Jefferson,2,121,200,88,2,2
Jefferson,2,122,200,88,2,3
Jefferson,2,123,200,88,2,4
Jefferson,2,124,200,88,2,5
Jefferson,2,125,200,88,2,6
Jefferson,2,126,200,88,2,7
Jefferson,2,127,200,91,2,1
Jefferson,2,128,200,91,2,2
Jefferson,2,129,200,91,2,3
Jefferson,2,130,200,91,2,4
Jefferson,2,131,200,91,2,5
Jefferson,2,132,200,91,2,6
Jefferson,2,133,200,91,2,7
Jefferson,2,134,200,94,2,1
Jefferson,2,135,200,94,2,2
Jefferson,2,136,161,94,2,3
Jefferson,2,137,200,94,2,4
Jefferson,2,138,200,94,2,5
Jefferson,2,139,200,94,2,6
Jefferson,2,140,200,94,2,7
Jefferson,2,141,200,99,2,1
Jefferson,2,142,199,99,2,2
Jefferson,2,143,200,99,2,3
Jefferson,2,144,199,99,2,4
Jefferson,2,145,200,99,2,5
Jefferson,2,146,200,99,2,6
Jefferson,2,147,200,99,2,7
Jefferson,2,148,146,104,2,1
Jefferson,2,149,200,104,2,2
Jefferson,2,150,200,104,2,3
Jefferson,2,151,200,104,2,4
Jefferson,2,152,200,104,2,5
Jefferson,2,153,200,104,2,6
Jefferson,2,154,200,104,2,7
Jefferson,2,155,200,108,2,1
Jefferson,2,156,200,108,2,2
Jefferson,2,157,200,108,2,3
Jefferson,2,158,200,108,2,4
Jefferson,2,159,200,108,2,5
Jefferson,2,160,200,108,2,6
Jefferson,2,161,200,108,2,7
Jefferson,2,162,200,112,2,1
Jefferson,2,163,200,112,2,2
Jefferson,2,164,200,112,2,3
Jefferson,2,165,198,112,2,4
Jefferson,2,166,200,112,2,5
Jefferson,2,167,200,112,2,6
Jefferson,2,168,200,112,2,7
Jefferson,2,169,200,115,2,1
Jefferson,2,170,200,115,2,2
Jefferson,2,171,200,115,2,3
Jefferson,2,172,200,115,2,4
Jefferson,2,173,200,115,2,5
Jefferson,2,174,200,115,2,6
Jefferson,2,175,200,115,2,7
Jefferson,2,176,200,120,2,1
Jefferson,2,177,200,120,2,2
Jefferson,2,178,200,120,2,3
Jefferson,2,179,219,120,2,4
Jefferson,2,180,200,120,2,5
Jefferson,2,181,200,120,2,6
Jefferson,2,182,200,120,2,7
Jefferson,2,183,200,126,2,1
Jefferson,2,184,200,126,2,2
Jefferson,2,185,200,126,2,3
Jefferson,2,186,200,126,2,4
Jefferson,2,187,200,126,2,5
Jefferson,2,188,200,126,2,6
Jefferson,2,189,232,126,2,7
Jefferson,2,190,200,129,2,1
Jefferson,2,191,200,129,2,2
Jefferson,2,192,200,129,2,3
Jefferson,2,193,200,129,2,4
Jefferson,2,194,200,129,2,5
Jefferson,2,195,200,129,2,6
Jefferson,2,196,200,129,2,7
Jefferson,2,197,200,135,2,1
Jefferson,3,1,200,133,3,1
Jefferson,3,2,200,133,3,2
Jefferson,3,3,200,133,3,3
Jefferson,3,4,200,133,3,4
Jefferson,3,5,200,133,3,5
Jefferson,3,6,200,133,3,6
Jefferson,3,7,200,133,3,7
Jefferson,4,1,200,2,4,1
Jefferson,4,2,198,2,4,2
Jefferson,4,3,200,2,4,3
Jefferson,4,4,199,2,4,4
Jefferson,4,5,196,2,4,5
Jefferson,4,6,197,2,4,6
Jefferson,4,7,199,2,4,7
Jefferson,4,8,198,7,4,1
Jefferson,4,9,200,7,4,2
Jefferson,4,10,200,7,4,3
Jefferson,4,11,199,7,4,4
Jefferson,4,12,197,7,4,5
Jefferson,4,13,198,7,4,6
Jefferson,4,14,199,7,4,7
Jefferson,4,15,199,10,4,1
Jefferson,4,16,200,10,4,2
Jefferson,4,17,196,10,4,3
Jefferson,4,18,200,10,4,4
Jefferson,4,19,200,10,4,5
Jefferson,4,20,199,10,4,6
Jefferson,4,21,196,10,4,7
Jefferson,4,22,200,12,4,1
Jefferson,4,23,199,12,4,2
Jefferson,4,24,200,12,4,3
Jefferson,4,25,200,12,4,4
Jefferson,4,26,200,12,4,5
Jefferson,4,27,200,12,4,6
Jefferson,4,28,199,12,4,7
Jefferson,4,29,199,15,4,1
Jefferson,4,30,187,15,4,2
Jefferson,4,31,198,15,4,3
Jefferson,4,32,198,15,4,4
Jefferson,4,33,199,15,4,5
Jefferson,4,34,198,15,4,6
Jefferson,4,35,199,15,4,7
Jefferson,4,36,199,17,4,1
Jefferson,4,37,200,17,4,2
Jefferson,4,38,199,17,4,3
Jefferson,4,39,150,17,4,4
Jefferson,4,40,200,17,4,5
Jefferson,4,41,199,17,4,6
Jefferson,4,42,196,17,4,7
Jefferson,4,43,198,21,4,1
Jefferson,4,44,197,21,4,2
Jefferson,4,45,197,21,4,3
Jefferson,4,46,199,21,4,4
Jefferson,4,47,197,21,4,5
Jefferson,4,48,199,21,4,6
Jefferson,4,49,260,21,4,7
Jefferson,4,50,200,24,4,1
Jefferson,4,51,195,24,4,2
Jefferson,4,52,199,24,4,3
Jefferson,4,53,200,24,4,4
Jefferson,4,54,198,24,4,5
Jefferson,4,55,198,24,4,6
Jefferson,4,56,199,24,4,7
Jefferson,4,57,200,27,4,1
Jefferson,4,58,200,27,4,2
Jefferson,4,59,139,27,4,3
Jefferson,4,60,200,27,4,4
Jefferson,4,61,200,27,4,5
Jefferson,4,62,200,27,4,6
Jefferson,4,63,200,27,4,7
Jefferson,4,64,200,29,4,1
Jefferson,4,65,178,29,4,2
Jefferson,4,66,200,29,4,3
Jefferson,4,67,200,29,4,4
Jefferson,4,68,200,29,4,5
Jefferson,4,69,200,29,4,6
Jefferson,4,70,200,29,4,7
Jefferson,4,71,200,30,4,1
Jefferson,4,72,200,30,4,2
Jefferson,4,73,200,30,4,3
Jefferson,4,74,200,30,4,4
Jefferson,4,75,200,30,4,5
Jefferson,4,76,199,30,4,6
Jefferson,4,77,100,30,4,7
Jefferson,4,78,200,34,4,1
Jefferson,4,79,200,34,4,2
Jefferson,4,80,200,34,4,3
Jefferson,4,81,200,34,4,4
Jefferson,4,82,200,34,4,5
Jefferson,4,83,200,34,4,6
Jefferson,4,84,200,34,4,7
Jefferson,4,85,200,37,4,1
Jefferson,4,86,200,37,4,2
Jefferson,4,87,200,37,4,3
Jefferson,4,88,200,37,4,4
Jefferson,4,89,200,37,4,5
Jefferson,4,90,200,37,4,6
Jefferson,4,91,263,37,4,7
Jefferson,4,92,200,40,4,1
Jefferson,4,93,200,40,4,2
Jefferson,4,94,200,40,4,3
Jefferson,4,95,200,40,4,4
Jefferson,4,96,200,40,4,5
Jefferson,4,97,200,40,4,6
Jefferson,4,98,175,40,4,7
Jefferson,4,99,200,45,4,1
Jefferson,4,100,245,45,4,2
Jefferson,4,101,200,45,4,3
Jefferson,4,102,200,45,4,4
Jefferson,4,103,200,45,4,5
Jefferson,4,104,200,45,4,6
Jefferson,4,105,200,45,4,7
Jefferson,4,106,200,50,4,1
Jefferson,4,107,200,50,4,2
Jefferson,4,108,197,50,4,3
Jefferson,4,109,200,50,4,4
Jefferson,4,110,200,50,4,5
Jefferson,4,111,235,50,4,6
Jefferson,4,112,200,50,4,7
Jefferson,4,113,200,53,4,1
Jefferson,4,114,200,53,4,2
Jefferson,4,115,199,53,4,3
Jefferson,4,116,218,53,4,4
Jefferson,4,117,200,53,4,5
Jefferson,4,118,200,53,4,6
Jefferson,4,119,212,53,4,7
Jefferson,4,120,200,58,4,1
Jefferson,4,121,200,58,4,2
Jefferson,4,122,200,58,4,3
Jefferson,4,123,200,58,4,4
Jefferson,4,124,200,58,4,5
Jefferson,4,126,256,58,4,7
Jefferson,4,127,200,60,4,1
Jefferson,4,128,200,60,4,2
Jefferson,4,129,199,60,4,3
Jefferson,4,130,200,60,4,4
Jefferson,4,131,201,60,4,5
Jefferson,4,132,200,60,4,6
Jefferson,4,133,200,60,4,7
Jefferson,4,134,200,67,4,1
Jefferson,4,135,200,67,4,2
Jefferson,4,136,200,67,4,3
Jefferson,4,137,200,67,4,4
Jefferson,4,138,200,67,4,5
Jefferson,4,139,200,67,4,6
Jefferson,4,140,199,67,4,7
Jefferson,4,141,200,71,4,1
Jefferson,4,142,200,71,4,2
Jefferson,4,143,200,71,4,3
Jefferson,4,144,200,71,4,4
Jefferson,4,145,200,71,4,5
Jefferson,4,146,200,71,4,6
Jefferson,4,147,200,71,4,7
Jefferson,4,148,200,76,4,1
Jefferson,4,149,200,76,4,2
Jefferson,4,150,200,76,4,3
Jefferson,4,151,200,76,4,4
Jefferson,4,152,200,76,4,5
Jefferson,4,153,200,76,4,6
Jefferson,4,154,200,76,4,7
Jefferson,4,155,200,80,4,1
Jefferson,4,156,200,80,4,2
Jefferson,4,157,200,80,4,3
Jefferson,4,158,181,80,4,4
Jefferson,4,159,200,80,4,5
Jefferson,4,160,200,80,4,6
Jefferson,4,161,199,80,4,7
Jefferson,4,162,200,83,4,1
Jefferson,4,163,200,83,4,2
Jefferson,4,164,200,83,4,3
Jefferson,4,165,200,83,4,4
Jefferson,4,166,200,83,4,5
Jefferson,4,167,201,83,4,6
Jefferson,4,168,200,83,4,7
Jefferson,4,169,200,87,4,1
Jefferson,4,170,200,87,4,2
Jefferson,4,171,200,87,4,3
Jefferson,4,172,200,87,4,4
Jefferson,4,173,200,87,4,5
Jefferson,4,174,200,87,4,6
Jefferson,4,175,200,87,4,7
Jefferson,4,176,200,92,4,1
Jefferson,4,177,200,92,4,2
Jefferson,4,178,199,92,4,3
Jefferson,4,179,199,92,4,4
Jefferson,4,180,200,92,4,5
Jefferson,4,181,200,92,4,6
Jefferson,4,182,200,92,4,7
Jefferson,4,183,200,95,4,1
Jefferson,4,184,200,95,4,2
Jefferson,4,185,200,95,4,3
Jefferson,4,186,200,95,4,4
Jefferson,4,187,200,95,4,5
Jefferson,4,188,199,95,4,6
Jefferson,4,189,200,95,4,7
Jefferson,4,190,200,101,4,1
Jefferson,4,191,200,101,4,2
Jefferson,4,192,199,101,4,3
Jefferson,4,193,200,101,4,4
Jefferson,4,194,200,101,4,5
Jefferson,4,195,200,101,4,6
Jefferson,4,196,199,101,4,7
Jefferson,4,197,200,106,4,1
Jefferson,4,198,200,106,4,2
Jefferson,4,199,200,106,4,3
Jefferson,4,200,200,106,4,4
Jefferson,4,201,200,106,4,5
Jefferson,4,202,199,106,4,6
Jefferson,4,203,200,106,4,7
Jefferson,4,204,200,109,4,1
Jefferson,4,205,200,109,4,2
Jefferson,4,206,200,109,4,3
Jefferson,4,207,200,109,4,4
Jefferson,4,208,200,109,4,5
Jefferson,4,209,200,109,4,6
Jefferson,4,210,199,109,4,7
Jefferson,4,211,200,114,4,1
Jefferson,4,212,199,114,4,2
Jefferson,4,213,200,114,4,3
Jefferson,4,214,200,114,4,4
Jefferson,4,215,200,114,4,5
Jefferson,4,216,200,114,4,6
Jefferson,4,217,200,114,4,7
Jefferson,4,218,200,118,4,1
Jefferson,4,219,200,118,4,2
Jefferson,4,220,200,118,4,3
Jefferson,4,221,200,118,4,4
Jefferson,4,222,191,118,4,5
Jefferson,4,223,200,118,4,6
Jefferson,4,224,200,118,4,7
Jefferson,4,225,200,124,4,1
Jefferson,4,226,200,124,4,2
Jefferson,4,227,200,124,4,3
Jefferson,4,228,200,124,4,4
Jefferson,4,229,200,124,4,5
Jefferson,4,230,201,124,4,6
Jefferson,4,231,200,124,4,7
Jefferson,4,232,200,131,4,1
Jefferson,4,233,152,131,4,2
Jefferson,4,234,200,131,4,3
Jefferson,4,235,199,131,4,4
Jefferson,4,236,200,131,4,5
Jefferson,4,237,114,131,4,6
Jefferson,5,1,52,44,5,1
Jefferson,5,2,41,44,5,2
Jefferson,5,3,43,44,5,3
Jefferson,5,4,46,44,5,4
Jefferson,5,5,74,44,5,5
Jefferson,5,6,50,44,5,6
Jefferson,5,7,227,44,5,7
Jefferson,5,8,300,44,5,1
Jefferson,5,9,261,44,5,1
Jefferson,5,10,193,44,5,1
Jefferson,5,11,199,121,5,1
Jefferson,5,12,162,121,5,2
Jefferson,5,13,201,121,5,3
Jefferson,5,14,205,121,5,4
