County,Device,Batch,Cards,Box,Machine,BoxSeq
Jefferson,1,1,202,1,1,1
Jefferson,1,2,200,1,1,2
Jefferson,1,3,169,1,1,3
Jefferson,1,4,199,1,1,4
Jefferson,1,5,206,1,1,5
Jefferson,1,6,200,1,1,6
Jefferson,1,7,200,1,1,7
Jefferson,1,8,199,4,1,1
Jefferson,1,9,196,4,1,2
Jefferson,1,10,198,4,1,3
Jefferson,1,11,198,4,1,4
Jefferson,1,12,199,4,1,5
Jefferson,1,13,210,4,1,6
Jefferson,1,14,198,4,1,7
Jefferson,1,15,199,6,1,1
Jefferson,1,16,198,6,1,2
Jefferson,1,17,199,6,1,3
Jefferson,1,18,200,6,1,4
Jefferson,1,19,197,6,1,5
Jefferson,1,20,234,6,1,6
Jefferson,1,21,200,6,1,7
Jefferson,1,22,200,9,1,1
Jefferson,1,23,200,9,1,2
Jefferson,1,24,200,9,1,3
Jefferson,1,25,199,9,1,4
Jefferson,1,26,197,9,1,5
Jefferson,1,27,200,9,1,6
Jefferson,1,28,198,9,1,7
Jefferson,1,29,199,13,1,1
Jefferson,1,30,177,13,1,2
Jefferson,1,31,198,13,1,3
Jefferson,1,32,198,13,1,4
Jefferson,1,33,197,13,1,5
Jefferson,1,34,200,13,1,6
Jefferson,1,35,193,13,1,7
Jefferson,1,36,197,13,1,1
Jefferson,1,37,198,13,1,1
Jefferson,1,38,198,13,1,1
Jefferson,1,39,199,13,1,1
Jefferson,1,40,200,13,1,1
Jefferson,1,41,215,13,1,1
Jefferson,1,42,200,13,1,1
Jefferson,1,43,215,19,1,1
Jefferson,1,44,198,19,1,2
Jefferson,1,45,200,19,1,3
Jefferson,1,46,200,19,1,4
Jefferson,1,47,230,19,1,5
Jefferson,1,48,58,19,1,6
Jefferson,1,49,199,19,1,7
Jefferson,1,50,200,20,1,1
Jefferson,1,51,198,20,1,2
Jefferson,1,52,200,20,1,3
Jefferson,1,53,241,20,1,4
Jefferson,1,54,200,20,1,5
Jefferson,1,55,198,20,1,6
Jefferson,1,56,200,20,1,7
Jefferson,1,57,199,23,1,1
Jefferson,1,58,199,23,1,2
Jefferson,1,59,198,23,1,3
Jefferson,1,60,230,23,1,4
Jefferson,1,61,200,23,1,5
Jefferson,1,62,197,23,1,6
Jefferson,1,63,199,23,1,7
Jefferson,1,64,199,26,1,1
Jefferson,1,65,200,26,1,2
Jefferson,1,66,200,26,1,3
Jefferson,1,67,199,26,1,4
Jefferson,1,68,200,26,1,5
Jefferson,1,69,146,26,1,6
Jefferson,1,70,200,26,1,7
Jefferson,1,71,200,32,1,1
Jefferson,1,72,200,32,1,2
Jefferson,1,73,200,32,1,3
Jefferson,1,74,200,32,1,4
Jefferson,1,75,200,32,1,5
Jefferson,1,76,200,32,1,6
Jefferson,1,77,200,32,1,7
Jefferson,1,78,200,36,1,1
Jefferson,1,79,199,36,1,2
Jefferson,1,80,200,36,1,3
Jefferson,1,81,200,36,1,4
Jefferson,1,82,200,36,1,5
Jefferson,1,83,200,36,1,6
Jefferson,1,84,200,36,1,7
Jefferson,1,85,200,38,1,1
Jefferson,1,86,200,38,1,2
Jefferson,1,87,202,38,1,3
Jefferson,1,88,200,38,1,4
Jefferson,1,89,175,38,1,5
Jefferson,1,90,202,38,1,6
Jefferson,1,91,200,38,1,7
Jefferson,1,92,200,42,1,1
Jefferson,1,93,200,42,1,2
Jefferson,1,94,200,42,1,3
Jefferson,1,95,200,42,1,4
Jefferson,1,96,201,42,1,5
Jefferson,1,97,200,42,1,6
Jefferson,1,98,200,42,1,7
Jefferson,1,99,200,46,1,1
Jefferson,1,100,197,46,1,2
Jefferson,1,101,200,46,1,3
Jefferson,1,102,200,46,1,4
Jefferson,1,103,200,46,1,5
Jefferson,1,104,236,46,1,6
Jefferson,1,105,200,46,1,7
Jefferson,1,106,200,48,1,1
Jefferson,1,107,188,48,1,2
Jefferson,1,108,200,48,1,3
Jefferson,1,109,200,48,1,4
Jefferson,1,110,200,48,1,5
Jefferson,1,111,200,48,1,6
Jefferson,1,112,200,48,1,7
Jefferson,1,113,200,52,1,1
Jefferson,1,114,200,52,1,2
Jefferson,1,115,200,52,1,3
Jefferson,1,116,200,52,1,4
Jefferson,1,117,200,52,1,5
Jefferson,1,118,198,52,1,6
Jefferson,1,119,199,52,1,7
Jefferson,1,120,200,55,1,1
Jefferson,1,121,200,55,1,2
Jefferson,1,122,202,55,1,3
Jefferson,1,123,200,55,1,4
Jefferson,1,124,200,55,1,5
Jefferson,1,125,100,55,1,6
Jefferson,1,126,200,55,1,7
Jefferson,1,127,200,57,1,1
Jefferson,1,128,200,57,1,2
Jefferson,1,129,185,57,1,3
Jefferson,1,130,200,57,1,4
Jefferson,1,131,200,57,1,5
Jefferson,1,132,215,57,1,6
Jefferson,1,133,200,57,1,7
Jefferson,1,134,200,61,1,1
Jefferson,1,135,199,61,1,2
Jefferson,1,136,200,61,1,3
Jefferson,1,137,199,61,1,4
Jefferson,1,138,180,61,1,5
Jefferson,1,139,200,61,1,6
Jefferson,1,140,200,61,1,7
Jefferson,1,141,200,63,1,1
Jefferson,1,142,200,63,1,2
Jefferson,1,143,200,63,1,3
Jefferson,1,144,200,63,1,4
Jefferson,1,145,200,63,1,5
Jefferson,1,146,200,63,1,6
Jefferson,1,147,128,63,1,7
Jefferson,1,148,200,66,1,1
Jefferson,1,149,200,66,1,2
Jefferson,1,150,145,66,1,3
Jefferson,1,151,200,66,1,4
Jefferson,1,152,200,66,1,5
Jefferson,1,153,200,66,1,6
Jefferson,1,154,200,66,1,7
Jefferson,1,155,199,68,1,1
Jefferson,1,156,203,68,1,2
Jefferson,1,157,200,68,1,3
Jefferson,1,158,200,68,1,4
Jefferson,1,159,206,68,1,5
Jefferson,1,160,200,68,1,6
Jefferson,1,161,200,68,1,7
Jefferson,1,162,200,72,1,1
Jefferson,1,163,200,72,1,2
Jefferson,1,164,200,72,1,3
Jefferson,1,165,200,72,1,4
Jefferson,1,166,200,72,1,5
Jefferson,1,167,200,72,1,6
Jefferson,1,168,200,72,1,7
Jefferson,1,169,200,74,1,1
Jefferson,1,170,200,74,1,2
Jefferson,1,171,200,74,1,3
Jefferson,1,172,200,74,1,4
Jefferson,1,173,250,74,1,5
Jefferson,1,174,200,74,1,6
Jefferson,1,175,200,74,1,7
Jefferson,1,176,200,77,1,1
Jefferson,1,177,200,77,1,2
Jefferson,1,178,199,77,1,3
Jefferson,1,179,200,77,1,4
Jefferson,1,180,200,77,1,5
Jefferson,1,181,200,77,1,6
Jefferson,1,182,200,77,1,7
Jefferson,1,183,200,81,1,1
Jefferson,1,184,200,81,1,2
Jefferson,1,185,200,81,1,3
Jefferson,1,186,202,81,1,4
Jefferson,1,187,200,81,1,5
Jefferson,1,188,201,81,1,6
Jefferson,1,189,200,81,1,7
Jefferson,1,190,200,84,1,1
Jefferson,1,191,200,84,1,2
Jefferson,1,192,200,84,1,3
Jefferson,1,193,200,84,1,4
Jefferson,1,194,200,84,1,5
Jefferson,1,195,200,84,1,6
Jefferson,1,196,234,84,1,7
Jefferson,1,197,198,86,1,1
Jefferson,1,198,200,86,1,2
Jefferson,1,199,200,86,1,3
Jefferson,1,200,200,86,1,4
Jefferson,1,201,200,86,1,5
Jefferson,1,202,200,86,1,6
Jefferson,1,203,200,86,1,7
Jefferson,1,204,200,90,1,1
Jefferson,1,205,200,90,1,2
Jefferson,1,206,254,90,1,3
Jefferson,1,207,200,90,1,4
Jefferson,1,208,200,90,1,5
Jefferson,1,209,200,90,1,6
Jefferson,1,210,181,90,1,7
Jefferson,1,211,200,93,1,1
Jefferson,1,212,200,93,1,2
Jefferson,1,213,200,93,1,3
Jefferson,1,214,200,93,1,4
Jefferson,1,215,200,93,1,5
Jefferson,1,216,200,93,1,6
Jefferson,1,217,200,93,1,7
Jefferson,1,218,200,96,1,1
Jefferson,1,219,200,96,1,2
Jefferson,1,220,200,96,1,3
Jefferson,1,221,197,96,1,4
Jefferson,1,222,200,96,1,5
Jefferson,1,223,200,96,1,6
Jefferson,1,224,200,96,1,7
Jefferson,1,225,199,98,1,1
Jefferson,1,226,200,98,1,2
Jefferson,1,227,200,98,1,3
Jefferson,1,228,200,98,1,4
Jefferson,1,229,200,98,1,5
Jefferson,1,230,200,98,1,6
Jefferson,1,231,200,98,1,7
Jefferson,1,232,200,100,1,1
Jefferson,1,233,200,100,1,2
Jefferson,1,234,200,100,1,3
Jefferson,1,235,218,100,1,4
Jefferson,1,236,200,100,1,5
Jefferson,1,237,200,100,1,6
Jefferson,1,238,200,100,1,7
Jefferson,1,239,200,103,1,1
Jefferson,1,240,200,103,1,2
Jefferson,1,241,193,103,1,3
Jefferson,1,242,200,103,1,4
Jefferson,1,243,179,103,1,5
Jefferson,1,244,200,103,1,6
Jefferson,1,245,200,103,1,7
Jefferson,1,246,200,105,1,1
Jefferson,1,247,200,105,1,2
Jefferson,1,248,200,105,1,3
Jefferson,1,249,174,105,1,4
Jefferson,1,250,200,105,1,5
Jefferson,1,251,200,105,1,6
Jefferson,1,252,200,105,1,7
Jefferson,1,253,200,110,1,1
Jefferson,1,254,213,110,1,2
Jefferson,1,255,200,110,1,3
Jefferson,1,256,199,110,1,4
Jefferson,1,257,244,110,1,5
Jefferson,1,258,200,110,1,6
Jefferson,1,259,200,110,1,7
Jefferson,1,260,200,113,1,1
Jefferson,1,261,200,113,1,2
Jefferson,1,262,200,113,1,3
Jefferson,1,263,200,113,1,4
Jefferson,1,264,212,113,1,5
Jefferson,1,265,200,113,1,6
Jefferson,1,266,200,113,1,7
Jefferson,1,267,200,117,1,1
Jefferson,1,268,200,117,1,2
Jefferson,1,269,200,117,1,3
Jefferson,1,270,200,117,1,4
Jefferson,1,271,200,117,1,5
Jefferson,1,272,200,117,1,6
Jefferson,1,273,174,117,1,7
Jefferson,1,274,200,119,1,1
Jefferson,1,275,200,119,1,2
Jefferson,1,276,200,119,1,3
Jefferson,1,277,200,119,1,4
Jefferson,1,278,200,119,1,5
Jefferson,1,279,200,119,1,6
Jefferson,1,280,200,119,1,7
Jefferson,1,281,200,122,1,1
Jefferson,1,282,200,122,1,2
Jefferson,1,283,200,122,1,3
Jefferson,1,284,200,122,1,4
Jefferson,1,285,200,122,1,5
Jefferson,1,286,201,122,1,6
Jefferson,1,287,200,122,1,7
Jefferson,1,288,200,125,1,1
Jefferson,1,289,200,125,1,2
Jefferson,1,290,200,125,1,3
Jefferson,1,291,200,125,1,4
Jefferson,1,292,199,125,1,5
Jefferson,1,293,200,125,1,6
Jefferson,1,294,200,125,1,7
Jefferson,1,295,200,127,1,1
Jefferson,1,296,200,127,1,2
Jefferson,1,297,200,127,1,3
Jefferson,1,298,200,127,1,4
Jefferson,1,299,200,127,1,5
Jefferson,1,300,213,127,1,6
Jefferson,1,301,200,127,1,7
Jefferson,1,302,170,130,1,1
Jefferson,1,303,200,130,1,2
Jefferson,1,304,200,130,1,3
Jefferson,1,305,200,130,1,4
Jefferson,1,306,199,130,1,5
Jefferson,1,307,200,130,1,6
Jefferson,1,308,200,130,1,7
Jefferson,1,309,200,132,1,1
Jefferson,1,310,200,132,1,2
Jefferson,1,311,200,132,1,3
Jefferson,1,312,186,132,1,4
Jefferson,1,313,200,132,1,5
Jefferson,1,314,200,132,1,6
Jefferson,1,315,200,132,1,7
Jefferson,1,316,239,136,1,1
Jefferson,1,317,160,136,1,2
Jefferson,1,318,200,136,1,3
Jefferson,1,319,200,136,1,4
Jefferson,1,320,200,136,1,5
Jefferson,1,321,103,136,1,6
Jefferson,1,322,200,136,1,7
Jefferson,2,1,199,5,2,1
Jefferson,2,2,198,5,2,2
Jefferson,2,3,200,5,2,3
Jefferson,2,4,198,5,2,4
Jefferson,2,5,200,5,2,5
Jefferson,2,6,200,5,2,6
Jefferson,2,7,198,5,2,7
Jefferson,2,8,199,25,2,1
Jefferson,2,9,198,25,2,2
Jefferson,2,10,199,25,2,3
Jefferson,2,11,173,25,2,4
Jefferson,2,12,200,25,2,5
Jefferson,2,13,200,25,2,6
Jefferson,2,14,200,25,2,7
Jefferson,2,15,200,28,2,1
Jefferson,2,16,200,28,2,2
Jefferson,2,17,200,28,2,3
Jefferson,2,18,200,28,2,4
Jefferson,2,19,154,28,2,5
Jefferson,2,20,200,28,2,6
Jefferson,2,21,191,28,2,7
Jefferson,2,22,200,31,2,1
Jefferson,2,23,200,31,2,2
Jefferson,2,24,200,31,2,3
Jefferson,2,25,200,31,2,4
Jefferson,2,26,199,31,2,5
Jefferson,2,27,200,31,2,6
Jefferson,2,28,200,31,2,7
Jefferson,2,29,200,35,2,1
Jefferson,2,30,200,35,2,2
Jefferson,2,31,200,35,2,3
Jefferson,2,33,200,35,2,5
Jefferson,2,34,200,35,2,6
Jefferson,2,35,200,35,2,7
Jefferson,2,36,200,39,2,1
Jefferson,2,37,199,39,2,2
Jefferson,2,38,200,39,2,3
Jefferson,2,39,195,39,2,4
Jefferson,2,40,200,39,2,5
Jefferson,2,41,200,39,2,6
Jefferson,2,42,201,39,2,7
Jefferson,2,43,200,41,2,1
Jefferson,2,44,200,41,2,2
Jefferson,2,45,200,41,2,3
Jefferson,2,46,200,41,2,4
Jefferson,2,47,200,41,2,5
Jefferson,2,48,100,41,2,6
