County,Tabulator ID,Batch,# of Ballot Cards,Location,,
Summit,103,111,25,Bin #3,,
Summit,103,112,25,Bin #3,,
Summit,103,113,25,Bin #3,,
Summit,103,114,25,Bin #3,,
Summit,103,115,25,Bin #3,,
Summit,103,116,25,Bin #3,,
Summit,103,117,25,Bin #3,,
Summit,103,118,25,Bin #3,,
Summit,103,119,25,Bin #3,,
Summit,103,120,25,Bin #3,,
Summit,103,121,25,Bin #3,,
Summit,103,122,25,Bin #3,,
Summit,103,123,25,Bin #3,,
Summit,103,124,25,Bin #3,,
Summit,103,125,25,Bin #3,,
Summit,103,126,25,Bin #3,,
Summit,103,127,25,Bin #3,,
Summit,103,128,25,Bin #3,,
Summit,103,129,25,Bin #3,,
Summit,103,130,25,Bin #3,,
Summit,103,131,25,Bin #3,,
Summit,103,132,25,Bin #3,,
Summit,103,133,25,Bin #3,,
Summit,103,134,25,Bin #3,,
Summit,103,135,25,Bin #3,,
Summit,103,136,25,Bin #3,,
Summit,103,137,25,Bin #3,,
Summit,103,138,25,Bin #3,,
Summit,103,139,25,Bin #3,,
Summit,103,140,25,Bin #3,,
Summit,103,141,25,Bin #3,,
Summit,103,142,25,Bin #3,,
Summit,103,143,25,Bin #3,,
Summit,103,144,25,Bin #3,,
Summit,103,145,25,Bin #3,,
Summit,103,146,25,Bin #3,,
Summit,103,147,25,Bin #3,,
Summit,103,148,25,Bin #3,,
Summit,103,149,25,Bin #3,,
Summit,103,150,25,Bin #3,,
Summit,103,151,16,Bin #3,,
Summit,103,152,8,Bin #3,,
Summit,103,153,9,Bin #3,,
Summit,103,154,9,Bin #3,,
Summit,106,1,25,Bin #1,,
Summit,106,2,25,Bin #1,,
Summit,106,3,9,Bin #1,,
