CountyName,ContestName,ContestChoices
Arapahoe,State Representative - District 56 - REP,Chris Richardson
Arapahoe,Arapahoe County Commissioner - District 3 - REP,Jeff Baker
Arapahoe,State Representative - District 40 - DEM,Naquetta Ricks
Arapahoe,State Representative - District 40 - REP,Darryl Gibbs
Arapahoe,State Representative - District 61 - DEM,Eliza Hamrick
Arapahoe,State Representative - District 61 - REP,Luis A. Moy
Arapahoe,State Senator - District 28 - REP,Pedro Espinoza
Arapahoe,Representative to the 119th United States Congress - District 6 - DEM,Jason Crow
Arapahoe,State Senator - District 16 - DEM,Chris Kolker
Arapahoe,State Representative - District 37 - DEM,Chad Clifford
Arapahoe,Representative to the 119th United States Congress - District 6 - REP,John E. Fabbricatore
Arapahoe,State Senator - District 16 - REP,Robyn Carnes
Arapahoe,State Representative - District 37 - REP,Danny D. Moore
Arapahoe,State Representative - District 38 - DEM,Gretchen Jeannette Rydin
Arapahoe,State Representative - District 38 - REP,Jeffrey Patty
Arapahoe,State Senator - District 26 - DEM,Jeff Bridges
Arapahoe,State Representative - District 3 - DEM,Meg Froelich
Arapahoe,State Senator - District 26 - REP,Bob Lane
Arapahoe,State Representative - District 3 - REP,Mickey Neal
Arapahoe,State Representative - District 42 - DEM,Mandy Lindsay
Arapahoe,State Senator - District 29 - DEM,Janet Buckner
Arapahoe,State Senator - District 29 - REP,Robert Tate
Arapahoe,State Representative - District 41 - DEM,Iman Jodeh
Arapahoe,State Representative - District 41 - REP,Rob McKenna
Archuleta,Representative to the 119th United States Congress - District 3 - REP,"Stephen A. Varela, Ron Hanks, Lew Webb, Russ Andrews, Curtis M. McCrackin, Jeff Hurd"
Archuleta,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Archuleta,Regent of the University of Colorado - Congressional District 3 - REP,"Kristine Sposato, Ray Scott"
Archuleta,Archuleta County Commissioner - District 2 - REP,"John Ranson, Zane Kraetsch"
Archuleta,Representative to the 119th United States Congress - District 3 - DEM,Adam Frisch
Archuleta,State Board of Education Member - Congressional District 3 - DEM,Ellen Angeles
Archuleta,Regent of the University of Colorado - Congressional District 3 - DEM,Robert B. Logan
