County,Tabulator ID,Batch,#Ballot Cards,Location
Washington,102,1,25,Box 1
Washington,102,2,25,Box 1
Washington,102,3,24,Box 1
Washington,102,4,25,Box 1
Washington,102,5,22,Box 1
Washington,102,6,25,Box 1
Washington,102,7,23,Box 1
Washington,102,8,24,Box 1
Washington,102,9,22,Box 1
Washington,102,10,24,Box 1
Washington,102,11,22,Box 1
Washington,102,12,24,Box 1
Washington,102,13,24,Box 1
Washington,102,14,22,Box 1
Washington,102,15,23,Box 1
Washington,102,16,24,Box 1
Washington,102,17,25,Box 1
Washington,102,18,24,Box 1
Washington,102,19,24,Box 1
Washington,102,20,25,Box 1
Washington,102,21,25,Box 1
Washington,102,22,24,Box 1
Washington,102,23,25,Box 1
Washington,102,24,24,Box 1
Washington,102,25,25,Box 1
Washington,102,26,25,Box 1
Washington,102,27,25,Box 1
Washington,102,28,25,Box 1
Washington,102,29,25,Box 1
Washington,102,30,25,Box 1
Washington,102,31,24,Box 1
Washington,102,32,24,Box 1
Washington,102,33,23,Box 1
Washington,102,34,22,Box 1
Washington,102,35,23,Box 1
Washington,102,36,23,Box 1
Washington,102,37,25,Box 1
Washington,102,38,23,Box 1
Washington,102,39,25,Box 1
Washington,102,40,25,Box 2
Washington,102,41,23,Box 2
Washington,102,42,23,Box 2
Washington,102,43,22,Box 2
Washington,102,44,25,Box 2
Washington,102,45,25,Box 2
Washington,102,46,25,Box 2
Washington,102,47,25,Box 2
Washington,102,48,25,Box 2
Washington,102,49,23,Box 2
Washington,102,50,24,Box 2
Washington,102,51,25,Box 2
Washington,102,52,25,Box 2
Washington,102,53,24,Box 2
Washington,102,54,23,Box 2
Washington,102,55,25,Box 2
Washington,102,56,24,Box 2
Washington,102,57,24,Box 2
Washington,102,58,25,Box 2
Washington,102,59,23,Box 2
Washington,102,60,23,Box 2
Washington,102,61,25,Box 2
Washington,102,62,23,Box 2
Washington,102,63,25,Box 2
Washington,102,64,4,Box 2
Washington,102,65,6,Box 2
Washington,102,66,22,Box 2
Washington,102,67,25,Box 2
Washington,102,68,24,Box 2
Washington,102,69,24,Box 2
Washington,102,70,25,Box 2
Washington,102,71,5,Box 2
Washington,102,72,11,Box 2
Washington,102,73,25,Box 2
Washington,102,74,23,Box 2
Washington,102,75,17,Box 2
Washington,102,76,1,Box 2
Washington,102,77,1,Box 2
Washington,102,78,18,Box 2
