2,Tabulator ID,Batch,# of Ballot Cards,Location
Rio Blanco,102,80,25,Box 2
Rio Blanco,102,81,25,Box 3
Rio Blanco,102,82,25,Box 3
Rio Blanco,102,83,25,Box 3
Rio Blanco,102,84,25,Box 3
Rio Blanco,102,85,25,Box 3
Rio Blanco,102,86,25,Box 3
Rio Blanco,102,87,25,Box 3
Rio Blanco,102,88,25,Box 3
Rio Blanco,102,89,25,Box 3
Rio Blanco,102,90,25,Box 3
Rio Blanco,102,91,25,Box 3
Rio Blanco,102,92,25,Box 3
Rio Blanco,102,93,25,Box 3
Rio Blanco,102,94,25,Box 3
Rio Blanco,102,95,25,Box 3
Rio Blanco,102,96,25,Box 3
Rio Blanco,102,97,25,Box 3
Rio Blanco,102,98,25,Box 3
Rio Blanco,102,99,25,Box 3
Rio Blanco,102,100,25,Box 3
Rio Blanco,102,101,25,Box 3
Rio Blanco,102,102,25,Box 3
Rio Blanco,102,103,25,Box 3
Rio Blanco,102,104,25,Box 3
Rio Blanco,102,105,25,Box 3
Rio Blanco,102,106,25,Box 3
Rio Blanco,102,107,25,Box 3
Rio Blanco,102,108,25,Box 3
Rio Blanco,102,109,25,Box 3
Rio Blanco,102,110,25,Box 3
Rio Blanco,102,111,25,Box 3
Rio Blanco,102,112,25,Box 3
Rio Blanco,102,113,25,Box 3
Rio Blanco,102,114,25,Box 3
Rio Blanco,102,115,25,Box 3
Rio Blanco,102,116,25,Box 3
Rio Blanco,102,117,25,Box 3
Rio Blanco,102,118,25,Box 3
Rio Blanco,102,119,25,Box 3
Rio Blanco,102,120,25,Box 3
Rio Blanco,102,121,25,Box 3
Rio Blanco,102,122,25,Box 3
Rio Blanco,102,123,25,Box 3
Rio Blanco,102,124,25,Box 4
Rio Blanco,102,125,25,Box 4
Rio Blanco,102,126,25,Box 4
Rio Blanco,102,127,25,Box 4
Rio Blanco,102,128,25,Box 4
Rio Blanco,102,129,25,Box 4
Rio Blanco,102,130,25,Box 4
Rio Blanco,102,131,25,Box 4
Rio Blanco,102,132,25,Box 4
Rio Blanco,102,133,25,Box 4
Rio Blanco,102,134,25,Box 4
Rio Blanco,102,135,25,Box 4
Rio Blanco,102,136,25,ICX
Rio Blanco,102,137,25,ICX
Rio Blanco,102,138,16,ICX
Rio Blanco,102,139,25,Box 4
Rio Blanco,102,140,25,Box 4
Rio Blanco,102,141,10,Box 4
Rio Blanco,102,142,25,Box 4
Rio Blanco,102,143,18,Box 4
Rio Blanco,102,144,25,ICX
Rio Blanco,102,145,25,ICX
Rio Blanco,102,146,25,ICX
Rio Blanco,102,147,25,ICX
Rio Blanco,102,148,32,ICX
Rio Blanco,102,149,16,Box 4
Rio Blanco,102,150,19,Box 4
