,Device ID,Batch,# of Ballot Cards,Location
Yuma,1,214,20,3
Yuma,1,215,20,3
Yuma,1,216,20,3
Yuma,1,217,20,3
Yuma,1,218,20,3
Yuma,1,219,20,3
Yuma,1,220,20,3
Yuma,1,221,20,3
Yuma,1,222,20,3
Yuma,1,223,20,3
Yuma,1,224,20,3
Yuma,1,225,20,3
Yuma,1,226,15,3
Yuma,1,227,15,3
Yuma,1,228,20,3
Yuma,1,229,20,3
Yuma,1,230,20,3
Yuma,1,231,20,3
Yuma,1,232,20,3
Yuma,1,233,20,3
Yuma,1,234,20,3
Yuma,1,235,15,3
Yuma,1,236,20,3
Yuma,1,237,20,3
Yuma,1,238,20,3
Yuma,1,239,25,3
Yuma,1,240,19,3
Yuma,1,241,8,4
Yuma,1,242,8,4
Yuma,1,243,9,4
Yuma,1,244,20,4
Yuma,1,245,8,4
Yuma,1,246,9,4
Yuma,1,247,20,4
Yuma,1,248,20,4
Yuma,1,249,20,4
Yuma,1,250,20,4
Yuma,1,251,20,4
Yuma,1,252,20,4
Yuma,1,253,20,4
Yuma,1,254,20,4
Yuma,1,255,20,4
Yuma,1,256,17,4
Yuma,1,257,1,4
