County,Tabulator ID,Batch,# of Ballot Cards,Location,Description
Moffat,1,1,11,BB1,
Moffat,1,2,14,BB1,
Moffat,1,3,11,BB1,
Moffat,1,4,14,BB1,
Moffat,1,5,11,BB1,
Moffat,1,6,14,BB1,
Moffat,1,7,11,BB1,
Moffat,1,8,14,BB1,
Moffat,1,9,11,BB1,
Moffat,1,10,14,BB1,
Moffat,1,11,11,BB1,
Moffat,1,12,14,BB1,
Moffat,1,13,11,BB1,
Moffat,1,14,14,BB1,
Moffat,1,15,11,BB1,
Moffat,1,16,14,BB1,
Moffat,1,17,11,BB1,
Moffat,1,18,14,BB1,
Moffat,1,19,11,BB1,
Moffat,1,20,14,BB1,
Moffat,1,21,11,BB1,
Moffat,1,22,14,BB1,
Moffat,1,23,11,BB1,
Moffat,1,24,14,BB1,
Moffat,1,25,11,BB1,
Moffat,1,26,14,BB1,
Moffat,1,27,11,BB1,
Moffat,1,28,14,BB1,
Moffat,1,29,11,BB1,
Moffat,1,30,14,BB1,
Moffat,1,31,11,BB1,
Moffat,1,32,14,BB1,
Moffat,1,33,11,BB1,
Moffat,1,34,14,BB1,
Moffat,1,35,11,BB1,
Moffat,1,36,14,BB1,
Moffat,1,37,11,BB1,
Moffat,1,38,14,BB1,
Moffat,1,39,11,BB1,
Moffat,1,40,14,BB1,
Moffat,1,41,11,BB1,
Moffat,1,42,14,BB1,
Moffat,1,43,11,BB1,
Moffat,1,44,14,BB1,
Moffat,1,45,11,BB1,
Moffat,1,46,14,BB1,
Moffat,1,47,11,BB1,
Moffat,1,48,14,BB1,
Moffat,1,49,11,BB1,
Moffat,1,50,14,BB1,
Moffat,1,51,11,BB1,
Moffat,1,52,14,BB1,
Moffat,1,53,11,BB1,
Moffat,1,54,14,BB1,
Moffat,1,55,11,BB1,
Moffat,1,56,14,BB1,
Moffat,1,57,11,BB1,
Moffat,1,58,14,BB1,
Moffat,1,59,11,BB1,
Moffat,1,60,14,BB1,
Moffat,1,61,11,BB1,
Moffat,1,62,14,BB1,
Moffat,1,63,11,BB1,
Moffat,1,64,14,BB1,
Moffat,1,65,11,BB1,
Moffat,1,66,14,BB1,
Moffat,1,67,11,BB1,
Moffat,1,68,14,BB1,
Moffat,1,69,11,BB1,
Moffat,1,70,14,BB1,
Moffat,1,71,11,BB1,
Moffat,1,72,14,BB1,
Moffat,1,73,11,BB1,
Moffat,1,74,14,BB1,
Moffat,1,75,11,BB1,
Moffat,1,76,14,BB1,
Moffat,1,77,11,BB1,
Moffat,1,78,14,BB1,
Moffat,1,79,11,BB1,
Moffat,1,80,14,BB1,
Moffat,1,81,11,BB1,
Moffat,1,82,14,BB1,
Moffat,1,83,11,BB1,
Moffat,1,84,14,BB1,
Moffat,1,85,11,BB1,
Moffat,1,86,14,BB1,
Moffat,1,87,11,BB1,
Moffat,1,88,14,BB1,
Moffat,1,89,11,BB1,
Moffat,1,90,14,BB1,
Moffat,1,91,11,BB1,
Moffat,1,92,14,BB1,
Moffat,1,93,11,BB1,
Moffat,1,94,14,BB1,
Moffat,1,95,11,BB1,
Moffat,1,96,14,BB1,
Moffat,1,97,11,BB1,
Moffat,1,98,14,BB1,
Moffat,1,99,11,BB1,
Moffat,1,100,14,BB1,
Moffat,1,101,11,BB1,
Moffat,1,102,14,BB1,
Moffat,1,103,11,BB1,
Moffat,1,104,14,BB1,
Moffat,1,105,11,BB1,
Moffat,1,106,14,BB1,
Moffat,1,107,11,BB1,
Moffat,1,108,14,BB1,
Moffat,1,109,11,BB1,
Moffat,1,110,14,BB1,
Moffat,1,111,11,BB1,
Moffat,1,112,14,BB1,
Moffat,1,113,11,BB1,
Moffat,1,114,14,BB1,
Moffat,1,115,11,BB1,
Moffat,1,116,14,BB1,
