County,Tabulator ID,Batch,# of Ballot Cards,Location,Description
Moffat,1,117,11,BB1,
Moffat,1,118,14,BB1,
Moffat,1,119,11,BB1,
Moffat,1,120,14,BB1,
Moffat,1,121,11,BB1,
Moffat,1,122,14,BB1,
Moffat,1,123,11,BB1,
Moffat,1,124,14,BB1,
Moffat,1,125,11,BB1,
Moffat,1,126,14,BB1,
Moffat,1,127,11,BB1,
Moffat,1,128,14,BB1,
Moffat,1,129,11,BB1,
Moffat,1,130,14,BB1,
Moffat,1,131,11,BB1,
Moffat,1,132,14,BB1,
Moffat,1,133,11,BB1,
Moffat,1,134,14,BB1,
Moffat,1,135,11,BB1,
Moffat,1,136,14,BB1,
Moffat,1,137,11,BB1,
Moffat,1,138,14,BB1,
Moffat,1,139,11,BB1,
Moffat,1,140,14,BB1,
Moffat,1,141,11,BB1,
Moffat,1,142,14,BB1,
Moffat,1,143,11,BB1,
Moffat,1,144,14,BB1,
Moffat,1,145,11,BB1,
Moffat,1,146,14,BB1,
Moffat,1,147,11,BB1,
Moffat,1,148,14,BB1,
Moffat,1,149,11,BB1,
Moffat,1,150,14,BB1,
Moffat,1,151,11,BB1,
Moffat,1,152,14,BB1,
Moffat,1,153,11,BB1,
Moffat,1,154,14,BB1,
Moffat,1,155,11,BB1,
Moffat,1,156,14,BB1,
Moffat,1,157,11,BB1,
Moffat,1,158,14,BB1,
Moffat,1,159,11,BB1,
Moffat,1,160,14,BB1,
Moffat,1,161,11,BB1,
Moffat,1,162,14,BB1,
Moffat,1,163,25,BB2,
Moffat,1,164,25,BB2,
Moffat,1,165,25,BB2,
Moffat,1,166,25,BB2,
Moffat,1,167,25,BB2,
Moffat,1,168,25,BB2,
Moffat,1,169,25,BB2,
Moffat,1,170,25,BB2,
Moffat,1,171,25,BB2,
Moffat,1,172,25,BB2,
Moffat,1,173,25,BB2,
Moffat,1,174,25,BB2,
Moffat,1,175,25,BB2,
Moffat,1,176,25,BB2,
Moffat,1,177,25,BB2,
Moffat,1,178,25,BB2,
Moffat,1,179,25,BB2,
Moffat,1,180,25,BB2,
Moffat,1,181,25,BB2,
Moffat,1,182,25,BB2,
Moffat,1,183,25,BB2,
Moffat,1,184,25,BB2,
Moffat,1,185,25,BB2,
Moffat,1,186,25,BB2,
Moffat,1,187,25,BB2,
Moffat,1,188,25,BB2,
Moffat,1,189,25,BB2,
Moffat,1,190,25,BB2,
Moffat,1,191,25,BB2,
Moffat,1,192,25,BB2,
Moffat,1,193,25,BB2,
Moffat,1,194,25,BB2,
Moffat,1,195,25,BB2,
Moffat,1,196,25,BB2,
Moffat,1,197,25,BB2,
Moffat,1,198,25,BB2,
Moffat,1,199,25,BB2,
Moffat,1,200,25,BB2,
Moffat,1,201,25,BB2,
Moffat,1,202,25,BB2,
Moffat,1,203,25,BB2,
Moffat,1,204,25,BB2,
Moffat,1,205,25,BB2,
Moffat,1,206,25,BB2,
Moffat,1,207,25,BB2,
Moffat,1,208,25,BB2,
Moffat,1,209,25,BB2,
Moffat,1,210,25,BB2,
Moffat,1,211,25,BB2,
Moffat,1,212,25,BB2,
Moffat,1,213,25,BB2,
Moffat,1,214,25,BB2,
Moffat,1,215,25,BB2,
Moffat,1,216,25,BB2,
Moffat,1,217,25,BB2,
Moffat,1,218,25,BB2,
Moffat,1,219,25,BB2,
Moffat,1,220,25,BB2,
Moffat,1,221,25,BB2,
Moffat,1,222,25,BB2,
Moffat,1,223,25,BB2,
Moffat,1,224,25,BB2,
Moffat,1,225,25,BB2,
Moffat,1,226,25,BB2,
Moffat,1,227,25,BB2,
Moffat,1,228,25,BB2,
Moffat,1,229,25,BB2,
Moffat,1,230,25,BB2,
Moffat,1,231,25,BB2,
Moffat,1,232,25,BB2,
Moffat,1,233,25,BB2,
Moffat,1,234,25,BB2,
Moffat,1,235,25,BB2,
Moffat,1,236,25,BB2,
Moffat,1,237,25,BB2,
Moffat,1,238,25,BB2,
Moffat,1,239,25,BB2,
Moffat,1,240,25,BB2,
Moffat,1,241,25,BB2,
Moffat,1,242,25,BB2,
Moffat,1,243,25,BB2,
Moffat,1,244,25,BB2,
Moffat,1,245,25,BB2,
Moffat,1,246,25,BB2,
Moffat,1,247,25,BB2,
Moffat,1,248,25,BB2,
Moffat,1,249,25,BB2,
Moffat,1,250,25,BB3,
Moffat,1,251,25,BB3,
Moffat,1,252,25,BB3,
Moffat,1,253,25,BB3,
Moffat,1,254,25,BB3,
Moffat,1,255,25,BB3,
Moffat,1,256,25,BB3,
Moffat,1,257,25,BB3,
Moffat,1,258,25,BB3,
Moffat,1,259,25,BB3,
Moffat,1,260,25,BB3,
Moffat,1,261,25,BB3,
Moffat,1,262,25,BB3,
Moffat,1,263,25,BB3,
Moffat,1,264,25,BB3,
Moffat,1,265,25,BB3,
Moffat,1,266,25,BB3,
Moffat,1,267,25,BB3,
Moffat,1,268,25,BB3,
Moffat,1,269,25,BB3,
Moffat,1,270,25,BB3,
Moffat,1,271,25,BB3,
Moffat,1,272,25,BB3,
Moffat,1,273,25,BB3,
Moffat,1,274,25,BB3,
Moffat,1,275,25,BB3,
Moffat,1,276,25,BB3,
Moffat,1,277,25,BB3,
Moffat,1,278,25,BB3,
Moffat,1,279,25,BB3,
Moffat,1,280,25,BB3,
Moffat,1,281,25,BB3,
Moffat,1,282,25,BB3,
Moffat,1,283,25,BB3,
Moffat,1,284,25,BB3,
Moffat,1,285,25,BB3,
Moffat,1,286,25,BB3,
Moffat,1,287,25,BB3,
Moffat,1,288,25,BB3,
Moffat,1,289,25,BB3,
Moffat,1,290,25,BB3,
Moffat,1,291,25,BB3,
Moffat,1,292,25,BB3,
Moffat,1,293,25,BB3,
Moffat,1,294,25,BB3,
Moffat,1,295,25,BB3,
Moffat,1,296,25,BB3,
Moffat,1,297,25,BB3,
Moffat,1,298,25,BB3,
Moffat,1,299,25,BB3,
Moffat,1,300,25,BB3,
Moffat,1,301,25,BB3,
Moffat,1,302,25,BB3,
Moffat,1,303,25,BB3,
Moffat,1,304,25,BB3,
Moffat,1,305,25,BB3,
Moffat,1,306,25,BB3,
Moffat,1,307,25,BB3,
Moffat,1,308,25,BB3,
Moffat,1,309,25,BB3,
Moffat,1,310,25,BB3,
Moffat,1,311,25,BB3,
Moffat,1,312,25,BB3,
Moffat,1,313,25,BB3,
Moffat,1,314,25,BB3,
Moffat,1,315,25,BB3,
Moffat,1,316,25,BB3,
Moffat,1,317,25,BB3,
Moffat,1,318,25,BB3,
Moffat,1,319,25,BB3,
Moffat,1,320,25,BB3,
Moffat,1,321,25,BB3,
Moffat,1,322,25,BB3,
Moffat,1,323,25,BB3,
Moffat,1,324,25,BB3,
Moffat,1,325,25,BB3,
Moffat,1,326,25,BB3,
Moffat,1,327,25,BB3,
Moffat,1,328,25,BB3,
Moffat,1,329,25,BB3,
Moffat,1,330,25,BB3,
Moffat,1,331,25,BB3,
Moffat,1,332,25,BB3,
Moffat,1,333,25,BB3,
Moffat,1,334,25,BB3,
Moffat,1,335,25,BB3,
Moffat,1,336,25,BB3,
Moffat,1,337,25,BB3,
Moffat,1,338,25,BB3,
Moffat,1,339,25,BB3,
Moffat,1,340,25,BB3,
Moffat,1,341,25,BB3,
Moffat,1,342,25,BB3,
Moffat,1,343,25,BB3,
Moffat,1,344,25,BB3,
Moffat,1,345,25,BB3,
Moffat,1,346,25,BB3,
Moffat,1,347,25,BB3,
Moffat,1,348,25,BB3,
Moffat,1,349,25,BB3,
Moffat,1,350,25,BB3,
Moffat,1,351,25,BB3,
Moffat,1,352,25,BB3,
Moffat,1,353,25,BB3,
Moffat,1,354,25,BB3,
Moffat,1,355,25,BB3,
Moffat,1,356,25,BB4,
Moffat,1,357,25,BB4,
Moffat,1,358,25,BB4,
Moffat,1,359,25,BB4,
Moffat,1,360,25,BB4,
Moffat,1,361,25,BB4,
Moffat,1,362,4,BB4,
Moffat,1,363,8,BB4,
Moffat,1,364,25,BB4,
Moffat,1,365,14,BB4,
Moffat,1,366,23,BB4,
