County,Tabulator ID,Batch,# of Ballots,Location
Otero,1,232,25,11
Otero,1,233,25,11
Otero,1,234,25,11
Otero,1,235,25,5
Otero,1,236,25,5
Otero,1,237,25,5
Otero,1,238,25,5
Otero,1,239,25,5
Otero,1,240,25,5
Otero,1,241,25,5
Otero,1,242,25,5
Otero,1,243,25,5
Otero,1,244,25,5
Otero,1,245,25,5
Otero,1,246,25,5
Otero,1,247,25,5
Otero,1,248,25,5
Otero,1,249,25,1
Otero,1,250,25,1
Otero,1,251,10,1
Otero,1,252,25,1
Otero,1,253,25,1
Otero,1,254,8,1
Otero,3,1,25,8
Otero,3,2,24,8
Otero,3,3,25,8
Otero,3,4,25,8
Otero,3,5,25,8
Otero,3,6,25,8
Otero,3,7,25,8
Otero,3,8,25,8
Otero,3,9,24,8
Otero,3,10,25,8
Otero,3,11,25,8
Otero,3,12,25,8
Otero,3,13,25,8
Otero,3,14,25,8
Otero,3,15,25,8
Otero,3,16,25,8
Otero,3,17,25,8
Otero,3,18,25,8
Otero,3,19,25,8
Otero,3,20,25,8
Otero,3,21,25,8
Otero,3,22,25,8
Otero,3,23,25,8
Otero,3,24,25,8
Otero,3,25,24,8
Otero,3,26,25,8
Otero,3,27,25,8
Otero,3,28,25,8
Otero,3,29,25,8
Otero,3,30,25,8
Otero,3,31,25,8
Otero,3,32,25,13
Otero,3,33,24,13
Otero,3,34,25,13
Otero,3,35,25,13
Otero,3,36,25,13
Otero,3,37,25,13
Otero,3,38,25,13
Otero,3,39,25,13
Otero,3,40,25,13
Otero,3,41,25,13
Otero,3,42,25,13
Otero,3,43,25,13
Otero,3,44,25,13
Otero,3,45,25,13
Otero,3,46,25,13
Otero,3,47,25,13
Otero,3,48,25,13
Otero,3,49,25,13
Otero,3,50,25,13
Otero,3,51,25,13
Otero,3,52,25,13
Otero,3,53,25,13
Otero,3,54,25,13
Otero,3,55,25,13
Otero,3,56,25,13
Otero,3,57,25,13
Otero,3,58,25,21
Otero,3,59,25,21
Otero,3,60,24,21
Otero,3,61,25,21
Otero,3,62,25,21
Otero,3,63,25,21
Otero,3,64,25,21
Otero,3,65,25,21
Otero,3,66,25,21
Otero,3,67,25,21
Otero,3,68,25,21
Otero,3,69,25,21
Otero,3,70,24,21
Otero,3,71,25,21
Otero,3,72,25,21
Otero,3,73,25,21
Otero,3,74,25,21
Otero,3,75,25,21
Otero,3,76,25,21
Otero,3,77,25,21
Otero,3,78,25,21
Otero,3,79,25,21
Otero,3,80,25,21
Otero,3,81,25,21
Otero,3,82,25,21
Otero,3,83,25,21
Otero,3,84,25,21
Otero,3,85,25,21
Otero,3,86,25,14
Otero,3,87,25,14
Otero,3,88,25,14
Otero,3,89,26,14
Otero,3,90,25,14
Otero,3,91,25,14
Otero,3,92,25,14
Otero,3,93,25,14
Otero,3,94,25,14
Otero,3,95,25,14
Otero,3,96,25,14
Otero,3,97,25,14
Otero,3,98,25,14
Otero,3,99,14,14
Otero,3,100,25,14
Otero,3,101,25,14
Otero,3,102,25,14
Otero,3,103,25,14
Otero,3,104,25,14
Otero,3,105,25,14
Otero,3,106,25,14
Otero,3,107,25,14
Otero,3,108,25,14
Otero,3,109,25,14
Otero,3,110,25,14
Otero,3,111,25,14
Otero,3,112,25,14
Otero,3,113,25,14
Otero,3,114,25,14
Otero,3,115,25,14
Otero,3,116,25,14
Otero,3,117,25,14
Otero,3,118,25,14
Otero,3,119,25,14
Otero,3,120,25,14
Otero,3,121,25,14
Otero,3,122,25,8
Otero,3,123,25,8
Otero,3,124,25,8
Otero,3,125,25,8
Otero,3,126,25,8
Otero,3,127,25,8
Otero,3,128,25,8
Otero,3,129,24,8
Otero,3,130,25,8
Otero,3,131,25,8
Otero,3,132,25,8
Otero,3,133,25,8
Otero,3,134,25,8
Otero,3,135,25,8
Otero,3,136,24,8
Otero,3,137,10,8
