County,Device,Batch,#of Ballots,Location
Routt,101,1,50,1
Routt,101,2,50,1
Routt,101,3,50,1
Routt,101,4,50,1
Routt,101,5,50,1
Routt,101,6,50,1
Routt,101,7,50,1
Routt,101,8,50,1
Routt,101,9,50,1
Routt,101,10,50,1
Routt,101,11,50,1
Routt,101,12,50,1
Routt,101,13,49,1
Routt,101,14,50,1
Routt,101,15,50,1
Routt,101,16,50,1
Routt,101,17,50,1
Routt,101,18,50,1
Routt,101,19,50,1
Routt,101,20,50,1
Routt,101,21,50,2
Routt,101,22,48,2
Routt,101,23,50,2
Routt,101,24,50,2
Routt,101,25,50,2
Routt,101,26,50,2
Routt,101,27,50,2
Routt,101,28,50,2
Routt,101,29,50,2
Routt,101,30,50,2
Routt,101,31,50,2
Routt,101,32,50,2
Routt,101,33,50,2
Routt,101,34,50,2
Routt,101,35,50,2
Routt,101,36,50,2
Routt,101,37,50,2
Routt,101,38,50,2
Routt,101,39,50,2
Routt,101,40,50,2
Routt,101,41,50,3
Routt,101,42,50,3
Routt,101,43,50,3
Routt,101,44,50,3
Routt,101,45,52,3
Routt,101,46,50,3
Routt,101,47,50,3
Routt,101,48,50,3
Routt,101,49,50,3
Routt,101,50,50,3
Routt,101,51,50,3
Routt,101,52,50,3
Routt,101,53,48,3
Routt,101,54,44,3
Routt,101,55,48,3
Routt,101,56,42,3
Routt,101,57,48,3
Routt,101,58,48,3
Routt,101,59,48,3
Routt,101,60,48,3
Routt,101,61,34,3
Routt,101,62,48,3
Routt,101,63,44,3
Routt,101,64,48,3
Routt,101,65,50,4
Routt,101,66,50,4
Routt,101,67,50,4
Routt,101,68,50,4
Routt,101,69,50,4
Routt,101,70,50,4
Routt,101,71,50,4
Routt,101,72,50,4
Routt,101,73,50,4
Routt,101,74,50,4
Routt,101,75,50,4
Routt,101,76,50,4
Routt,101,77,50,4
Routt,101,78,50,4
Routt,101,79,50,4
Routt,101,80,50,4
Routt,101,81,50,4
Routt,101,82,50,4
Routt,101,83,50,4
Routt,101,84,50,4
Routt,101,85,50,5
Routt,101,86,50,5
Routt,101,87,50,5
Routt,101,88,50,5
Routt,101,89,50,5
Routt,101,90,50,5
Routt,101,91,50,5
Routt,101,92,50,5
Routt,101,93,50,5
Routt,101,94,50,5
Routt,101,95,50,5
Routt,101,96,50,5
Routt,101,97,50,5
Routt,101,98,50,5
Routt,101,99,50,5
Routt,101,100,50,5
Routt,101,101,50,5
Routt,101,102,50,5
Routt,101,103,50,5
Routt,101,104,50,5
Routt,101,105,50,6
Routt,101,106,50,6
Routt,101,107,50,6
Routt,101,108,50,6
Routt,101,109,50,6
Routt,101,110,50,6
Routt,101,111,48,6
Routt,101,112,46,6
Routt,101,113,10,6
Routt,101,114,48,6
Routt,101,115,46,6
Routt,101,116,48,6
Routt,101,117,30,6
Routt,101,118,50,6
Routt,101,119,50,6
Routt,101,120,50,6
Routt,101,121,50,6
Routt,101,122,50,6
Routt,101,123,50,6
Routt,101,124,50,6
Routt,101,125,48,6
Routt,101,126,46,6
Routt,101,127,102,6
Routt,101,128,50,6
Routt,101,129,50,7
Routt,101,130,50,7
Routt,101,131,50,7
Routt,101,132,50,7
Routt,101,133,48,7
Routt,101,134,48,7
Routt,101,135,12,7
Routt,101,136,50,7
Routt,101,137,50,7
Routt,101,138,50,7
Routt,101,139,50,7
Routt,101,140,50,7
Routt,101,141,50,7
Routt,101,142,50,7
Routt,101,143,50,7
Routt,101,144,50,7
Routt,101,145,50,7
Routt,101,146,50,7
Routt,101,147,50,7
Routt,101,148,50,7
Routt,101,149,50,7
Routt,101,150,50,7
Routt,101,151,50,7
Routt,101,152,50,7
Routt,101,153,50,7
Routt,101,154,50,7
Routt,101,155,50,7
Routt,101,156,50,8
Routt,101,157,50,8
Routt,101,158,50,8
Routt,101,159,50,8
Routt,101,160,50,8
Routt,101,161,50,8
Routt,101,162,50,8
Routt,101,163,50,8
Routt,101,164,50,8
Routt,101,165,50,8
Routt,101,166,50,8
Routt,101,167,50,8
Routt,101,168,50,8
Routt,101,169,50,8
Routt,101,170,50,8
Routt,101,171,50,8
Routt,101,172,50,8
Routt,101,173,50,8
Routt,101,174,50,8
Routt,101,175,50,8
Routt,101,176,50,9
Routt,101,177,50,9
Routt,101,178,50,9
Routt,101,179,50,9
Routt,101,180,50,9
Routt,101,181,50,9
Routt,101,182,50,9
Routt,101,183,50,9
Routt,101,184,50,9
Routt,101,185,50,9
Routt,101,186,50,9
Routt,101,187,50,9
Routt,101,188,50,9
Routt,101,189,50,9
Routt,101,190,50,9
Routt,101,191,50,9
Routt,101,192,50,9
Routt,101,193,50,9
Routt,101,194,50,9
Routt,101,195,50,9
Routt,101,196,50,10
Routt,101,197,50,10
Routt,101,198,50,10
Routt,101,199,50,10
Routt,101,200,50,10
Routt,101,201,50,10
Routt,101,202,46,10
Routt,101,203,46,10
Routt,101,204,50,10
Routt,101,205,50,10
Routt,101,206,50,10
Routt,101,207,50,10
Routt,101,208,50,10
Routt,101,209,50,10
Routt,101,210,50,10
Routt,101,211,50,10
Routt,101,212,50,10
Routt,101,213,50,10
Routt,101,214,50,10
Routt,101,215,50,10
Routt,101,216,50,11
Routt,101,217,50,11
Routt,101,218,50,11
Routt,101,219,48,11
Routt,101,220,48,11
Routt,101,221,50,11
Routt,101,222,50,11
Routt,101,223,48,11
Routt,101,224,48,11
Routt,101,225,48,11
Routt,101,226,46,11
Routt,101,227,48,11
Routt,101,228,48,11
Routt,101,229,48,11
Routt,101,230,48,11
Routt,101,231,46,11
Routt,101,232,46,11
Routt,101,233,46,11
Routt,101,234,48,11
Routt,101,235,48,11
Routt,101,236,48,12
Routt,101,237,48,12
Routt,101,238,48,12
Routt,101,239,48,12
Routt,101,240,38,12
Routt,101,241,48,12
Routt,101,242,46,12
Routt,101,243,48,12
Routt,101,244,40,12
Routt,101,245,48,12
Routt,101,246,48,12
Routt,101,247,34,12
Routt,101,248,46,12
Routt,101,249,48,12
Routt,101,250,48,12
Routt,101,251,48,12
Routt,101,252,21,12
Routt,101,253,50,13
