County,Device ID,Batch,# of Ballot Cards,Location
Garfield ,1,VBM-0168,50,6
Garfield ,1,VBM-0169,50,6
Garfield ,1,VBM-0170,50,6
Garfield ,1,VBM-0171,50,6
Garfield ,1,VBM-0172,50,6
Garfield ,1,VBM-0173,50,6
Garfield ,1,VBM-0174,50,6
Garfield ,1,VBM-0175,50,7
Garfield ,1,VBM-0176,50,7
Garfield ,1,VBM-0177,50,7
Garfield ,1,VBM-0178,50,7
Garfield ,1,VBM-0179,50,7
Garfield ,1,VBM-0180,50,7
Garfield ,1,VBM-0181,50,7
Garfield ,1,VBM-0182,50,7
Garfield ,1,VBM-0183,50,7
Garfield ,1,VBM-0184,50,7
Garfield ,1,VBM-0185,50,7
Garfield ,1,VBM-0186,50,7
Garfield ,1,VBM-0187,50,7
Garfield ,1,VBM-0188,50,7
Garfield ,1,VBM-0189,50,7
Garfield ,1,VBM-0190,50,7
Garfield ,1,VBM-0191,50,7
Garfield ,1,VBM-0192,50,7
Garfield ,1,VBM-0193,50,7
Garfield ,1,VBM-0194,50,7
Garfield ,1,VBM-0195,50,7
Garfield ,1,VBM-0196,50,7
Garfield ,1,VBM-0197,50,7
Garfield ,1,VBM-0198,50,7
Garfield ,1,VBM-0199,50,7
Garfield ,1,VBM-0200,50,7
Garfield ,1,VBM-0201,50,7
Garfield ,1,VBM-0202,50,7
Garfield ,1,VBM-0203,50,7
Garfield ,1,VBM-0204,50,8
Garfield ,1,VBM-0205,50,8
Garfield ,1,VBM-0206,50,8
Garfield ,1,VBM-0207,50,8
Garfield ,1,VBM-0208,50,8
Garfield ,1,VBM-0209,50,8
Garfield ,1,VBM-0210,50,8
Garfield ,1,VBM-0211,50,8
Garfield ,1,VBM-0212,50,8
Garfield ,1,VBM-0213,50,8
Garfield ,1,VBM-0214,50,8
Garfield ,1,VBM-0215,50,8
Garfield ,1,VBM-0216,50,8
Garfield ,1,VBM-0217,50,8
Garfield ,1,VBM-0218,50,8
Garfield ,1,VBM-0219,50,8
Garfield ,1,VBM-0220,50,8
Garfield ,1,VBM-0221,50,8
Garfield ,1,VBM-0222,50,8
Garfield ,1,VBM-0223,50,8
Garfield ,1,VBM-0224,50,8
Garfield ,1,VBM-0225,50,8
Garfield ,1,VBM-0226,50,8
Garfield ,1,VBM-0227,50,8
Garfield ,1,VBM-0228,50,8
Garfield ,1,VBM-0229,50,8
Garfield ,1,VBM-0230,50,8
Garfield ,1,VBM-0231,50,8
Garfield ,1,VBM-0232,50,8
Garfield ,1,VBM-0233,50,9
Garfield ,1,VBM-0234,50,9
Garfield ,1,VBM-0235,50,9
Garfield ,1,VBM-0236,50,9
Garfield ,1,VBM-0237,50,9
Garfield ,1,VBM-0238,50,9
Garfield ,1,VBM-0239,50,9
Garfield ,1,VBM-0240,50,9
Garfield ,1,VBM-0241,50,9
Garfield ,1,VBM-0242,50,9
Garfield ,1,VBM-0243,50,9
Garfield ,1,VBM-0244,50,9
Garfield ,1,VBM-0245,50,9
Garfield ,1,VBM-0246,50,9
Garfield ,1,VBM-0247,50,9
Garfield ,1,VBM-0248,50,9
Garfield ,1,VBM-0249,50,9
Garfield ,1,VBM-0250,50,9
Garfield ,1,VBM-0251,50,9
Garfield ,1,VBM-0252,50,9
Garfield ,1,VBM-0253,50,9
Garfield ,1,VBM-0254,50,9
Garfield ,1,VBM-0255,50,9
Garfield ,1,VBM-0256,50,9
Garfield ,1,VBM-0257,50,9
Garfield ,1,VBM-0258,50,9
Garfield ,1,VBM-0259,50,9
Garfield ,1,VBM-0260,50,9
Garfield ,1,VBM-0261,50,9
Garfield ,1,VBM-0262,50,10
Garfield ,1,VBM-0263,50,10
Garfield ,1,VBM-0264,50,10
Garfield ,1,VBM-0265,50,10
Garfield ,1,VBM-0266,50,10
Garfield ,1,VBM-0267,50,10
Garfield ,1,VBM-0268,50,10
Garfield ,1,VBM-0269,50,10
Garfield ,1,VBM-0270,50,10
Garfield ,1,VBM-0271,50,10
Garfield ,1,VBM-0272,50,10
Garfield ,1,VBM-0273,50,10
Garfield ,1,VBM-0274,50,10
Garfield ,1,VBM-0275,50,10
Garfield ,1,VBM-0276,50,10
Garfield ,1,VBM-0277,50,10
Garfield ,1,VBM-0278,50,10
Garfield ,1,VBM-0279,50,10
Garfield ,1,VBM-0280,50,10
Garfield ,1,VBM-0281,50,10
Garfield ,1,VBM-0282,50,10
Garfield ,1,VBM-0283,50,10
Garfield ,1,VBM-0284,50,10
Garfield ,1,VBM-0285,50,10
Garfield ,1,VBM-0286,50,10
Garfield ,1,VBM-0287,50,10
Garfield ,1,VBM-0288,50,10
Garfield ,1,VBM-0289,50,10
Garfield ,1,VBM-0290,50,10
Garfield ,1,VBM-0291,50,11
Garfield ,1,VBM-0292,50,11
Garfield ,1,VBM-0293,50,11
Garfield ,1,VBM-0294,50,11
Garfield ,1,VBM-0295,50,11
Garfield ,1,VBM-0296,50,11
Garfield ,1,VBM-0297,50,11
Garfield ,1,VBM-0298,50,11
Garfield ,1,VBM-0299,50,11
Garfield ,1,VBM-0300,50,11
Garfield ,1,VBM-0301,50,11
Garfield ,1,VBM-0302,10,11
