County,Tabulator ID,Batch,# of Ballot Cards,Location,,,
Pueblo,2,1,50,Tub 1,,,
Pueblo,2,2,50,Tub 1,,,
Pueblo,2,3,50,Tub 1,,,
Pueblo,2,4,50,Tub 1,,,
Pueblo,2,5,50,Tub 1,,,
Pueblo,2,6,50,Tub 1,,,
Pueblo,2,7,37,Tub 1,,,
Pueblo,2,8,50,Tub 1,,,
Pueblo,2,9,50,Tub 1,,,
Pueblo,2,10,50,Tub 1,,,
Pueblo,2,11,50,Tub 1,,,
Pueblo,2,12,50,Tub 1,,,
Pueblo,2,13,50,Tub 1,,,
Pueblo,2,14,50,Tub 1,,,
Pueblo,2,15,50,Tub 1,,,
Pueblo,2,16,27,Tub 1,,,
Pueblo,2,17,50,Tub 1,,,
Pueblo,2,18,50,Tub 1,,,
Pueblo,2,19,50,Tub 1,,,
Pueblo,2,20,50,Tub 1,,,
Pueblo,2,21,50,Tub 1,,,
Pueblo,2,22,50,Tub 1,,,
Pueblo,2,23,50,Tub 1,,,
Pueblo,2,24,49,Tub 1,,,
Pueblo,2,25,50,Tub 1,,,
Pueblo,2,26,50,Tub 1,,,
Pueblo,2,27,50,Tub 1,,,
Pueblo,2,28,50,Tub 1,,,
Pueblo,2,29,50,Tub 1,,,
Pueblo,2,30,50,Tub 1,,,
Pueblo,2,31,50,Tub 1,,,
Pueblo,2,32,50,Tub 1,,,
Pueblo,2,33,50,Tub 1,,,
Pueblo,2,34,49,Tub 1,,,
Pueblo,2,35,50,Tub 1,,,
Pueblo,2,36,50,Tub 1,,,
Pueblo,2,37,50,Tub 1,,,
Pueblo,2,38,49,Tub 1,,,
Pueblo,2,39,50,Tub 1,,,
Pueblo,2,40,50,Tub 1,,,
Pueblo,2,41,49,Tub 1,,,
Pueblo,2,42,50,Tub 1,,,
Pueblo,2,43,50,Tub 1,,,
Pueblo,2,44,50,Tub 1,,,
Pueblo,2,45,50,Tub 1,,,
Pueblo,2,46,50,Tub 1,,,
Pueblo,2,47,50,Tub 1,,,
Pueblo,2,48,50,Tub 1,,,
Pueblo,2,49,50,Tub 1,,,
Pueblo,2,50,50,Tub 1,,,
Pueblo,2,51,50,Tub 1,,,
Pueblo,2,52,50,Tub 2,,,
Pueblo,2,53,50,Tub 2,,,
Pueblo,2,54,50,Tub 2,,,
Pueblo,2,55,1,Tub 2,,,
Pueblo,2,56,50,Tub 2,,,
Pueblo,2,57,49,Tub 2,,,
Pueblo,2,58,50,Tub 2,,,
Pueblo,2,59,50,Tub 2,,,
Pueblo,2,60,30,Tub 2,,,
Pueblo,2,61,50,Tub 2,,,
Pueblo,2,62,50,Tub 2,,,
Pueblo,2,63,50,Tub 2,,,
Pueblo,2,64,50,Tub 2,,,
Pueblo,2,65,49,Tub 2,,,
Pueblo,2,66,50,Tub 2,,,
Pueblo,2,67,50,Tub 2,,,
Pueblo,2,68,50,Tub 2,,,
Pueblo,2,69,50,Tub 2,,,
Pueblo,2,70,50,Tub 2,,,
Pueblo,2,71,50,Tub 2,,,
Pueblo,2,72,50,Tub 2,,,
Pueblo,2,73,50,Tub 2,,,
Pueblo,2,74,50,Tub 2,,,
Pueblo,2,75,50,Tub 2,,,
Pueblo,2,76,50,Tub 2,,,
Pueblo,2,77,49,Tub 2,,,
Pueblo,2,78,49,Tub 2,,,
Pueblo,2,79,47,Tub 2,,,
Pueblo,2,80,24,Tub 2,,,
Pueblo,2,81,50,Tub 2,,,
Pueblo,2,82,49,Tub 2,,,
Pueblo,2,83,48,Tub 2,,,
Pueblo,2,84,47,Tub 2,,,
Pueblo,2,85,48,Tub 2,,,
Pueblo,2,86,49,Tub 2,,,
Pueblo,2,87,48,Tub 2,,,
Pueblo,2,88,50,Tub 2,,,
Pueblo,2,89,47,Tub 2,,,
Pueblo,2,90,50,Tub 2,,,
Pueblo,2,91,50,Tub 2,,,
Pueblo,2,92,50,Tub 2,,,
Pueblo,2,93,50,Tub 2,,,
Pueblo,2,94,50,Tub 2,,,
Pueblo,2,95,50,Tub 2,,,
Pueblo,2,96,50,Tub 2,,,
Pueblo,2,97,29,Tub 2,,,
Pueblo,2,98,50,Tub 2,,,
Pueblo,2,99,50,Tub 2,,,
Pueblo,2,100,50,Tub 2,,,
Pueblo,2,101,50,Tub 2,,,
Pueblo,2,102,50,Tub 3,,,
Pueblo,2,103,50,Tub 3,,,
Pueblo,2,104,50,Tub 3,,,
Pueblo,2,105,50,Tub 3,,,
Pueblo,2,106,50,Tub 3,,,
Pueblo,2,107,50,Tub 3,,,
Pueblo,2,108,50,Tub 3,,,
Pueblo,2,109,50,Tub 3,,,
Pueblo,2,110,50,Tub 3,,,
Pueblo,2,111,50,Tub 3,,,
Pueblo,2,112,50,Tub 3,,,
Pueblo,2,113,50,Tub 3,,,
Pueblo,2,114,50,Tub 3,,,
Pueblo,2,115,50,Tub 3,,,
Pueblo,2,116,50,Tub 3,,,
Pueblo,2,117,50,Tub 3,,,
Pueblo,2,118,50,Tub 3,,,
Pueblo,2,119,50,Tub 3,,,
Pueblo,2,120,50,Tub 3,,,
Pueblo,2,121,49,Tub 3,,,
Pueblo,2,122,49,Tub 3,,,
Pueblo,2,123,49,Tub 3,,,
Pueblo,2,124,50,Tub 3,,,
Pueblo,2,125,50,Tub 3,,,
Pueblo,2,126,50,Tub 3,,,
Pueblo,2,127,50,Tub 3,,,
Pueblo,2,128,50,Tub 3,,,
Pueblo,2,129,50,Tub 3,,,
Pueblo,2,130,50,Tub 3,,,
Pueblo,2,131,50,Tub 3,,,
Pueblo,2,132,50,Tub 3,,,
Pueblo,2,133,49,Tub 3,,,
Pueblo,2,134,50,Tub 3,,,
Pueblo,2,135,50,Tub 3,,,
Pueblo,2,136,50,Tub 3,,,
Pueblo,2,137,50,Tub 3,,,
Pueblo,2,138,50,Tub 3,,,
Pueblo,2,139,50,Tub 3,,,
Pueblo,2,140,50,Tub 3,,,
Pueblo,2,141,50,Tub 3,,,
Pueblo,2,142,50,Tub 3,,,
Pueblo,2,143,50,Tub 3,,,
Pueblo,2,144,50,Tub 3,,,
Pueblo,2,145,50,Tub 3,,,
Pueblo,2,146,50,Tub 3,,,
Pueblo,2,147,50,Tub 3,,,
Pueblo,2,148,17,Tub 3,,,
Pueblo,2,149,50,Tub 3,,,
Pueblo,2,150,34,Tub 3,,,
Pueblo,2,151,50,Tub 3,,,
Pueblo,2,152,50,Tub 4,,,
Pueblo,2,153,50,Tub 4,,,
Pueblo,2,154,50,Tub 4,,,
Pueblo,2,155,50,Tub 4,,,
Pueblo,2,156,50,Tub 4,,,
Pueblo,2,157,50,Tub 4,,,
Pueblo,2,158,50,Tub 4,,,
Pueblo,2,159,50,Tub 4,,,
Pueblo,2,160,50,Tub 4,,,
Pueblo,2,161,50,Tub 4,,,
Pueblo,2,162,50,Tub 4,,,
Pueblo,2,163,23,Tub 4,,,
Pueblo,2,164,49,Tub 4,,,
Pueblo,2,165,25,Tub 4,,,
Pueblo,2,166,50,Tub 4,,,
Pueblo,2,167,50,Tub 4,,,
Pueblo,2,168,50,Tub 4,,,
Pueblo,2,169,50,Tub 4,,,
Pueblo,2,170,50,Tub 4,,,
Pueblo,2,171,50,Tub 4,,,
Pueblo,2,172,49,Tub 4,,,
Pueblo,2,173,50,Tub 4,,,
Pueblo,2,174,50,Tub 4,,,
Pueblo,2,175,50,Tub 4,,,
Pueblo,2,176,50,Tub 4,,,
Pueblo,2,177,47,Tub 4,,,
Pueblo,2,178,9,Tub 4,,,
Pueblo,2,179,49,Tub 4,,,
Pueblo,2,180,48,Tub 4,,,
Pueblo,2,181,47,Tub 4,,,
Pueblo,2,182,49,Tub 4,,,
Pueblo,2,183,50,Tub 4,,,
