County,Tabulator ID,Batch,# Ballot Cards,Location
Summit,2,1,25,1
Summit,2,2,25,1
Summit,2,3,25,1
Summit,2,4,25,1
Summit,2,5,25,1
Summit,2,6,25,1
Summit,2,7,25,1
Summit,2,8,25,1
Summit,2,9,25,1
Summit,2,10,25,1
Summit,2,11,25,1
Summit,2,12,25,1
Summit,2,14,25,1
Summit,2,15,25,1
Summit,2,16,25,1
Summit,2,17,25,1
Summit,2,18,25,1
Summit,2,19,25,1
Summit,2,20,25,1
Summit,2,21,25,1
Summit,2,22,25,1
Summit,2,23,25,1
Summit,2,24,25,1
Summit,2,25,25,1
Summit,2,26,25,1
Summit,2,27,25,1
Summit,2,28,25,1
Summit,2,29,25,1
Summit,2,30,25,1
Summit,2,31,25,1
Summit,2,32,25,1
Summit,2,33,25,1
Summit,2,34,25,1
Summit,2,35,25,1
Summit,2,36,25,2
Summit,2,37,25,2
Summit,2,38,25,2
Summit,2,39,25,2
Summit,2,40,25,2
Summit,2,42,25,2
Summit,2,43,25,2
Summit,2,44,25,2
Summit,2,45,25,2
Summit,2,46,25,2
Summit,2,47,25,2
Summit,2,48,25,2
Summit,2,49,25,2
Summit,2,50,25,2
Summit,2,51,25,2
Summit,2,52,25,2
Summit,2,53,25,2
Summit,2,54,25,2
Summit,2,55,25,2
Summit,2,56,25,2
Summit,2,57,25,2
Summit,2,58,25,2
Summit,2,59,25,2
Summit,2,60,25,2
Summit,2,61,25,2
Summit,2,62,25,2
Summit,2,63,25,2
Summit,2,64,25,2
Summit,2,65,25,2
Summit,2,66,25,2
Summit,2,67,25,2
Summit,2,68,25,2
Summit,2,69,25,2
Summit,2,70,25,2
Summit,2,71,25,2
Summit,2,72,25,2
Summit,2,73,25,2
Summit,2,74,25,2
Summit,2,75,25,2
Summit,2,76,25,2
Summit,2,77,25,2
Summit,2,78,25,2
Summit,2,79,25,2
Summit,2,80,25,2
Summit,2,82,25,3
Summit,2,83,25,3
Summit,2,84,25,3
Summit,2,85,25,3
Summit,2,86,25,3
Summit,2,87,25,3
Summit,2,88,25,3
Summit,2,89,25,3
Summit,2,90,25,3
Summit,2,91,25,3
Summit,2,92,25,3
Summit,2,93,25,3
Summit,2,94,25,3
Summit,2,95,25,3
Summit,2,96,25,3
Summit,2,97,25,3
Summit,2,98,25,3
Summit,2,99,25,3
Summit,2,100,25,3
Summit,2,101,25,3
Summit,2,102,25,3
Summit,2,103,25,3
Summit,2,104,25,3
Summit,2,105,25,3
Summit,2,106,25,3
Summit,2,107,25,3
Summit,2,108,25,3
Summit,2,109,25,3
Summit,2,110,25,3
Summit,2,111,25,3
Summit,2,112,25,3
Summit,2,113,25,3
Summit,2,114,25,3
Summit,2,115,25,3
Summit,2,116,25,3
Summit,2,117,25,3
Summit,2,118,25,3
Summit,2,119,25,3
Summit,2,120,25,3
Summit,2,121,25,4
Summit,2,122,25,4
Summit,2,123,25,4
Summit,2,124,25,4
Summit,2,125,25,4
Summit,2,126,25,4
Summit,2,127,25,4
Summit,2,128,25,4
Summit,2,129,25,4
Summit,2,130,25,4
Summit,2,131,25,4
Summit,2,132,25,4
Summit,2,133,25,4
Summit,2,134,25,4
Summit,2,135,25,4
Summit,2,136,25,4
Summit,2,137,25,4
Summit,2,138,25,4
Summit,2,139,25,4
Summit,2,140,25,4
Summit,2,141,25,4
Summit,2,142,25,4
Summit,2,143,25,4
Summit,2,144,25,4
Summit,2,145,25,4
Summit,2,146,25,4
Summit,2,147,25,4
Summit,2,148,25,4
Summit,2,149,25,4
Summit,2,150,25,4
Summit,2,151,25,4
Summit,2,152,25,4
Summit,2,153,25,4
Summit,2,154,25,4
Summit,2,155,25,4
Summit,2,156,25,4
Summit,2,157,25,4
Summit,2,158,25,4
Summit,2,159,25,4
Summit,2,160,25,4
Summit,2,161,25,4
Summit,2,162,25,4
Summit,2,163,25,4
Summit,2,164,25,4
Summit,2,165,25,5
Summit,2,166,25,5
Summit,2,167,25,5
Summit,2,168,25,5
Summit,2,169,25,5
Summit,2,170,25,5
Summit,2,171,25,5
Summit,2,172,25,5
Summit,2,173,25,5
Summit,2,174,25,5
Summit,2,175,25,5
Summit,2,176,25,5
Summit,2,177,25,5
Summit,2,178,25,5
Summit,2,179,25,5
Summit,2,180,25,5
Summit,2,181,25,5
Summit,2,182,25,5
Summit,2,183,25,5
Summit,2,184,25,5
Summit,2,185,25,5
Summit,2,186,25,5
Summit,2,187,25,5
Summit,2,188,25,5
Summit,2,189,25,5
Summit,2,190,25,5
Summit,2,191,25,5
Summit,2,192,25,5
Summit,2,193,25,5
Summit,2,194,25,5
Summit,2,195,25,5
Summit,2,196,25,5
Summit,2,197,25,5
Summit,2,198,12,5
Summit,2,199,2,5
Summit,2,200,25,5
Summit,2,201,25,5
Summit,2,202,25,5
Summit,2,203,25,5
Summit,2,204,25,5
Summit,2,205,25,5
Summit,2,206,25,5
Summit,2,207,25,5
Summit,2,208,25,5
Summit,2,209,25,5
Summit,2,210,25,5
Summit,2,211,25,5
Summit,2,212,25,5
Summit,2,213,25,5
Summit,2,214,25,5
Summit,2,215,25,5
Summit,2,216,25,5
Summit,2,217,25,5
Summit,2,218,25,5
Summit,2,219,25,5
Summit,2,220,25,5
Summit,2,221,25,5
Summit,2,222,25,5
Summit,2,223,25,5
Summit,2,224,25,5
Summit,2,225,21,5
Summit,2,226,25,5
Summit,2,227,18,5
Summit,4,1,25,1
Summit,4,2,25,1
Summit,4,3,25,1
Summit,4,4,25,1
Summit,4,5,25,1
Summit,4,6,25,1
Summit,4,7,25,1
Summit,4,8,25,1
Summit,4,9,25,1
Summit,4,10,25,1
Summit,4,11,25,1
Summit,4,12,25,1
Summit,4,13,25,1
Summit,4,14,25,1
Summit,4,15,25,1
Summit,4,16,25,1
Summit,4,17,25,1
Summit,4,18,25,1
Summit,4,19,25,1
Summit,4,20,25,1
Summit,4,21,25,1
Summit,4,22,25,1
Summit,4,23,25,1
Summit,4,24,25,1
Summit,4,25,25,1
Summit,4,26,25,1
Summit,4,27,25,1
Summit,4,28,25,1
Summit,4,29,25,1
Summit,4,30,25,1
Summit,4,31,25,1
Summit,4,32,25,1
Summit,4,33,25,1
Summit,4,34,25,1
Summit,4,35,25,1
Summit,4,36,25,1
Summit,4,37,25,1
Summit,4,38,25,1
Summit,4,39,25,1
Summit,4,40,25,1
Summit,4,41,25,1
Summit,4,42,25,1
Summit,4,43,25,1
Summit,4,44,25,1
Summit,4,45,25,1
Summit,4,46,25,1
Summit,4,47,25,1
Summit,4,48,25,1
Summit,4,49,25,1
Summit,4,50,25,2
Summit,4,51,25,2
Summit,4,52,25,2
Summit,4,53,25,2
Summit,4,54,25,2
Summit,4,55,25,2
Summit,4,56,25,2
Summit,4,57,25,2
Summit,4,58,25,2
Summit,4,59,25,2
Summit,4,60,25,2
Summit,4,61,25,2
Summit,4,62,25,2
Summit,4,63,25,2
Summit,4,64,25,2
Summit,4,65,25,2
Summit,4,66,25,2
Summit,4,67,25,2
Summit,4,68,25,2
Summit,4,69,25,2
Summit,4,70,25,2
Summit,4,71,25,2
Summit,4,72,25,2
Summit,4,73,25,2
Summit,4,74,25,2
Summit,4,75,25,2
Summit,4,76,25,2
Summit,4,77,25,2
Summit,4,78,25,2
Summit,4,79,25,2
Summit,4,80,25,2
Summit,4,81,25,2
Summit,4,82,25,2
Summit,4,83,25,2
Summit,4,84,25,2
Summit,4,85,25,2
Summit,4,86,25,2
Summit,4,87,25,2
Summit,4,88,25,2
Summit,4,89,25,2
Summit,4,90,25,2
Summit,4,91,25,2
Summit,4,92,25,2
Summit,4,93,25,2
Summit,4,94,25,2
Summit,4,95,25,2
Summit,4,96,25,2
Summit,4,97,25,2
Summit,4,98,25,2
Summit,4,99,25,2
Summit,4,100,25,2
Summit,7,1,4,1
Summit,7,2,5,1
Summit,7,3,18,1
Summit,7,4,85,1
Summit,7,5,39,1
