County,Device,Batch,#of Ballots,Location
Routt,101,1,25,11
Routt,101,2,25,11
Routt,101,3,25,11
Routt,101,4,25,11
Routt,101,5,25,11
Routt,101,6,25,11
Routt,101,7,25,11
Routt,101,8,25,11
Routt,101,9,25,11
Routt,101,10,25,11
Routt,101,11,25,11
Routt,101,12,25,11
Routt,101,13,25,11
Routt,101,14,25,11
Routt,101,15,25,11
Routt,101,16,25,11
Routt,101,17,25,11
Routt,101,18,25,11
Routt,101,19,25,11
Routt,101,20,25,11
Routt,101,21,25,11
Routt,101,22,25,11
Routt,101,23,25,11
Routt,101,24,25,11
Routt,101,25,25,11
Routt,101,26,25,11
Routt,101,27,25,11
Routt,101,28,25,11
Routt,101,29,25,11
Routt,101,30,25,11
Routt,101,31,25,11
Routt,101,32,25,11
Routt,101,33,25,11
Routt,101,34,25,11
Routt,101,35,25,11
Routt,101,36,25,11
Routt,101,37,26,11
Routt,101,38,24,11
Routt,101,39,24,11
Routt,101,40,26,11
Routt,101,41,25,11
Routt,101,42,25,11
Routt,101,43,25,11
Routt,101,44,25,11
Routt,101,45,25,11
Routt,101,46,25,11
Routt,101,47,25,11
Routt,101,48,25,11
Routt,101,49,25,11
Routt,101,50,25,11
Routt,101,51,25,11
Routt,101,52,25,11
Routt,101,53,25,11
Routt,101,54,25,11
Routt,101,55,25,11
Routt,101,56,25,11
Routt,101,57,25,11
Routt,101,58,25,11
Routt,101,59,25,11
Routt,101,60,25,11
Routt,101,61,25,22
Routt,101,62,25,22
Routt,101,63,25,22
Routt,101,64,25,22
Routt,101,65,25,22
Routt,101,66,26,22
Routt,101,67,24,22
Routt,101,68,13,22
Routt,101,69,22,22
Routt,101,70,13,22
Routt,101,71,18,22
Routt,101,72,24,22
Routt,101,73,5,22
Routt,101,74,24,22
Routt,101,75,21,22
Routt,101,76,25,22
Routt,101,77,25,22
Routt,101,78,15,22
Routt,101,79,14,22
Routt,101,80,11,22
Routt,101,81,24,22
Routt,101,82,21,22
Routt,101,83,24,22
Routt,101,84,24,22
Routt,101,85,22,22
Routt,101,86,24,22
Routt,101,87,23,22
Routt,101,88,23,22
Routt,101,89,24,22
Routt,101,90,24,22
Routt,101,91,24,22
Routt,101,92,24,22
Routt,101,93,23,22
Routt,101,94,23,33
Routt,101,95,18,33
Routt,101,96,25,33
Routt,101,97,25,33
Routt,101,98,25,33
Routt,101,99,25,33
Routt,101,100,25,33
Routt,101,101,25,33
Routt,101,102,25,33
Routt,101,103,25,33
Routt,101,104,25,33
Routt,101,105,25,33
Routt,101,106,25,33
Routt,101,107,25,33
Routt,101,108,25,33
Routt,101,109,25,33
Routt,101,110,25,33
Routt,101,111,25,33
Routt,101,112,25,33
Routt,101,113,25,33
Routt,101,114,25,33
Routt,101,115,25,33
Routt,101,116,25,33
