County,Tabulator ID,Batch,# of Ballot Card,Locations
Hinsdale,101,1,25,Bin #1
Hinsdale,101,2,25,Bin #1
Hinsdale,101,3,25,Bin #1
Hinsdale,101,4,25,Bin #1
Hinsdale,101,5,25,Bin #1
Hinsdale,101,6,25,Bin #1
Hinsdale,101,7,25,Bin #1
Hinsdale,101,8,25,Bin #1
Hinsdale,101,9,25,Bin #1
Hinsdale,101,10,25,Bin #1
Hinsdale,101,11,25,Bin #1
Hinsdale,101,12,25,Bin #1
Hinsdale,101,13,25,Bin #1
Hinsdale,101,14,25,Bin #1
Hinsdale,101,15,25,Bin #1
Hinsdale,101,16,25,Bin #1
Hinsdale,101,17,25,Bin #1
Hinsdale,101,18,25,Bin #1
Hinsdale,101,19,25,Bin #1
Hinsdale,101,20,25,Bin #1
Hinsdale,101,21,22,Bin #1
Hinsdale,101,22,1,Bin #1
