County,Tabulator ID,Batch,# of Ballot Cards,Location,Description
Moffat,103,1,25,BB1,
Moffat,103,2,25,BB1,
Moffat,103,3,25,BB1,
Moffat,103,4,25,BB1,
Moffat,103,5,25,BB1,
Moffat,103,6,25,BB1,
Moffat,103,7,25,BB1,
Moffat,103,8,25,BB1,
Moffat,103,9,25,BB1,
Moffat,103,10,25,BB1,
Moffat,103,11,25,BB1,
Moffat,103,12,25,BB1,
Moffat,103,13,25,BB1,
Moffat,103,14,25,BB1,
Moffat,103,15,25,BB1,
Moffat,103,16,25,BB1,
Moffat,103,17,25,BB1,
Moffat,103,18,25,BB1,
Moffat,103,19,25,BB1,
Moffat,103,20,25,BB1,
Moffat,103,21,25,BB1,
Moffat,103,22,25,BB1,
Moffat,103,23,25,BB1,
Moffat,103,24,25,BB1,
Moffat,103,25,25,BB1,
Moffat,103,26,25,BB1,
Moffat,103,27,25,BB1,
Moffat,103,28,25,BB1,
Moffat,103,29,25,BB1,
Moffat,103,30,25,BB1,
Moffat,103,31,25,BB1,
Moffat,103,32,25,BB1,
Moffat,103,33,25,BB1,
Moffat,103,34,25,BB1,
Moffat,103,35,25,BB1,
Moffat,103,36,25,BB1,
Moffat,103,37,25,BB1,
Moffat,103,38,25,BB1,
Moffat,103,39,25,BB1,
Moffat,103,40,25,BB1,
Moffat,103,41,25,BB1,
Moffat,103,42,25,BB1,
Moffat,103,43,25,BB1,
Moffat,103,44,25,BB1,
Moffat,103,45,25,BB1,
Moffat,103,46,25,BB1,
Moffat,103,47,25,BB1,
Moffat,103,48,25,BB1,
Moffat,103,49,25,BB1,
Moffat,103,50,25,BB1,
Moffat,103,51,25,BB2,
Moffat,103,52,25,BB2,
Moffat,103,53,25,BB2,
Moffat,103,54,25,BB2,
Moffat,103,55,25,BB2,
Moffat,103,56,25,BB2,
Moffat,103,57,25,BB2,
Moffat,103,58,25,BB2,
Moffat,103,59,25,BB2,
Moffat,103,60,25,BB2,
Moffat,103,61,25,BB2,
Moffat,103,62,25,BB2,
Moffat,103,63,25,BB2,
Moffat,103,64,25,BB2,
Moffat,103,65,25,BB2,
Moffat,103,66,25,BB2,
Moffat,103,67,25,BB2,
Moffat,103,68,25,BB2,
Moffat,103,69,25,BB2,
Moffat,103,70,25,BB2,
Moffat,103,71,25,BB2,
Moffat,103,72,25,BB2,
Moffat,103,73,25,BB2,
Moffat,103,74,25,BB2,
Moffat,103,75,25,BB2,
Moffat,103,76,25,BB2,
Moffat,103,77,25,BB2,
Moffat,103,78,25,BB2,
Moffat,103,79,25,BB2,
Moffat,103,80,25,BB2,
Moffat,103,81,25,BB2,
Moffat,103,82,25,BB2,
Moffat,103,83,25,BB2,
Moffat,103,84,25,BB2,
Moffat,103,85,25,BB2,
Moffat,103,86,25,BB2,
Moffat,103,87,25,BB2,
Moffat,103,88,25,BB2,
Moffat,103,89,25,BB2,
Moffat,103,90,25,BB2,
Moffat,103,91,25,BB2,
Moffat,103,92,25,BB2,
Moffat,103,93,25,BB2,
Moffat,103,94,25,BB2,
Moffat,103,95,25,BB2,
Moffat,103,96,25,BB2,
Moffat,103,97,25,BB2,
Moffat,103,98,25,BB2,
Moffat,103,99,25,BB2,
