contest_name,choice,votes
Adams County Assessor,Ken Musso,90732
Adams County Assessor,Hieu Truong Nguyen,68850
Adams County Clerk and Recorder,Josh Zygielbaum,90262
Adams County Clerk and Recorder,Karen Hoopes,69488
Adams County Commissioner - District 3,Emma Pinter,90541
Adams County Commissioner - District 3,Sean Forest,71129
Adams County Commissioner - District 4,Steve O'Dorisio,90438
Adams County Commissioner - District 4,Joseph P Domenico,68621
Adams County Coroner,Monica Broncucia-Jordan,91597
Adams County Coroner,David A. Shaklee,68372
Adams County Court Judge- Vielma,Yes,88683
Adams County Court Judge- Vielma,No,43736
Adams County School District No. 1 4A,Yes/For,5336
Adams County School District No. 1 4A,No/Against,3847
Adams County Sheriff,Gene Claps,85860
Adams County Sheriff,"Mike ""Mac"" McIntosh",76117
Adams County Treasurer,Alex Villagran,84628
Adams County Treasurer,Stan Martin,75446
Adams County Treasurer,Lisa Culpepper,81
Alamosa County Assessor,Sandra J. Hostetter,4304
Alamosa County Clerk and Recorder,Mari Felix,4158
Alamosa County Commissioner - District 2,Arlan Van Ry,4131
Alamosa County Coroner,Joe Dzuris,4162
Alamosa County - District Attorney - 12th Judicial District,Anne Kelly,3529
Alamosa County - District Attorney - 12th Judicial District,Robert S. (Bob) Willett,2197
Alamosa County Sheriff,Robert Jackson,4561
Alamosa County Surveyor,Daniel M. Russell,4210
Alamosa County Treasurer,Amy McKinley,4229
Amendment D (Constitutional),Yes/For,1491460
Amendment D (Constitutional),No/Against,717413
Amendment E (Constitutional),Yes/For,2109018
Amendment E (Constitutional),No/Against,289471
Amendment F (Constitutional),No/Against,1358759
Amendment F (Constitutional),Yes/For,930155
Arapahoe County Assessor,PK Kaiser,139787
Arapahoe County Assessor,Bob Andrews,100486
Arapahoe County Assessor,Joshua Lallement,7507
Arapahoe County Clerk and Recorder,Joan Lopez,152761
Arapahoe County Clerk and Recorder,Caroline Cornell,96682
Arapahoe County Commissioner - District 2,Jessica Campbell-Swanson,31892
Arapahoe County Commissioner - District 2,Mark Gotto,25846
Arapahoe County Commissioner - District 4,Leslie Summey,26727
Arapahoe County Commissioner - District 4,Bob Roth,14591
Arapahoe County Coroner,Kelly C. Lear,144562
Arapahoe County Coroner,Ron Bouchard,91749
Arapahoe County Coroner,Kat Martin,8975
Arapahoe County Court Judge-Clark,Yes,141071
Arapahoe County Court Judge-Clark,No,60785
Arapahoe County Court Judge-LaFave,Yes,121106
Arapahoe County Court Judge-LaFave,No,80343
Arapahoe County Court Judge-Roche,Yes,142668
Arapahoe County Court Judge-Roche,No,58281
Arapahoe County Court Judge-Rowles-Stokes,Yes,134551
Arapahoe County Court Judge-Rowles-Stokes,No,66486
Arapahoe County Sheriff,Tyler Scott Brown,138334
Arapahoe County Sheriff,Kevin S. Edling,102948
Arapahoe County Sheriff,Scott Alan Liva,7372
Arapahoe County Treasurer,Michael Roger Westerberg,140859
Arapahoe County Treasurer,Marsha Berzins,105928
Archuleta County Assessor,Johanna Tully-Elliott,5748
Archuleta County Ballot Issue 1A,No/Against,5618
Archuleta County Ballot Issue 1A,Yes/For,2098
Archuleta County Clerk and Recorder,Kristy Archuleta,6003
Archuleta County Commissioner District 3,Veronica Medina,4560
Archuleta County Commissioner District 3,Rachel Suh,2753
Archuleta County Coroner,Brandon L. Bishop,5825
Archuleta County Court Judge - Fay,Yes,4426
Archuleta County Court Judge - Fay,No,1751
Archuleta County Sheriff,Mike Le Roux,4775
Archuleta County Sheriff,Monica A. Medina,1589
Archuleta County Sheriff,Wayne Bryant,1206
Archuleta County Surveyor,Ron Sutcliffe,5607
Archuleta County Treasurer,Elsa P. White,5834
Aspen Ambulance District Ballot Issue 6A,Yes/For,3539
Aspen Ambulance District Ballot Issue 6A,No/Against,1904
Associate County Court - Fennessy,Yes,1737
Associate County Court - Fennessy,No,813
Attorney General,Phil Weiser,1348789
Attorney General,John Kellner,1060694
Attorney General,William F. Robinson III,54547
Attorney General,Stanley Thorne,1651
Baca County Assessor,Gayla J. Thompson,1468
Baca County Clerk and Recorder,Sharon Dubois,1358
Baca County Commissioner - 2,Shiloh Freed,1152
Baca County Commissioner - 2,James Dubois,577
Baca County Coroner,Robert Morrow,1343
Baca County Sheriff,Aaron Mack Shiplett,1409
Baca County Sheriff,Colin F. Elstob,311
Baca County Treasurer,Jozy Stegman,1539
BALLOT ISSUE #5A: FREMONT SCHOOL DISTRICT RE-2 BONDS,Yes/For,3429
BALLOT ISSUE #5A: FREMONT SCHOOL DISTRICT RE-2 BONDS,No/Against,2233
Beaver Creek Metropolitan District Ballot Issue 6A - Formation of Eagle Valley Transportation Authority,YES/FOR,114
Beaver Creek Metropolitan District Ballot Issue 6A - Formation of Eagle Valley Transportation Authority,NO/AGAINST,58
Bennett School District 29J Ballot Issue 5A,No/Against,1804
Bennett School District 29J Ballot Issue 5A,Yes/For,1531
Bent County Assessor,Guy F. Wagner,1332
Bent County Clerk and Recorder,Lynda G. Moss,1375
Bent County Commissioner - District 2,Alan Stump,1220
Bent County Commissioner - District 2,Ross Stotz,556
Bent County Coroner,Jason Nichols,1532
Bent County Sheriff,Jake R. Six,1095
Bent County Sheriff,Webster Lee Hogue,488
Bent County Treasurer,Kathy Brown,1524
Board of Directors - 2 Year Term,Audrey Oberlin,64
Board of Directors - 2 Year Term,Michael Thele,64
Board of Directors - 2 Year Term,Flint Smith,21
Board of Directors - 4 Year Term,Harlan Nimmo,75
Board of Directors - 4 Year Term,Robert Goodwin,73
Board of Directors - 4 Year Term,Wayne Ives,70
Boulder County Assessor,Cynthia Braddock,121872
Boulder County Ballot Issue 1A,Yes/For,115361
Boulder County Ballot Issue 1A,No/Against,44708
Boulder County Ballot Issue 1B,Yes/For,107695
Boulder County Ballot Issue 1B,No/Against,50729
Boulder County Ballot Issue 1C,Yes/For,128142
Boulder County Ballot Issue 1C,No/Against,30803
Boulder County Clerk and Recorder,Molly Fitzpatrick,124122
Boulder County Commissioner - District 3,Ashley Stolzmann,119639
Boulder County Commissioner - District 3,Bo Shaffer,29832
Boulder County Coroner,Emma R. Hall,121686
Boulder County Court Judge - Archuleta,Yes/For,91278
Boulder County Court Judge - Archuleta,No/Against,21464
Boulder County Court Judge - Brodsky,Yes/For,91945
Boulder County Court Judge - Brodsky,No/Against,20109
Boulder County Court Judge - Malkinson,Yes/For,88861
Boulder County Court Judge - Malkinson,No/Against,21792
Boulder County Court Judge - Martinez,Yes/For,90082
Boulder County Court Judge - Martinez,No/Against,20475
Boulder County Sheriff,Curtis Johnson,122232
Boulder County Surveyor,Lee Stadele,121544
Boulder County Treasurer,Paul Weissmann,122859
Boulder Public Library District Ballot Issue 6C,Yes/For,31872
Boulder Public Library District Ballot Issue 6C,No/Against,28040
Boulder Valley School District RE-2 Ballot Issue 5A,Yes/For,68823
Boulder Valley School District RE-2 Ballot Issue 5A,No/Against,30307
Broomfield County - Boulder Valley School District RE-2 Ballot Issue 5A,Yes/For,8465
Broomfield County - Boulder Valley School District RE-2 Ballot Issue 5A,No/Against,5090
Buffalo School District RE-4J Director District A Recall Question,Yes/For,273
Buffalo School District RE-4J Director District A Recall Question,No/Against,229
Buffalo School District RE-4J Director District A Recall Successor,Mike Kirschbaum,278
Calhan School District RJ1 Ballot Issue 5C,Yes/For,841
Calhan School District RJ1 Ballot Issue 5C,No/Against,733
CENTRAL YUMA GROUNDWATER MANAGEMENT DISTRICT BALLOT ISSUE 6A,No,626
CENTRAL YUMA GROUNDWATER MANAGEMENT DISTRICT BALLOT ISSUE 6A,Yes,478
Chaffee County Assessor,Rick Roberts,7304
Chaffee County Ballot Question 1A,Yes/For,7176
Chaffee County Ballot Question 1A,No/Against,4053
Chaffee County Ballot Question 1B,No/Against,8566
Chaffee County Ballot Question 1B,Yes/For,2662
Chaffee County Clerk and Recorder,Lori Mitchell,8576
Chaffee County Clerk and Recorder,Elaine Allemang,1186
Chaffee County Commissioner - District 3,P.T. Wood,5702
Chaffee County Commissioner - District 3,Brandon Becker,3914
Chaffee County Commissioner - District 3,Adriane Kuhn,1951
Chaffee County Coroner,Jeff Graf,8770
Chaffee County Sheriff,John Spezze,7923
Chaffee County Treasurer,"Delores ""Dee Dee"" Copper",7879
Chaffee Housing Authority Ballot Issue 6A,No/Against,7403
Chaffee Housing Authority Ballot Issue 6A,Yes/For,3315
Cheyenne County - Amendment D (Constitutional),No/Against,498
Cheyenne County - Amendment D (Constitutional),Yes/For,345
Cheyenne County Assessor,Lacey Welsh,788
Cheyenne County Clerk and Recorder,Allison Brown,830
Cheyenne County Commissioner - District 2,Ronald R. Smith,749
Cheyenne County Coroner,Raymond Dean Kern,789
Cheyenne County Sheriff,Michael L. Buchanan,799
Cheyenne County Treasurer,Gaila Mitchek,822
City of Aspen Ballot Issue 2A,Yes/For,2259
City of Aspen Ballot Issue 2A,No/Against,1404
City of Aspen Ballot Issue 2B,Yes/For,2702
City of Aspen Ballot Issue 2B,No/Against,984
City of Aurora Ballot Question 3A,No/Against,66936
City of Aurora Ballot Question 3A,Yes/For,47131
City of Boulder Ballot Issue 2A,Yes/For,31947
City of Boulder Ballot Issue 2A,No/Against,13400
City of Boulder Ballot Issue 2B,Yes/For,30151
City of Boulder Ballot Issue 2B,No/Against,13910
City of Boulder Ballot Question 2C,Yes/For,26821
City of Boulder Ballot Question 2C,No/Against,12679
City of Boulder Ballot Question 2D,Yes/For,33079
City of Boulder Ballot Question 2D,No/Against,7063
City of Boulder Ballot Question 2E,Yes/For,26138
City of Boulder Ballot Question 2E,No/Against,15039
City of Boulder Ballot Question 2F,No/Against,22539
City of Boulder Ballot Question 2F,Yes/For,19292
City of Brighton Councilmember Ward 1,Tom Green,1936
City of Brighton Councilmember Ward 1,Marisa Nickerson,980
City of Brighton Councilmember Ward 1,Sherri Pollack,873
City of Canon City Issue #2A:,Yes/For,5721
City of Canon City Issue #2A:,No/Against,763
City of Canon City Issue #2B:,Yes/For,5624
City of Canon City Issue #2B:,No/Against,860
City of Canon City Issue #2C:,Yes/For,5110
City of Canon City Issue #2C:,No/Against,1459
City of Canon City Issue #2D:,Yes/For,4110
City of Canon City Issue #2D:,No/Against,2236
City of Castle Pines Ballot Question 2A,YES,6103
City of Castle Pines Ballot Question 2A,NO,1245
City of Centennial Ballot Issue 2L,No/Against,30583
City of Centennial Ballot Issue 2L,Yes/For,24188
City of Central Alderman/City Council,Todd Williams,180
City of Central Alderman/City Council,Marcia Enloe,178
City of Central Alderman/City Council,Jill Story,120
City of Central Ballot Issue 2A,Yes/For,204
City of Central Ballot Issue 2A,No/Against,116
City of Central Mayor,Jeremy Fey,182
City of Central Mayor,Jeffrey Aiken,129
City of Cherry Hills Village Ballot Issue 2A,Yes/For,2134
City of Cherry Hills Village Ballot Issue 2A,No/Against,1502
City of Cherry Hills Village Ballot Question 300,Yes/For,2834
City of Cherry Hills Village Ballot Question 300,No/Against,607
City of Colorado Springs Ballot Issue 301,Yes/For,96968
City of Colorado Springs Ballot Issue 301,No/Against,86240
City of Colorado Springs Ballot Question 300,No/Against,100250
City of Colorado Springs Ballot Question 300,Yes/For,83926
City of Craig Ballot Question 2A,Yes/For,1487
City of Craig Ballot Question 2A,No/Against,1474
City of Cripple Creek Ballot Issue 2A,No/Against,284
City of Cripple Creek Ballot Issue 2A,Yes/For,145
City of Cripple Creek Ballot Issue 2B,Yes/For,228
City of Cripple Creek Ballot Issue 2B,No/Against,207
City of Cripple Creek Ballot Issue 2C,Yes/For,258
City of Cripple Creek Ballot Issue 2C,No/Against,180
City of Dacono Ballot Question 2E,Yes/For,1516
City of Dacono Ballot Question 2E,No/Against,397
City of Dacono Ballot Question 2F,No/Against,1018
City of Dacono Ballot Question 2F,Yes/For,952
City of Dacono Council Members,Danny Long,1082
City of Dacono Council Members,Kevin Plain,1009
City of Delta Ballot Question 2B,No/Against,1711
City of Delta Ballot Question 2B,Yes/For,1449
City of Delta Ballot Question 2C,Bill Chick,1009
City of Delta Ballot Question 2C,Ryan W. Crick,877
City of Delta Ballot Question 2C,Sarah Triantos,841
City of Delta Ballot Question 2C,Gerald E. Roberts,829
City of Delta Ballot Question 2C,Katie Bowers,827
City of Delta Ballot Question 2C,Jay Stooksberry,785
City of Delta Ballot Question 2C,James D. Brown,763
City of Delta Ballot Question 2C,Susan Welk-Valdez,757
City of Delta Ballot Question 2C,Lance Nelson,694
CITY OF DURANGO BALLOT QUESTION 2A,Yes/For,6079
CITY OF DURANGO BALLOT QUESTION 2A,No/Against,2804
City of Englewood Ballot Issue 2B,Yes/For,7236
City of Englewood Ballot Issue 2B,No/Against,6423
City of Englewood Ballot Issue 2C,Yes/For,8495
City of Englewood Ballot Issue 2C,No/Against,5287
City of Englewood Ballot Question 2D,Yes/For,8509
City of Englewood Ballot Question 2D,No/Against,5202
City of Englewood Ballot Question 2E,Yes/For,9676
City of Englewood Ballot Question 2E,No/Against,2786
City of Englewood Ballot Question 2F,Yes/For,8388
City of Englewood Ballot Question 2F,No/Against,3964
City of Englewood Ballot Question 2G,Yes/For,11154
City of Englewood Ballot Question 2G,No/Against,1492
City of Englewood Ballot Question 2H,Yes/For,9634
City of Englewood Ballot Question 2H,No/Against,3006
City of Englewood Ballot Question 2I,Yes/For,11045
