County,Tabulator,Batch,Ballots,Location
Douglas,1,GEN-0273,100,74
Douglas,1,GEN-0274,100,70
Douglas,1,GEN-0275,100,73
Douglas,1,GEN-0276,100,65
Douglas,1,GEN-0277,100,65
Douglas,1,GEN-0278,100,65
Douglas,1,GEN-0279,100,65
Douglas,1,GEN-0280,35,65
Douglas,1,GEN-0281,100,73
Douglas,1,GEN-0282,100,65
Douglas,1,GEN-0283,100,56
Douglas,1,GEN-0284,100,67
Douglas,1,GEN-0285,100,65
Douglas,1,GEN-0286,100,71
Douglas,1,GEN-0287,100,74
Douglas,1,GEN-0288,100,73
Douglas,1,GEN-0289,100,44
Douglas,1,GEN-0290,19,42
Douglas,1,GEN-0291,100,67
Douglas,1,GEN-0292,100,68
Douglas,1,GEN-0293,100,73
Douglas,1,GEN-0294,100,63
Douglas,1,GEN-0295,100,67
Douglas,1,GEN-0296,100,74
Douglas,1,GEN-0297,100,42
Douglas,1,GEN-0298,46,44
Douglas,1,GEN-0299,42,47
Douglas,1,GEN-0300,59,97
Douglas,1,GEN-0301,29,97
Douglas,1,GEN-0302,61,127
Douglas,1,GEN-0303,52,131
Douglas,1,GEN-0304,77,145
Douglas,1,GEN-0305,129,147
Douglas,1,GEN-0306,186,173
Douglas,1,GEN-0307,88,209
Douglas,1,GEN-0308,198,292
Douglas,1,GEN-0309,202,292
Douglas,1,GEN-0310,103,289
Douglas,1,GEN-0311,107,291
Douglas,1,GEN-0312,104,293
Douglas,1,GEN-0313,113,293
Douglas,1,GEN-0314,200,292
Douglas,1,GEN-0315,200,293
Douglas,1,GEN-0316,200,291
Douglas,1,GEN-0317,200,292
Douglas,1,GEN-0318,61,292
Douglas,1,GEN-0319,30,292
Douglas,1,GEN-0320,100,67
Douglas,1,GEN-0321,100,68
Douglas,1,GEN-0322,100,73
Douglas,1,GEN-0323,100,65
Douglas,1,GEN-0324,100,47
Douglas,1,GEN-0325,100,68
Douglas,1,GEN-0326,100,56
Douglas,1,GEN-0327,100,16
Douglas,1,GEN-0328,100,67
Douglas,1,GEN-0329,30,67
Douglas,1,GEN-0330,100,67
Douglas,1,GEN-0331,86,75
Douglas,1,GEN-0332,100,56
Douglas,1,GEN-0333,100,42
Douglas,1,GEN-0334,100,42
Douglas,1,GEN-0335,100,75
Douglas,1,GEN-0336,100,63
Douglas,1,GEN-0337,100,68
Douglas,1,GEN-0338,100,63
Douglas,1,GEN-0339,87,71
Douglas,1,GEN-0340,100,74
Douglas,1,GEN-0341,100,75
Douglas,1,GEN-0342,86,71
Douglas,1,GEN-0343,100,63
Douglas,1,GEN-0344,100,56
Douglas,1,GEN-0345,100,67
Douglas,1,GEN-0346,100,67
Douglas,1,GEN-0347,100,73
Douglas,1,GEN-0348,100,67
Douglas,1,GEN-0349,100,44
Douglas,1,GEN-0350,100,42
Douglas,1,GEN-0351,100,74
Douglas,1,GEN-0352,100,74
Douglas,1,GEN-0353,100,44
Douglas,1,GEN-0354,100,74
Douglas,1,GEN-0355,100,76
Douglas,1,GEN-0356,100,61
Douglas,1,GEN-0357,100,61
Douglas,1,GEN-0358,100,61
Douglas,1,GEN-0359,100,74
Douglas,1,GEN-0360,100,59
Douglas,1,GEN-0361,100,61
Douglas,1,GEN-0362,97,59
Douglas,1,GEN-0363,100,75
Douglas,1,GEN-0364,100,63
Douglas,1,GEN-0365,100,16
Douglas,1,GEN-0366,100,56
Douglas,1,GEN-0367,100,63
Douglas,1,GEN-0368,100,68
Douglas,1,GEN-0369,100,68
Douglas,1,GEN-0370,100,67
Douglas,1,GEN-0371,44,65
Douglas,1,GEN-0372,100,75
Douglas,1,GEN-0373,100,67
Douglas,1,GEN-0374,100,63
Douglas,1,GEN-0375,100,47
Douglas,1,GEN-0376,100,75
Douglas,1,GEN-0377,100,67
Douglas,1,GEN-0378,100,68
Douglas,1,GEN-0379,100,44
Douglas,1,GEN-0380,100,59
Douglas,1,GEN-0381,100,75
Douglas,1,GEN-0382,100,42
Douglas,1,GEN-0383,100,59
Douglas,1,GEN-0384,100,42
Douglas,1,GEN-0385,100,63
Douglas,1,GEN-0386,100,8
Douglas,1,GEN-0387,100,42
Douglas,1,GEN-0388,100,44
Douglas,1,GEN-0389,100,42
Douglas,1,GEN-0390,100,74
Douglas,1,GEN-0391,25,68
Douglas,1,GEN-0392,100,74
Douglas,1,GEN-0393,100,65
Douglas,1,GEN-0394,100,42
Douglas,1,GEN-0395,100,42
Douglas,1,GEN-0396,100,42
Douglas,1,GEN-0397,100,71
Douglas,1,GEN-0398,100,65
Douglas,1,GEN-0399,100,59
