County,Tabulator ID,Batch,#of Ballots,Location
Routt,104,1,25,1
Routt,104,2,25,1
Routt,104,3,25,1
Routt,104,4,25,1
Routt,104,5,25,1
Routt,104,6,25,1
Routt,104,7,25,1
Routt,104,8,25,1
Routt,104,9,25,1
Routt,104,10,25,1
Routt,104,11,25,1
Routt,104,12,25,1
Routt,104,13,25,1
Routt,104,14,25,1
Routt,104,15,25,1
Routt,104,16,25,1
Routt,104,17,25,1
Routt,104,18,25,1
Routt,104,19,25,1
Routt,104,20,25,1
Routt,104,21,25,1
Routt,104,22,25,1
Routt,104,23,25,1
Routt,104,24,25,1
Routt,104,25,25,1
Routt,104,26,25,1
Routt,104,27,24,1
Routt,104,28,24,1
Routt,104,29,24,1
Routt,104,30,24,1
Routt,104,31,24,1
Routt,104,32,24,1
Routt,104,33,24,1
Routt,104,34,24,1
Routt,104,35,24,1
Routt,104,36,24,1
Routt,104,37,24,1
Routt,104,38,24,1
Routt,104,39,24,1
Routt,104,40,24,1
Routt,104,41,24,1
Routt,104,42,23,1
Routt,104,43,23,1
Routt,104,44,23,1
Routt,104,45,22,1
Routt,104,46,14,1
Routt,104,47,10,1
Routt,104,48,25,1
Routt,104,49,23,1
Routt,104,50,25,1
Routt,104,51,17,1
Routt,105,1,25,2
Routt,105,2,25,2
Routt,105,3,25,2
Routt,105,4,24,2
Routt,105,5,25,2
Routt,105,6,25,2
Routt,105,7,24,2
Routt,105,8,25,2
Routt,105,9,24,2
Routt,105,10,24,2
Routt,105,11,24,2
Routt,105,12,24,2
Routt,105,13,24,2
Routt,105,14,24,2
Routt,105,15,24,2
Routt,105,16,24,2
Routt,105,17,24,2
Routt,105,18,24,2
Routt,105,19,24,2
Routt,105,20,23,2
Routt,105,21,23,2
Routt,105,22,23,2
Routt,105,23,23,2
Routt,105,24,23,2
Routt,105,25,22,2
Routt,105,26,21,2
Routt,105,27,17,2
Routt,105,28,17,2
Routt,105,29,25,2
Routt,105,30,25,2
Routt,105,31,25,2
Routt,105,32,25,2
Routt,105,33,25,2
