County,Tabulator,Batch,# of Ballots,Location,,,
Kiowa,104,1,25,Box 1,,,
Kiowa,104,2,25,Box 1,,,
Kiowa,104,3,25,Box 1,,,
Kiowa,104,4,25,Box 1,,,
Kiowa,104,5,25,Box 1,,,
Kiowa,104,6,25,Box 1,,,
Kiowa,104,7,25,Box 1,,,
Kiowa,104,8,25,Box 1,,,
Kiowa,104,9,25,Box 1,,,
Kiowa,104,10,25,Box 1,,,
Kiowa,104,11,25,Box 1,,,
Kiowa,104,12,25,Box 1,,,
Kiowa,104,13,25,Box 1,,,
Kiowa,104,14,25,Box 1,,,
Kiowa,104,15,25,Box 1,,,
Kiowa,104,16,25,Box 1,,,
Kiowa,104,17,25,Box 1,,25,
Kiowa,104,18,25,Box 1,,,
Kiowa,104,19,25,Box 1,,,
Kiowa,104,20,25,Box 1,,,
Kiowa,104,21,25,Box 1,,,
Kiowa,104,22,25,Box 1,,,
Kiowa,104,23,25,Box 1,,,
Kiowa,104,24,25,Box 1,,,
Kiowa,104,25,25,Box 1,,,
Kiowa,104,26,25,Box 1,,,
Kiowa,104,27,25,Box 1,,, 
Kiowa,104,28,25,Box 1,,, 
Kiowa,104,29,25,Box 1,,,
Kiowa,104,30,25,Box 1,,,
Kiowa,104,31,26,Box 1,,,
Kiowa,104,32,1,Box 1,,,
