County,Tabulator,Batch,# of Ballots,Location (Bag)
Archuleta,104,1,15,1
Archuleta,104,2,17,1
Archuleta,104,3,25,1
Archuleta,104,4,24,1
Archuleta,104,5,15,1
Archuleta,104,6,25,1
Archuleta,104,7,10,1
Archuleta,104,8,3,1
Archuleta,104,9,2,1
Archuleta,104,10,8,1
Archuleta,104,11,7,1
Archuleta,104,12,17,1
Archuleta,104,13,25,1
Archuleta,104,14,16,1
Archuleta,104,15,9,1
Archuleta,104,16,6,1
Archuleta,104,17,25,1
Archuleta,104,18,25,1
Archuleta,104,19,31,1
Archuleta,104,20,25,1
Archuleta,104,21,25,1
Archuleta,104,22,14,1
Archuleta,104,23,4,1
Archuleta,104,24,24,1
Archuleta,104,25,25,1
Archuleta,104,26,25,1
Archuleta,104,27,25,1
Archuleta,104,28,23,1
Archuleta,104,29,25,1
Archuleta,104,30,25,1
Archuleta,104,31,10,1
Archuleta,104,32,25,1
Archuleta,104,33,4,1
Archuleta,104,34,20,1
Archuleta,104,35,9,1
Archuleta,104,36,25,1
Archuleta,104,37,11,1
Archuleta,104,38,25,1
Archuleta,104,39,2,1
Archuleta,104,40,25,1
Archuleta,104,41,24,1
Archuleta,104,42,10,1
Archuleta,104,43,25,1
Archuleta,104,44,25,1
Archuleta,104,45,25,1
Archuleta,104,46,8,1
Archuleta,104,47,25,1
Archuleta,104,48,25,1
Archuleta,104,49,24,1
Archuleta,104,50,25,1
Archuleta,104,51,24,1
Archuleta,104,52,24,1
Archuleta,104,53,24,1
Archuleta,104,54,25,1
Archuleta,104,55,23,1
Archuleta,104,56,25,1
Archuleta,104,57,16,1
Archuleta,104,58,25,1
Archuleta,104,59,25,2
Archuleta,104,60,25,2
Archuleta,104,61,25,2
Archuleta,104,62,24,2
Archuleta,104,63,25,2
Archuleta,104,64,25,2
Archuleta,104,65,24,2
Archuleta,104,66,25,2
Archuleta,104,67,25,2
Archuleta,104,68,30,2
Archuleta,104,69,25,2
Archuleta,104,70,25,2
Archuleta,104,71,25,2
Archuleta,104,72,25,2
Archuleta,104,73,15,2
Archuleta,104,74,30,2
Archuleta,104,75,26,2
Archuleta,104,76,25,2
Archuleta,104,77,25,2
Archuleta,104,78,7,2
Archuleta,104,79,18,2
Archuleta,104,80,25,2
Archuleta,104,81,9,2
Archuleta,104,82,24,2
Archuleta,104,83,25,2
Archuleta,104,84,25,2
Archuleta,104,85,15,2
Archuleta,104,86,25,2
Archuleta,104,87,25,2
Archuleta,104,88,25,2
Archuleta,104,89,25,2
Archuleta,104,90,25,2
Archuleta,104,91,21,2
Archuleta,104,92,25,2
Archuleta,104,93,25,2
Archuleta,104,94,11,2
Archuleta,104,95,25,2
Archuleta,104,96,5,2
Archuleta,104,97,25,2
Archuleta,104,98,25,2
Archuleta,104,99,13,2
Archuleta,104,100,15,2
Archuleta,104,101,25,2
Archuleta,104,102,25,2
Archuleta,104,103,25,2
Archuleta,104,104,25,2
Archuleta,104,105,22,2
Archuleta,104,106,25,2
Archuleta,104,107,26,2
Archuleta,104,108,25,2
Archuleta,104,109,25,3
Archuleta,104,110,22,3
Archuleta,104,111,25,3
Archuleta,104,112,25,3
Archuleta,104,113,25,3
Archuleta,104,114,12,3
Archuleta,104,115,8,3
Archuleta,104,116,25,3
Archuleta,104,117,25,3
Archuleta,104,118,25,3
Archuleta,104,119,25,3
Archuleta,104,120,24,3
Archuleta,104,121,26,3
Archuleta,104,122,14,3
Archuleta,104,123,25,3
Archuleta,104,124,25,3
Archuleta,104,125,25,3
Archuleta,104,126,25,3
Archuleta,104,127,25,3
Archuleta,104,128,25,3
Archuleta,104,129,20,3
Archuleta,104,130,25,3
Archuleta,104,131,25,3
Archuleta,104,132,22,3
Archuleta,104,133,22,3
Archuleta,104,134,25,3
Archuleta,104,135,13,3
Archuleta,104,136,25,3
Archuleta,104,137,25,3
Archuleta,104,138,25,3
Archuleta,104,139,25,3
Archuleta,104,140,24,3
Archuleta,104,141,24,3
Archuleta,104,142,25,3
Archuleta,104,143,25,3
Archuleta,104,144,31,3
Archuleta,104,145,25,3
Archuleta,104,146,24,3
Archuleta,104,147,25,3
Archuleta,104,148,24,3
Archuleta,104,149,25,3
Archuleta,104,150,25,3
Archuleta,104,151,20,3
Archuleta,104,152,24,3
Archuleta,104,153,24,3
Archuleta,104,154,25,3
Archuleta,104,155,28,3
Archuleta,104,156,25,3
Archuleta,104,157,25,3
Archuleta,104,158,25,3
Archuleta,104,159,25,3
Archuleta,104,160,25,3
Archuleta,104,161,24,3
Archuleta,104,162,26,3
Archuleta,104,163,28,3
Archuleta,104,164,12,3
Archuleta,104,165,25,3
Archuleta,104,166,25,3
Archuleta,104,167,25,3
Archuleta,104,168,26,3
Archuleta,104,169,25,3
Archuleta,104,170,28,3
Archuleta,104,171,24,3
Archuleta,104,172,26,3
Archuleta,104,173,26,3
Archuleta,104,174,25,4
Archuleta,104,175,26,4
Archuleta,104,176,25,4
Archuleta,104,177,25,4
Archuleta,104,178,23,4
Archuleta,104,179,23,4
Archuleta,104,180,25,4
Archuleta,104,181,29,4
Archuleta,104,182,25,4
Archuleta,104,183,24,4
Archuleta,104,184,25,4
Archuleta,104,185,25,4
Archuleta,104,186,24,4
Archuleta,104,187,25,4
Archuleta,104,188,25,4
Archuleta,104,189,25,4
Archuleta,104,190,22,4
Archuleta,104,191,25,4
Archuleta,104,192,30,4
Archuleta,104,193,14,4
Archuleta,104,194,30,4
Archuleta,104,195,25,4
Archuleta,104,196,12,4
Archuleta,104,197,24,4
Archuleta,104,198,25,4
Archuleta,104,199,25,4
Archuleta,104,200,25,4
Archuleta,104,201,13,4
Archuleta,104,202,21,4
Archuleta,104,203,25,4
Archuleta,104,204,25,4
Archuleta,104,205,25,4
Archuleta,104,206,25,4
Archuleta,104,207,25,4
Archuleta,104,208,11,4
Archuleta,104,209,25,4
Archuleta,104,210,25,4
Archuleta,104,211,25,4
Archuleta,104,212,24,4
Archuleta,104,213,25,4
Archuleta,104,214,25,4
Archuleta,104,215,26,4
Archuleta,104,216,25,4
Archuleta,104,217,24,4
Archuleta,104,218,24,4
Archuleta,104,219,25,4
Archuleta,104,220,25,4
Archuleta,104,221,15,4
Archuleta,104,222,25,4
Archuleta,104,223,24,4
Archuleta,104,224,25,4
Archuleta,104,225,25,4
Archuleta,104,226,24,4
Archuleta,104,227,24,5
Archuleta,104,228,25,5
Archuleta,104,229,25,5
Archuleta,104,230,24,5
Archuleta,104,231,25,5
Archuleta,104,232,24,5
Archuleta,104,233,8,5
Archuleta,104,234,24,5
Archuleta,104,235,25,5
Archuleta,104,236,25,5
Archuleta,104,237,26,5
Archuleta,104,238,25,5
Archuleta,104,239,24,5
Archuleta,104,240,24,5
Archuleta,104,241,25,5
Archuleta,104,242,25,5
Archuleta,104,243,25,5
Archuleta,104,244,24,5
Archuleta,104,245,24,5
Archuleta,104,246,27,5
Archuleta,104,247,25,5
Archuleta,104,248,25,5
Archuleta,104,249,25,5
Archuleta,104,250,30,5
Archuleta,104,251,25,5
Archuleta,104,252,25,5
Archuleta,104,253,13,5
Archuleta,104,254,25,5
Archuleta,104,255,25,5
Archuleta,104,256,25,5
Archuleta,104,257,25,5
Archuleta,104,258,25,5
Archuleta,104,259,20,5
Archuleta,104,260,26,5
Archuleta,104,261,25,5
Archuleta,104,262,25,5
Archuleta,104,263,25,5
Archuleta,104,264,25,5
Archuleta,104,265,25,5
Archuleta,104,266,24,5
Archuleta,104,267,27,5
Archuleta,104,268,28,5
Archuleta,104,269,27,5
Archuleta,104,270,25,5
Archuleta,104,271,24,5
Archuleta,104,272,25,5
Archuleta,104,273,25,5
Archuleta,104,274,25,5
Archuleta,104,275,25,5
Archuleta,104,276,24,5
Archuleta,104,277,25,5
Archuleta,104,278,25,5
Archuleta,104,279,25,5
Archuleta,104,280,23,5
Archuleta,104,281,25,5
Archuleta,104,282,25,5
Archuleta,104,283,25,5
Archuleta,104,284,25,5
Archuleta,104,285,29,5
Archuleta,104,286,17,5
Archuleta,104,287,25,5
Archuleta,104,288,23,5
Archuleta,104,289,25,5
Archuleta,104,290,25,5
Archuleta,104,291,23,5
Archuleta,104,292,24,5
Archuleta,104,293,24,5
Archuleta,104,294,24,5
Archuleta,104,295,25,5
Archuleta,104,296,25,5
Archuleta,104,297,24,5
Archuleta,104,298,25,5
Archuleta,104,299,10,5
Archuleta,104,300,25,5
Archuleta,104,301,26,5
Archuleta,104,302,25,5
Archuleta,104,303,24,5
Archuleta,104,304,25,5
Archuleta,104,305,25,5
Archuleta,104,306,22,5
Archuleta,104,307,24,5
Archuleta,104,308,25,5
Archuleta,104,309,25,5
Archuleta,104,310,11,6
Archuleta,104,311,52,6
Archuleta,104,312,10,6
Archuleta,104,313,10,6
Archuleta,104,314,10,6
Archuleta,104,315,10,6
Archuleta,104,316,10,6
Archuleta,104,317,20,6
Archuleta,104,318,16,6
Archuleta,104,319,25,6
Archuleta,104,320,25,6
Archuleta,104,321,24,6
Archuleta,104,322,25,6
Archuleta,104,323,25,6
Archuleta,104,324,27,6
Archuleta,104,325,27,6
Archuleta,104,326,20,6
Archuleta,104,327,25,6
Archuleta,104,328,24,6
Archuleta,104,329,14,6
Archuleta,104,330,18,6
Archuleta,104,331,25,6
Archuleta,104,332,12,6
Archuleta,104,333,18,6
Archuleta,104,334,24,6
Archuleta,104,335,21,6
Archuleta,104,336,23,6
Archuleta,104,337,26,6
Archuleta,104,338,9,6
Archuleta,104,339,25,6
Archuleta,104,340,25,6
Archuleta,104,341,25,6
Archuleta,104,342,25,6
Archuleta,104,343,25,6
Archuleta,104,344,25,6
Archuleta,104,345,25,6
Archuleta,104,346,14,6
Archuleta,104,347,23,Final Tabulation
Archuleta,104,348,21,Final Tabulation
Archuleta,104,349,25,Final Tabulation
Archuleta,104,350,18,Final Tabulation
Archuleta,104,351,26,Final Tabulation
