County,Tabulator,Batch,# of Ballot Cards,Location
Logan,102,1,25,1
Logan,102,2,25,1
Logan,102,3,25,1
Logan,102,4,25,1
Logan,102,5,25,1
Logan,102,6,10,1
Logan,102,7,8,1
Logan,102,8,25,1
Logan,102,9,25,1
Logan,102,10,27,1
Logan,102,11,25,1
Logan,102,12,25,1
Logan,102,13,26,1
Logan,102,14,25,1
Logan,102,15,21,1
Logan,102,16,25,1
Logan,102,17,25,1
Logan,102,18,25,1
Logan,102,19,25,1
Logan,102,20,25,1
Logan,102,21,25,1
Logan,102,22,24,1
Logan,102,23,25,1
Logan,102,24,24,1
Logan,102,25,25,2
Logan,102,26,25,2
Logan,102,27,25,2
Logan,102,28,25,2
Logan,102,29,25,2
Logan,102,30,25,2
Logan,102,31,25,2
Logan,102,32,22,2
Logan,102,33,25,2
Logan,102,34,25,3
Logan,102,35,25,3
Logan,102,36,25,3
Logan,102,37,25,3
Logan,102,38,25,3
Logan,102,39,25,3
Logan,102,40,25,3
Logan,102,41,25,3
Logan,102,42,25,3
Logan,102,43,25,3
Logan,102,44,25,3
Logan,102,45,25,3
Logan,102,46,25,3
Logan,102,47,24,3
Logan,102,48,12,3
Logan,102,49,23,3
Logan,102,50,25,4
Logan,102,51,25,4
Logan,102,52,25,4
Logan,102,53,25,4
Logan,102,54,25,4
Logan,102,55,25,4
Logan,102,56,25,4
Logan,102,57,25,4
Logan,102,58,25,4
Logan,102,59,25,4
Logan,102,60,24,4
Logan,102,61,21,4
Logan,102,62,25,4
Logan,102,63,25,4
Logan,102,64,25,4
Logan,102,65,25,4
Logan,102,66,25,4
Logan,102,67,25,4
Logan,102,68,25,4
Logan,102,69,25,4
Logan,102,70,17,4
Logan,102,71,25,5
Logan,102,72,25,5
Logan,102,73,25,5
Logan,102,74,25,5
Logan,102,75,25,5
Logan,102,76,31,5
Logan,102,77,25,5
Logan,102,78,24,5
Logan,102,79,25,5
Logan,102,80,25,5
Logan,102,81,25,5
Logan,102,82,25,5
Logan,102,83,25,5
Logan,102,84,25,5
Logan,102,85,25,5
Logan,102,86,11,5
Logan,102,87,25,5
Logan,102,88,25,5
Logan,102,89,25,5
Logan,102,90,25,5
Logan,102,91,11,5
