county_name,contest_name,choice,votes
Adams,City of Arvada Mayor,Marc Williams,253
Adams,City of Arvada Mayor,Harriet Hall,245
Adams,City of Arvada Mayor,Dave Palm,130
Adams,City of Arvada Councilmember - At Large,Bob Fifer,351
Adams,City of Arvada Councilmember - At Large,Jeff Cannon,235
Adams,City of Arvada Councilmember - District 2,Lauren C. Simpson,285
Adams,City of Arvada Councilmember - District 2,T.o. Owens,210
Adams,City of Arvada Councilmember - District 2,Ethan J. Lutz,116
Adams,City of Aurora Mayor,Omar Montgomery,2096
Adams,City of Aurora Mayor,Mike Coffman,1463
Adams,City of Aurora Mayor,Ryan L. Frazier,886
Adams,City of Aurora Mayor,Marsha Berzins,543
Adams,City of Aurora Mayor,Renie Roberta Peterson,236
Adams,City of Aurora Mayor,Tiffany Grays,19
Adams,City of Aurora Mayor,Write-in:,0
Adams,City of Aurora Council Member - At Large,Angela Lawson,2024
Adams,City of Aurora Council Member - At Large,Leanne Denise Wheeler,1463
Adams,City of Aurora Council Member - At Large,Curtis Gardner,1411
Adams,City of Aurora Council Member - At Large,Martha Lugo,1289
Adams,City of Aurora Council Member - At Large,Johnny Watson,1245
Adams,City of Aurora Council Member - At Large,Thomas Mayes,1008
Adams,City of Commerce City Mayor,Benjamin Huseman,3049
Adams,City of Commerce City Mayor,Steve Douglas,2136
Adams,City of Commerce City Mayor,René Bullock,1828
Adams,City of Commerce City Mayor,Maria Gonzalez,1518
Adams,City of Commerce City Mayor,Paul D. Solano,877
Adams,City of Commerce City Councilmember - Ward II,Jennifer Allen-thomas,643
Adams,City of Commerce City Councilmember - Ward II,June Muniz-younger,597
Adams,City of Commerce City Councilmember - Ward IV,Susan Noble,1462
Adams,City of Commerce City Councilmember - Ward IV,Steve Davis,1315
Adams,City of Commerce City Councilmember - Ward IV,John Dupriest,614
Adams,City of Commerce City Councilmember - Ward IV,Mike A Flores,396
Adams,City of Commerce City Councilmember - At Large,Meghan Grimes,2622
Adams,City of Commerce City Councilmember - At Large,Craig Hurst,2359
Adams,City of Commerce City Councilmember - At Large,"Luz E. ""lucy"" Molina",2177
Adams,City of Commerce City Councilmember - At Large,Ramón Alvarado,1711
Adams,City of Commerce City Councilmember - At Large,Roger Japp,1443
Adams,City of Commerce City Councilmember - At Large,Anthony Stellato,1021
Adams,City of Commerce City Councilmember - At Large,Gene Leffel,890
Adams,City of Commerce City Councilmember - At Large,J Gabriel Montanez Jr,849
Adams,City of Brighton Councilmember - Ward 1,Tim Watts,1779
Adams,City of Brighton Councilmember - Ward 2,Mary Ellen Pollack,1438
Adams,City of Brighton Councilmember - Ward 3,Kris Jordinelli,842
Adams,City of Brighton Councilmember - Ward 3,Debra Parmley,704
Adams,City of Brighton Councilmember - Ward 4,Christopher Schoeneck,681
Adams,City of Brighton Councilmember - Ward 4,Adam Cushing,650
Adams,City of Brighton Councilmember - Ward 4,Danny V. Sandoval,519
Adams,City of Brighton Councilmember - Ward 4,Vadim B. Epelbaum,260
Adams,City of Brighton Councilmember - Ward 4,Archie Demarest,137
Adams,City of Federal Heights Mayor,Linda S. Montoya,554
Adams,City of Federal Heights Mayor,Mark J. Stickel,389
Adams,City of Federal Heights Mayor,"Tom ""batman"" Ziegelbauer",340
Adams,City of Federal Heights Mayor,Harold Thomas,212
Adams,City of Federal Heights Council Member - Ward One,Celeste Arner,194
Adams,City of Federal Heights Council Member - Ward One,Eric Jeremy Hauch,160
Adams,City of Federal Heights Council Member - Ward One,Timothy W. Galey,104
Adams,City of Federal Heights Council Member - Ward Two - 4 Year Term,Bonnie Sellers,317
Adams,City of Federal Heights Council Member - Ward Two - 4 Year Term,Kevin L. Dougherty,244
Adams,City of Federal Heights Council Member - Ward Two - 2 Year Term,Doris Peterson,489
Adams,City of Federal Heights Council Member - Ward Three,Elaine Sweeney,361
Adams,City of Northglenn Mayor,Meredith Leighty,3161
Adams,City of Northglenn Mayor,Mark Philip Bromley,2153
Adams,City of Northglenn Mayor,Joe Brown,1725
Adams,City of Northglenn Council Member - Ward 1,Ashley Witkovich,1403
Adams,City of Northglenn Council Member - Ward 2,Becky Brown,716
Adams,City of Northglenn Council Member - Ward 2,Jay Michael Jaramillo,488
Adams,City of Northglenn Council Member - Ward 2,Spencer Yale,482
Adams,City of Northglenn Council Member - Ward 3,Katherine E. Goff,1146
Adams,City of Northglenn Council Member - Ward 4,Antonio B. Esquibel,815
Adams,City of Northglenn Council Member - Ward 4,Mary S. Mondragon,793
Adams,City of Northglenn Council Member - Ward 4,Paul C. Kelly,373
Adams,City of Northglenn Council Member - Ward 4,Luke Lopez,116
Adams,City of Northglenn Council Member - Ward 4,Annelies Cunis,115
Adams,City of Thornton Mayor,"Janifer ""jan"" Kulmann",11384
Adams,City of Thornton Mayor,Eric Montoya,6137
Adams,City of Thornton Mayor,Beth Martinez Humenik,5805
Adams,City of Thornton Mayor,Steven Cervantes,2704
Adams,City of Thornton Mayor,James K Treibert,1120
Adams,City of Thornton Councilmember - Ward 1,"Jacqueline ""jacque"" Phillips",2533
Adams,City of Thornton Councilmember - Ward 1,Shawn Reza,1106
Adams,City of Thornton Councilmember - Ward 2,Julia Marvin,3120
Adams,City of Thornton Councilmember - Ward 2,Tamara L Pierce,1678
Adams,City of Thornton Councilmember - Ward 3,David Acunto,4716
Adams,City of Thornton Councilmember - Ward 3,Jessica Troy,3929
Adams,City of Thornton Councilmember - Ward 4,Adam Matkowsky,5033
Adams,City of Thornton Councilmember - Ward 4,Curtis Kowalski,3764
Adams,City of Westminster Councillor,Anita Seitz,6835
Adams,City of Westminster Councillor,Rich Seymour,6550
Adams,City of Westminster Councillor,Lindsey Smith,6544
Adams,City of Westminster Councillor,Bruce Baker,6422
Adams,City of Westminster Councillor,Sheela Mahnke,5317
Adams,City of Westminster Councillor,Michele Haney,4875
Adams,City of Westminster Councillor,Nick Dyer,3210
Adams,City of Westminster Councillor,"Patricia ""pat"" Moore",3012
Adams,Adams County School District 14 Board Of Education,Renee N. Lovato,1887
Adams,Adams County School District 14 Board Of Education,Ramona Lewis,1844
Adams,Adams County School District 14 Board Of Education,Regina Hurtado,1618
Adams,Adams County School District 14 Board Of Education,Harvest Thomas,1594
Adams,Adams County School District 14 Board Of Education,Adrian C. Schimpf,1241
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,Vicki Reinhard,2512
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,Stephanie Mason,2381
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,Nichelle Ortiz,2354
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,Amber Drevon,2003
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,Barbara Yamrick,1376
Adams,Bennett School District 29J School Director - At Large,Melissa Walkup,603
Adams,Bennett School District 29J School Director - At Large,Dennis E. Smialek,539
Adams,Bennett School District 29J School Director - At Large,Nancy Barden,504
Adams,Bennett School District 29J School Director - At Large,Debra Brunner,470
Adams,Bennett School District 29J School Director - At Large,Amy Kirkwood,453
Adams,Byers School District 32J School Board Director,Eva Todd Pugh,109
Adams,Byers School District 32J School Board Director,Dennis Messer,98
Adams,Byers School District 32J School Board Director,Matt Eymann,98
Adams,Byers School District 32J School Board Director,Allison Harris,87
Adams,Byers School District 32J School Board Director,Terri L. Bryant,81
Adams,Deer Trail School District 26J Director of the Board of Education,Michael Cowell,7
Adams,Deer Trail School District 26J Director of the Board of Education,"Thomas Allen Cox, Jr.",5
Adams,Deer Trail School District 26J Director of the Board of Education,Christel D. Mcneil,5
Adams,Deer Trail School District 26J Director of the Board of Education,Candice Reed,2
Adams,Deer Trail School District 26J Director of the Board of Education,Glenn Scott Kunkel,1
Adams,Strasburg School District 31J School Board Director,Diana Elliott,806
Adams,Strasburg School District 31J School Board Director,Dillon Kent,761
Adams,Strasburg School District 31J School Board Director,Michael Marrero,752
Adams,Strasburg School District 31J School Board Director,Derrick Wojcik-damers,10
Adams,Weld County School District RE-3J Director - District E,Debra J. Gustafson,58
Adams,Weld County School District RE-3J Director - District E,Chad Franke,3
Adams,Aims College District Trustee - District A,Heidi Windell,47
Adams,Aims College District Trustee - District B,Mark Hout,41
Adams,Aims College District Trustee - District B,"Andres G. Guerrero, Jr.",13
Adams,Aims College District Trustee - District E,Lyle Achziger,36
Adams,Aims College District Trustee - District E,Genevieve Canales,19
Adams,Proposition CC (Statutory),No/against,57575
Adams,Proposition CC (Statutory),Yes/for,41890
Adams,Proposition DD (Statutory),Yes/for,50980
Adams,Proposition DD (Statutory),No/against,48342
Adams,City of Brighton Ballot Question 3A,Yes/for,6201
Adams,City of Brighton Ballot Question 3A,No/against,2557
Adams,City of Northglenn Question 3F,No/against,4105
Adams,City of Northglenn Question 3F,Yes/for,3360
Adams,Strasburg School District 31J Ballot Issue 5A,No/against,681
Adams,Strasburg School District 31J Ballot Issue 5A,Yes/for,623
Adams,Bennett School District 29J Ballot Issue 5B,No/against,666
Adams,Bennett School District 29J Ballot Issue 5B,Yes/for,520
Adams,Rangeview Library District Ballot Issue No. 6A,No/against,40044
Adams,Rangeview Library District Ballot Issue No. 6A,Yes/for,36419
Adams,Byers Fire Protection District Ballot Issue 7B,No/against,116
Adams,Byers Fire Protection District Ballot Issue 7B,Yes/for,84
Adams,Byers Fire Protection District Ballot Issue 7C,No/against,130
Adams,Byers Fire Protection District Ballot Issue 7C,Yes/for,70
Adams,Byers Fire Protection District Ballot Issue 7D,No/against,108
Adams,Byers Fire Protection District Ballot Issue 7D,Yes/for,93
Alamosa,City of Alamosa Councilor - At Large,Kristina Daniel,1182
Alamosa,City of Alamosa Councilor - At Large,Robert Oringdulph,694
Alamosa,City of Alamosa Councilor - Ward 1,Elizabeth (liz) Hensley,398
Alamosa,City of Alamosa Councilor - Ward 3,Charles Griego,323
Alamosa,Alamosa School District RE-11J Director - District 1,Eli Heredia,1938
Alamosa,Alamosa School District RE-11J Director - District 1,Justin Rilling,1196
Alamosa,Alamosa School District RE-11J Director - District 2,April Gonzales,1706
Alamosa,Alamosa School District RE-11J Director - District 2,Jan Desautell,1480
Alamosa,Alamosa School District RE-11J Director - District 5,Michael Mumper,2546
Alamosa,Alamosa School District RE-11J Director - District 6,Katrina Brown,2593
Alamosa,North Conejos School District RE-1J Director - District B,Charles E. Finnegan,12
Alamosa,North Conejos School District RE-1J Director - District D,Garth Crowther,13
Alamosa,North Conejos School District RE-1J Director - District F,Tanner L. Bagwell,14
Alamosa,North Conejos School District RE-1J Director - District F,Steve Cordova,3
Alamosa,Proposition CC (Statutory),No/against,2177
Alamosa,Proposition CC (Statutory),Yes/for,1814
Alamosa,Proposition DD (Statutory),No/against,2429
Alamosa,Proposition DD (Statutory),Yes/for,1556
Alamosa,City of Alamosa Initiated Ballot Question 300,For The Ordinance,1062
Alamosa,City of Alamosa Initiated Ballot Question 300,Against The Ordinance,951
Alamosa,City of Alamosa Referred Ballot Issue 2A,Yes,1154
Alamosa,City of Alamosa Referred Ballot Issue 2A,No,864
Alamosa,North Conejos School District RE-1J Ballot Issue 4A,Yes/for,11
Alamosa,North Conejos School District RE-1J Ballot Issue 4A,No/against,6
Arapahoe,City of Aurora Mayor - Arapahoe,Mike Coffman,24790
Arapahoe,City of Aurora Mayor - Arapahoe,Omar Montgomery,24222
Arapahoe,City of Aurora Mayor - Arapahoe,Ryan L. Frazier,11028
Arapahoe,City of Aurora Mayor - Arapahoe,Marsha Berzins,7382
Arapahoe,City of Aurora Mayor - Arapahoe,Renie Roberta Peterson,1119
Arapahoe,City of Aurora Mayor - Arapahoe,Tiffany Grays,136
Arapahoe,City of Aurora Council Member - At Large,Curtis Gardner,24912
Arapahoe,City of Aurora Council Member - At Large,Angela Lawson,24347
Arapahoe,City of Aurora Council Member - At Large,Johnny Watson,18133
Arapahoe,City of Aurora Council Member - At Large,Leanne Denise Wheeler,16463
Arapahoe,City of Aurora Council Member - At Large,Martha Lugo,12425
Arapahoe,City of Aurora Council Member - At Large,Thomas Mayes,10808
Arapahoe,City of Englewood Office of Council Member - At Large,Rita Russell,4925
Arapahoe,City of Englewood Office of Council Member - At Large,John Stone,4234
Arapahoe,City of Englewood Office of Council Member - At Large,Steven Ward,2836
Arapahoe,City of Greenwood Village Mayor,George Lantz,4301
Arapahoe,City of Littleton Council Member - At Large,Pam Grove,5642
Arapahoe,City of Littleton Council Member - At Large,Scott Melin,5392
Arapahoe,City of Littleton Council Member - At Large,Kyle Schlachter,5063
Arapahoe,City of Littleton Council Member - At Large,Bill Schwanitz,4079
Arapahoe,City of Littleton Council Member - At Large,Jessica Mendes Ford,1889
Arapahoe,City of Aurora Council Member - Ward IV,Juan Marcano,6766
Arapahoe,City of Aurora Council Member - Ward IV,"Charles ""charlie"" Richardson",6534
Arapahoe,City of Aurora Council Member - Ward V,Alison Coombs,7671
Arapahoe,City of Aurora Council Member - Ward V,Bob Roth,7396
Arapahoe,City of Aurora Council Member - Ward VI,Francoise Bergan,8804
Arapahoe,City of Aurora Council Member - Ward VI,Bryan Lindstrom,6797
Arapahoe,City of Centennial Council Member District 1,Candace M. Moon,4801
Arapahoe,City of Centennial Council Member District 1,Ron Phelps,4225
Arapahoe,City of Centennial Council Member District 2,Christine L. Sweetland,4028
Arapahoe,City of Centennial Council Member District 2,Brian D. Beatty,3781
Arapahoe,City of Centennial Council Member District 3,Richard Holt,4839
Arapahoe,City of Centennial Council Member District 3,Rhonda Livingston,3082
Arapahoe,City of Centennial Council Member District 4,Don Sheehan,3512
Arapahoe,City of Centennial Council Member District 4,Anna Burr,3135
Arapahoe,City of Englewood Office of Council Member District 1,Othoniel Sierra,1039
Arapahoe,City of Englewood Office of Council Member District 1,Monica Johnson,439
Arapahoe,City of Englewood Office of Council Member District 1,Bobby Jennings,354
Arapahoe,City of Englewood Office of Council Member District 3,Joe Anderson,1630
Arapahoe,City of Englewood Office of Council Member District 3,Laurett Barrentine,701
Arapahoe,City of Greenwood Village Councilmember District 1,Dave Bullock,1175
Arapahoe,City of Greenwood Village Councilmember District 1,Jerry Presley,1084
Arapahoe,City of Greenwood Village Councilmember District 2,Anne Ingebretsen,707
Arapahoe,City of Greenwood Village Councilmember District 2,Dave Kerber,676
Arapahoe,City of Greenwood Village Councilmember District 2,Jill Burbary,315
Arapahoe,City of Greenwood Village Councilmember District 3,Libby Barnacle,960
Arapahoe,City of Greenwood Village Councilmember District 3,Donna Johnston,641
Arapahoe,City of Greenwood Village Councilmember District 3,Brian Strandes,605
Arapahoe,City of Greenwood Village Councilmember District 3,Mark Wilson,159
Arapahoe,City of Greenwood Village Councilmember District 4,Thomas J. Dougherty,801
Arapahoe,City of Greenwood Village Councilmember District 4,Judith M. Hilton,755
Arapahoe,City of Littleton Council Member - District II,Jerry Valdes,900
Arapahoe,City of Littleton Council Member - District II,Kate Eckel,750
Arapahoe,City of Littleton Council Member - District II,Jane Ozga,415
Arapahoe,City of Littleton Council Member - District IV,Kelly Milliman,1595
Arapahoe,City of Littleton Council Member - District IV,Iftin Abshir,1526
Arapahoe,Adams-Arapahoe School District 28J Board of Directors - At Large,Vicki Reinhard,16629
Arapahoe,Adams-Arapahoe School District 28J Board of Directors - At Large,Stephanie Mason,14690
Arapahoe,Adams-Arapahoe School District 28J Board of Directors - At Large,Nichelle Ortiz,13100
Arapahoe,Adams-Arapahoe School District 28J Board of Directors - At Large,Amber Drevon,12699
Arapahoe,Adams-Arapahoe School District 28J Board of Directors - At Large,Barbara Yamrick,9170
Arapahoe,Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Robert Reichardt,16729
Arapahoe,Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Lindley Mccrary,13557
Arapahoe,Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Jessica Roe,9902
Arapahoe,Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Christine Copp,8016
