county,contest,record_type,cvr_number,imprinted_id,raw_vote,valid_interpretation
Larimer,City of Fort Collins Mayor,UPLOADED,89743,110-109-10,"""Emily Francis(1)"",""Adam Eggleston(2)"",""Scotty V VanTatenhove(3)"",""Jeffrey Shumway(5)"",""Shirley Peel(6)"",""Tricia Canonico(7)""","""Emily Francis"",""Adam Eggleston"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,90234,104-119-29,"""Emily Francis(1)"",""Adam Eggleston(2)"",""Scotty V VanTatenhove(3)"",""Tricia Canonico(4)"",""Scotty V VanTatenhove(5)"",""Shirley Peel(6)"",""Jeffrey Shumway(7)""","""Emily Francis"",""Adam Eggleston"",""Scotty V VanTatenhove"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,90236,104-119-61,"""Emily Francis(1)"",""Shirley Peel(2)"",""Adam Hirschhorn(7)""","""Emily Francis"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,90237,104-119-24,"""Jeffrey Shumway(1)"",""Scotty V VanTatenhove(2)"",""Emily Francis(3)"",""Adam Hirschhorn(4)"",""Shirley Peel(5)"",""Adam Eggleston(6)"",""Adam Hirschhorn(7)""","""Jeffrey Shumway"",""Scotty V VanTatenhove"",""Emily Francis"",""Adam Hirschhorn"",""Shirley Peel"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,90238,104-119-49,"""Jeffrey Shumway(1)"",""Tricia Canonico(7)"",""Adam Eggleston(7)"",""Emily Francis(7)"",""Adam Hirschhorn(7)"",""Shirley Peel(7)"",""Scotty V VanTatenhove(7)""","""Jeffrey Shumway"""
Larimer,City of Fort Collins Councilmember - District 1,UPLOADED,90238,104-119-49,"""Chris Conway(3)"",""Susan Gutowsky(3)"",""Daisy Montgomery(3)""",""
Larimer,City of Fort Collins Mayor,UPLOADED,90239,104-119-72,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Shirley Peel(3)"",""Adam Hirschhorn(4)"",""Shirley Peel(4)"",""Adam Eggleston(5)"",""Scotty V VanTatenhove(6)"",""Jeffrey Shumway(7)""","""Emily Francis"",""Tricia Canonico"",""Shirley Peel"",""Adam Hirschhorn"",""Adam Eggleston"",""Scotty V VanTatenhove"",""Jeffrey Shumway"""
Larimer,City of Fort Collins Mayor,UPLOADED,90333,109-114-31,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Scotty V VanTatenhove(6)"",""Shirley Peel(7)""","""Emily Francis"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,90334,109-114-9,"""Scotty V VanTatenhove(1)"",""Jeffrey Shumway(2)"",""Shirley Peel(3)"",""Adam Hirschhorn(4)"",""Tricia Canonico(5)"",""Emily Francis(6)"",""Adam Hirschhorn(7)""","""Scotty V VanTatenhove"",""Jeffrey Shumway"",""Shirley Peel"",""Adam Hirschhorn"",""Tricia Canonico"",""Emily Francis"""
Larimer,City of Fort Collins Mayor,UPLOADED,90337,109-114-50,"""Tricia Canonico(1)"",""Adam Eggleston(1)"",""Adam Hirschhorn(1)"",""Shirley Peel(1)"",""Jeffrey Shumway(1)"",""Scotty V VanTatenhove(1)""",""
Larimer,City of Fort Collins Mayor,UPLOADED,90338,109-114-70,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Shirley Peel(3)"",""Jeffrey Shumway(4)"",""Adam Hirschhorn(5)"",""Adam Eggleston(6)"",""Jeffrey Shumway(6)"",""Scotty V VanTatenhove(7)""","""Emily Francis"",""Tricia Canonico"",""Shirley Peel"",""Jeffrey Shumway"",""Adam Hirschhorn"",""Adam Eggleston"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,90339,109-114-55,"""Jeffrey Shumway(1)"",""Tricia Canonico(7)"",""Adam Eggleston(7)"",""Emily Francis(7)"",""Adam Hirschhorn(7)"",""Shirley Peel(7)"",""Scotty V VanTatenhove(7)""","""Jeffrey Shumway"""
Larimer,City of Fort Collins Councilmember - District 1,UPLOADED,90339,109-114-55,"""Chris Conway(3)"",""Susan Gutowsky(3)"",""Daisy Montgomery(3)""",""
