contest_name,choice,votes
City of Fort Collins Ballot Issue 2A,Yes/For,43080
City of Fort Collins Ballot Issue 2A,No/Against,12373
City of Fort Collins Ballot Issue 302,Yes/For,39693
City of Fort Collins Ballot Issue 302,No/Against,14602
City of Fort Collins Ballot Question 2B,Yes/For,43548
City of Fort Collins Ballot Question 2B,No/Against,9022
City of Fort Collins Ballot Question 2C,Yes/For,40311
City of Fort Collins Ballot Question 2C,No/Against,12924
City of Fort Collins Ballot Question 2D,Yes/For,38447
City of Fort Collins Ballot Question 2D,No/Against,12965
City of Fort Collins Ballot Question 2E,Yes/For,44070
City of Fort Collins Ballot Question 2E,No/Against,7927
City of Fort Collins Ballot Question 2F,No/Against,29409
City of Fort Collins Ballot Question 2F,Yes/For,21035
City of Fort Collins Ballot Question 2G,Yes/For,40478
City of Fort Collins Ballot Question 2G,No/Against,10456
City of Fort Collins Ballot Question 2H,Yes/For,37218
City of Fort Collins Ballot Question 2H,No/Against,17733
City of Fort Collins Ballot Question 303,No/Against,29331
City of Fort Collins Ballot Question 303,Yes/For,25148
City of Fort Collins Councilmember - District 5,Amy Hoeven,3958
City of Fort Collins Councilmember - District 5,Zoelle Lane,2967
City of Loveland City Council - Ward 1,Geoff Frahm,3837
City of Loveland City Council - Ward 1,Craig Martinbeault,3064
City of Loveland City Council - Ward 2,Sarah Rothberg,4406
City of Loveland City Council - Ward 2,Dana M. Foley,4234
City of Loveland City Council - Ward 3,Caitlin Wyrick,2739
City of Loveland City Council - Ward 3,Kalina Middleton,2186
City of Loveland City Council - Ward 3,Christopher Say,2154
City of Loveland City Council - Ward 3,John Fogle,1993
City of Loveland City Council - Ward 4,Zeke Cortez,3950
City of Loveland City Council - Ward 4,Jon Mallo,3142
City of Loveland Mayor,Patrick McFall,14839
City of Loveland Mayor,Troy Daniels,14646
Larimer County Ballot Issue 1A,No/Against,68936
Larimer County Ballot Issue 1A,Yes/For,62077
Larimer County Ballot Issue 1B,Yes/For,67610
Larimer County Ballot Issue 1B,No/Against,63892
Larimer County Nedrah Acres Public Improvement District No. 77 Ballot Issue 6B,Yes/For,76
Larimer County Nedrah Acres Public Improvement District No. 77 Ballot Issue 6B,No/Against,26
Larimer County Rolling Hills Public Improvement District No. 78 Ballot Issue 6C,No/Against,64
Larimer County Rolling Hills Public Improvement District No. 78 Ballot Issue 6C,Yes/For,33
Larimer County Thunder Mountain Public Improvement District No. 76 Ballot Issue 6A,Yes/For,30
Larimer County Thunder Mountain Public Improvement District No. 76 Ballot Issue 6A,No/Against,15
Poudre School District R-1 Director District C,Karla Baise,39748
Poudre School District R-1 Director District C,Sabrina Herrick,18410
Poudre School District R-1 Director District D,Coronda Ziegler,36322
Poudre School District R-1 Director District D,Tom Griggs,22764
Poudre School District R-1 Director District E,Andrew E Spain,45317
Proposition LL (Statutory),Yes/For,90392
Proposition LL (Statutory),No/Against,40582
Proposition MM (Statutory),Yes/For,82276
Proposition MM (Statutory),No/Against,49670
St. Vrain Valley School District RE-1J Board of Education Director in Director District B,Hadley Solomon,142
St. Vrain Valley School District RE-1J Board of Education Director in Director District B,Peggy A. Kelly,84
St. Vrain Valley School District RE-1J Board of Education Director in Director District D,Meosha Babbs,128
St. Vrain Valley School District RE-1J Board of Education Director in Director District D,John Ahrens,88
St. Vrain Valley School District RE-1J Board of Education Director in Director District E,Jocelyn Gilligan,132
St. Vrain Valley School District RE-1J Board of Education Director in Director District F,Sarah Hurianek,132
Thompson School District R2-J Ballot Issue 5A,Yes/For,29092
Thompson School District R2-J Ballot Issue 5A,No/Against,20480
Thompson School District R2-J Board of Education Director District B,Mike Scholl,32406
Thompson School District R2-J Board of Education Director District E,Alexandra Lessem,22471
Thompson School District R2-J Board of Education Director District E,Mary Buchanan,21576
Thompson School District R2-J Board of Education Director District F,Lori Goebel,22817
Thompson School District R2-J Board of Education Director District F,Dmitri Atrash,21734
Town of Estes Park Ballot Question 300,Yes/For,1278
Town of Estes Park Ballot Question 300,No/Against,1126
Town of Estes Park Ballot Question 301,No/Against,1441
Town of Estes Park Ballot Question 301,Yes/For,966
Town of Timnath Ballot Issue 3A,Yes/For,2190
Town of Timnath Ballot Issue 3A,No/Against,1854
Wellington Fire Protection District Ballot Issue 6D,No/Against,2420
Wellington Fire Protection District Ballot Issue 6D,Yes/For,1837
