contest_name,choice,votes
Academy School District 20 Ballot Issue 4A,No/Against,24413
Academy School District 20 Ballot Issue 4A,Yes/For,18677
Academy School District 20 Board of Directors - 4 Year Term,Amy Shandy,20988
Academy School District 20 Board of Directors - 4 Year Term,Derrick Wilburn,20208
Academy School District 20 Board of Directors - 4 Year Term,Heather Cloninger,17563
Academy School District 20 Board of Directors - 4 Year Term,Will Temby,17355
Adams 12 Five Star School District Director District No 1,Lori Goldstein,33175
Adams 12 Five Star School District Director District No 1,Ken Murphy-Montoya,17624
Adams 12 Five Star School District Director District No 2,Paula Battistelli,25685
Adams 12 Five Star School District Director District No 2,Rebecca Elmore,14489
Adams 12 Five Star School District Director District No 2,Brian Klein,9816
Adams 12 Five Star School District Director District No 5,Alexis Marsh-Holschen,21557
Adams 12 Five Star School District Director District No 5,Ben Helgeson,16426
Adams-Arapahoe School District 28J Board of Directors,Vicki Reinhard,21504
Adams-Arapahoe School District 28J Board of Directors,Danielle Tomwing,20966
Adams-Arapahoe School District 28J Board of Directors,Tiffany Tasker,19222
Adams-Arapahoe School District 28J Board of Directors,Max Garcia,13424
Adams-Arapahoe School District 28J Board of Directors,Maria Saucedo,9449
Aims Community College Trustee District A,Heidi Windell,38164
Aims Community College Trustee District B,Jeannine Truswell,38529
Aims Community College Trustee District E,John W. Haefeli,15604
Aims Community College Trustee District E,Jennifer Patrick,14931
Aims Community College Trustee District E,Joseph Bodine,13007
Alamosa - Proposition II (Statutory),Yes/For,2260
Alamosa - Proposition II (Statutory),No/Against,1463
Alamosa School District RE-11J Director District 1,Andria Gay,1522
Alamosa School District RE-11J Director District 1,Kaylee Gomez Romero,1518
Alamosa School District RE-11J Director District 2,Louella Lenberg,2333
Alamosa School District RE-11J Director District 5,Michael Mumper,2309
Alamosa School District RE-11J Director District 7,Patrick Alan Colvin,2267
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Lindley McCrary,16593
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Cherie Garcia-Kuper,14697
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Brian Macaulay,14049
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Michelle Redfearn,10051
Archuleta - Archuleta County School District 50 JT Board of Directors District 3,Amanda Schick,2709
Archuleta - Archuleta County School District 50 JT Board of Directors District 3,Jessica Trujillo,1329
Archuleta County School District 50 JT Board of Directors District 2,Robert Lynch,2951
Archuleta County School District 50 JT Board of Directors District 2,Christa Laos,1152
Archuleta County School District 50 JT Board of Directors District 3,Amanda Schick,9
Archuleta County School District 50 JT Board of Directors District 3,Jessica Trujillo,3
Archuleta County School District 50 JT Board of Directors District 4,Dana Guinn,3201
Archuleta County School District 50 JT Board of Directors District 5,"Ray ""Butch"" Mackey",3260
Arriba-Flagler School District C-20 Board of Directors - 4 Year Term,Lindsey L. Michal,321
Arriba-Flagler School District C-20 Board of Directors - 4 Year Term,"Bart ""BJ"" New",304
Arriba-Flagler School District C-20 Board of Directors - 4 Year Term,Wyatt Taylor,171
Arriba-Flagler School District C-20 Board of Directors - 4 Year Term,Emily Kindley,102
Arriba-Flagler School District C-20 Board of Directors - 4 Year Term,Danny Lee David,2
Aspen School District No. 1 - Board of Directors,Sarah Daniels,2264
Aspen School District No. 1 - Board of Directors,Cassie Harrelson,1936
Aspen School District No. 1 - Board of Directors,Katy Frisch,1921
Aspen School District No. 1 - Board of Directors,Sally Goulet,382
Ault-Highland School District RE-9 Director District B,Ryleigh Sittner,1509
Ault-Highland School District RE-9 Director District D,Heather Simpson,805
Ault-Highland School District RE-9 Director District D,Cole J. Dorwart,465
Ault-Highland School District RE-9 Director District D,Nick Jensen,382
Ault-Highland School District RE-9 Director District E,Tara Steinke,1492
Baca - Proposition II (Statutory),No/Against,768
Baca - Proposition II (Statutory),Yes/For,518
Bailey Water and Sanitation District Ballot Issue 6A - Authorization to Incur Debt,Yes/For,40
Bailey Water and Sanitation District Ballot Issue 6A - Authorization to Incur Debt,No/Against,24
Ballot Issue 5A - Extension of Expiring Tax,Yes/For,3604
Ballot Issue 5A - Extension of Expiring Tax,No/Against,1331
