CountyName,ContestName,ContestChoices
El Paso,Academy School District 20 Ballot Issue 4A,"Yes/For, No/Against"
El Paso,Academy School District 20 Board of Directors - 4 Year Term,"Heather Cloninger, Amy Shandy, Will Temby, Derrick Wilburn"
Adams,Adams 12 Five Star School District Director District No 1,"Lori Goldstein, Ken Murphy-Montoya"
Broomfield,Adams 12 Five Star School District Director District No 1,"Lori Goldstein, Ken Murphy-Montoya"
Adams,Adams 12 Five Star School District Director District No 2,"Rebecca Elmore, Paula Battistelli, Brian Klein"
Broomfield,Adams 12 Five Star School District Director District No 2,"Rebecca Elmore, Paula Battistelli, Brian Klein"
Adams,Adams 12 Five Star School District Director District No 5,"Alexis Marsh-Holschen, Ben Helgeson"
Broomfield,Broomfield - Adams 12 Five Star School District Director District No 5,"Alexis Marsh-Holschen, Ben Helgeson"
Adams,Adams-Arapahoe School District 28J Board of Directors,"Max Garcia, Vicki Reinhard, Maria Saucedo, Danielle Tomwing, Tiffany Tasker"
Arapahoe,Adams-Arapahoe School District 28J Board of Directors,"Max Garcia, Vicki Reinhard, Maria Saucedo, Danielle Tomwing, Tiffany Tasker"
Adams,Aims Community College Trustee District A,Heidi Windell
Broomfield,Aims Community College Trustee District A,Heidi Windell
Larimer,Aims Community College Trustee District A,Heidi Windell
Morgan,Aims Community College Trustee District A,Heidi Windell
Weld,Aims Community College Trustee District A,Heidi Windell
Adams,Aims Community College Trustee District B,Jeannine Truswell
Broomfield,Aims Community College Trustee District B,Jeannine Truswell
Larimer,Aims Community College Trustee District B,Jeannine Truswell
Morgan,Aims Community College Trustee District B,Jeannine Truswell
Weld,Aims Community College Trustee District B,Jeannine Truswell
Adams,Aims Community College Trustee District E,"John W. Haefeli, Jennifer Patrick, Joseph Bodine"
Broomfield,Aims Community College Trustee District E,"John W. Haefeli, Jennifer Patrick, Joseph Bodine"
Larimer,Aims Community College Trustee District E,"John W. Haefeli, Jennifer Patrick, Joseph Bodine"
Morgan,Aims Community College Trustee District E,"John W. Haefeli, Jennifer Patrick, Joseph Bodine"
Weld,Aims Community College Trustee District E,"John W. Haefeli, Jennifer Patrick, Joseph Bodine"
Alamosa,Alamosa School District RE-11J Director District 1,"Andria Gay, Kaylee Gomez Romero"
Conejos,Alamosa School District RE-11J Director District 1,"Andria Gay , Kaylee Gomez Romero"
Alamosa,Alamosa School District RE-11J Director District 2,Louella Lenberg
Conejos,Alamosa School District RE-11J Director District 2,Louella Lenberg
Alamosa,Alamosa School District RE-11J Director District 5,Michael Mumper
Conejos,Alamosa School District RE-11J Director District 5,Michael Mumper
Alamosa,Alamosa School District RE-11J Director District 7,Patrick Alan Colvin
Conejos,Alamosa School District RE-11J Director District 7,Patrick Alan Colvin
Arapahoe,Arapahoe County School District #6 Littleton Public Schools School Director - At Large,"Cherie Garcia-Kuper, Lindley McCrary, Michelle Redfearn, Brian Macaulay"
Archuleta,Ballot Issue 5A - Extension of Expiring Tax,"Yes/For, No/Against"
